"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
"01","Alabama","AL","1","01073",0.0790734811265006,66,669744,52959
"01","Alabama","AL","1","01117",0.199513649656939,66,226955,45281
"01","Alabama","AL","1","01083",0.218947480065496,66,107577,23554
"01","Alabama","AL","1","01115",0.246756168421323,66,92903,22924
"01","Alabama","AL","1","01089",0.0536119754924921,66,397135,21291
"01","Alabama","AL","1","01051",0.233096549366878,66,88669,20668
"01","Alabama","AL","1","01081",0.114568888948768,66,177663,20355
"01","Alabama","AL","1","01125",0.0774220925280635,66,234036,18120
"01","Alabama","AL","1","01009",0.297338930920101,66,59292,17630
"01","Alabama","AL","1","01101",0.0769270190844142,66,227197,17478
"01","Alabama","AL","1","01003",0.0719552897385091,66,239945,17265
"01","Alabama","AL","1","01103",0.135113861597131,66,123742,16719
"01","Alabama","AL","1","01121",0.202372786302853,66,81170,16427
"01","Alabama","AL","1","01001",0.266212245596164,66,59285,15782
"01","Alabama","AL","1","01097",0.0378952110402478,66,413162,15657
"01","Alabama","AL","1","01055",0.129157108968365,66,103208,13330
"01","Alabama","AL","1","01095",0.134750637851562,66,98712,13302
"01","Alabama","AL","1","01015",0.107809958839666,66,116141,12521
"01","Alabama","AL","1","01045",0.236600136749145,66,49516,11715
"01","Alabama","AL","1","01043",0.127660033974421,66,89463,11421
"01","Alabama","AL","1","01077",0.118096255982132,66,95037,11224
"01","Alabama","AL","1","01049",0.143199444124208,65,71946,10303
"01","Alabama","AL","1","01021",0.222524835430861,66,45500,10125
"01","Alabama","AL","1","01033",0.171682410643899,66,57648,9897
"01","Alabama","AL","1","01031",0.163031476750614,66,54231,8841
"01","Alabama","AL","1","01079",0.265057769910558,66,33182,8795
"01","Alabama","AL","1","01127",0.135103301376371,66,64886,8766
"01","Alabama","AL","1","01069",0.0779331814043454,66,107628,8388
"01","Alabama","AL","1","01123",0.19804624118493,66,41070,8134
"01","Alabama","AL","1","01113",0.125476504565071,66,58858,7385
"01","Alabama","AL","1","01061",0.267434839288043,65,26726,7147
"01","Alabama","AL","1","01071",0.130866052128193,65,52839,6915
"01","Alabama","AL","1","01007",0.298491876907508,66,22152,6612
"01","Alabama","AL","1","01067",0.332821406622744,65,17450,5808
"01","Alabama","AL","1","01059",0.179168010889229,66,31978,5729
"01","Alabama","AL","1","01133",0.236836500564993,66,23637,5598
"01","Alabama","AL","1","01093",0.183133679118545,66,29190,5346
"01","Alabama","AL","1","01087",0.272658003720421,66,18951,5167
"01","Alabama","AL","1","01017",0.148980077216953,63,34450,5132
"01","Alabama","AL","1","01065",0.329517194430907,66,14749,4860
"01","Alabama","AL","1","01107",0.250697335068119,65,18843,4724
"01","Alabama","AL","1","01047",0.125775318183425,66,37536,4721
"01","Alabama","AL","1","01109",0.141286176891948,66,32953,4656
"01","Alabama","AL","1","01057",0.26385589500548,65,16173,4267
"01","Alabama","AL","1","01019",0.167111885810549,61,25224,4215
"01","Alabama","AL","1","01037",0.399098362895133,63,10323,4120
"01","Alabama","AL","1","01053",0.110344361361548,66,36695,4049
"01","Alabama","AL","1","01085",0.396147213639868,66,10008,3965
"01","Alabama","AL","1","01111",0.176939880071763,65,22310,3948
"01","Alabama","AL","1","01039",0.104357445145006,66,37647,3929
"01","Alabama","AL","1","01129",0.257313028638679,62,15270,3929
"01","Alabama","AL","1","01029",0.244476382806532,64,15254,3729
"01","Alabama","AL","1","01091",0.192004169091343,66,19027,3653
"01","Alabama","AL","1","01005",0.147115443977396,66,24757,3642
"01","Alabama","AL","1","01025",0.158399933130864,66,22802,3612
"01","Alabama","AL","1","01041",0.26700329353949,64,13144,3509
"01","Alabama","AL","1","01099",0.177712808980973,66,19580,3480
"01","Alabama","AL","1","01027",0.23891323054438,64,14188,3390
"01","Alabama","AL","1","01035",0.295096188738775,64,11411,3367
"01","Alabama","AL","1","01013",0.165744873659777,66,18807,3117
"01","Alabama","AL","1","01063",0.380132019369959,63,7589,2885
"01","Alabama","AL","1","01011",0.274473106893308,59,10157,2788
"01","Alabama","AL","1","01131",0.267980952097241,65,10347,2773
"01","Alabama","AL","1","01105",0.31468547980004,66,8231,2590
"01","Alabama","AL","1","01119",0.21383196464087,66,12020,2570
"01","Alabama","AL","1","01075",0.168842264502178,66,13809,2332
"01","Alabama","AL","1","01023",0.135928421326768,63,12525,1703
"01","Alabama","AL","2","01073",0.0978369772068052,66,669744,65526
"01","Alabama","AL","2","01117",0.221815392120784,66,226955,50342
"01","Alabama","AL","2","01083",0.247567972466013,66,107577,26633
"01","Alabama","AL","2","01115",0.279704107686313,66,92903,25985
"01","Alabama","AL","2","01089",0.0633883335923662,66,397135,25174
"01","Alabama","AL","2","01081",0.132222351694387,66,177663,23491
"01","Alabama","AL","2","01051",0.257024573686092,66,88669,22790
"01","Alabama","AL","2","01125",0.0933080172518036,66,234036,21837
"01","Alabama","AL","2","01101",0.0957513335065906,66,227197,21754
"01","Alabama","AL","2","01097",0.0500832520297169,66,413162,20692
"01","Alabama","AL","2","01009",0.332782313324602,66,59292,19731
"01","Alabama","AL","2","01103",0.156912491371582,66,123742,19417
"01","Alabama","AL","2","01003",0.0792602899604797,66,239945,19018
"01","Alabama","AL","2","01121",0.232197287701954,66,81170,18847
"01","Alabama","AL","2","01001",0.307671883999928,66,59285,18240
"01","Alabama","AL","2","01095",0.160312706820266,66,98712,15825
"01","Alabama","AL","2","01055",0.150052027439723,66,103208,15487
"01","Alabama","AL","2","01015",0.12483924447136,66,116141,14499
"01","Alabama","AL","2","01045",0.270141614977315,66,49516,13376
"01","Alabama","AL","2","01043",0.14432835652776,66,89463,12912
"01","Alabama","AL","2","01077",0.134909344504996,66,95037,12821
"01","Alabama","AL","2","01049",0.169556133057231,66,71946,12199
"01","Alabama","AL","2","01021",0.248377999524589,66,45500,11301
"01","Alabama","AL","2","01033",0.19245838614696,66,57648,11095
"01","Alabama","AL","2","01127",0.157281350069334,66,64886,10205
"01","Alabama","AL","2","01079",0.30099482344658,66,33182,9988
"01","Alabama","AL","2","01031",0.17871056640075,66,54231,9692
"01","Alabama","AL","2","01069",0.0840377179730411,66,107628,9045
"01","Alabama","AL","2","01123",0.216614440619292,66,41070,8896
"01","Alabama","AL","2","01071",0.160229460049718,66,52839,8466
"01","Alabama","AL","2","01113",0.140506241745151,65,58858,8270
"01","Alabama","AL","2","01061",0.28851796774721,65,26726,7711
"01","Alabama","AL","2","01007",0.310240592488389,66,22152,6872
"01","Alabama","AL","2","01059",0.207250577238314,66,31978,6627
"01","Alabama","AL","2","01133",0.267447500451262,66,23637,6322
"01","Alabama","AL","2","01067",0.358356004472889,66,17450,6253
"01","Alabama","AL","2","01093",0.210302928411664,65,29190,6139
"01","Alabama","AL","2","01087",0.316339814093999,62,18951,5995
"01","Alabama","AL","2","01017",0.17270907983791,64,34450,5950
"01","Alabama","AL","2","01065",0.370421065352712,66,14749,5463
"01","Alabama","AL","2","01047",0.144992623116945,66,37536,5442
"01","Alabama","AL","2","01109",0.154522794721713,66,32953,5092
"01","Alabama","AL","2","01107",0.268465972438656,66,18843,5059
"01","Alabama","AL","2","01129",0.323377305446689,64,15270,4938
"01","Alabama","AL","2","01057",0.296746761744777,65,16173,4799
"01","Alabama","AL","2","01019",0.187115305648908,66,25224,4720
"01","Alabama","AL","2","01037",0.455755660531193,65,10323,4705
"01","Alabama","AL","2","01053",0.124337868623924,66,36695,4563
"01","Alabama","AL","2","01111",0.192438934350133,65,22310,4293
"01","Alabama","AL","2","01085",0.426753957661736,66,10008,4271
"01","Alabama","AL","2","01029",0.279316545563915,64,15254,4261
"01","Alabama","AL","2","01039",0.112605146294445,66,37647,4239
"01","Alabama","AL","2","01041",0.315622133975093,65,13144,4149
"01","Alabama","AL","2","01025",0.180879371905159,65,22802,4124
"01","Alabama","AL","2","01005",0.165302891563588,66,24757,4092
"01","Alabama","AL","2","01027",0.276818340218059,65,14188,3927
"01","Alabama","AL","2","01091",0.204882240240297,66,19027,3898
"01","Alabama","AL","2","01099",0.198696499565754,66,19580,3890
"01","Alabama","AL","2","01035",0.31993510914008,62,11411,3651
"01","Alabama","AL","2","01013",0.191794487785639,65,18807,3607
"01","Alabama","AL","2","01131",0.307398063769897,63,10347,3181
"01","Alabama","AL","2","01063",0.413585374907501,62,7589,3139
"01","Alabama","AL","2","01011",0.306304612442491,56,10157,3111
"01","Alabama","AL","2","01105",0.35719489571885,65,8231,2940
"01","Alabama","AL","2","01075",0.200172274398587,65,13809,2764
"01","Alabama","AL","2","01119",0.212918940169371,66,12020,2559
"01","Alabama","AL","2","01023",0.157387435644224,64,12525,1971
"01","Alabama","AL","3","01073",0.0986660490752116,66,669744,66081
"01","Alabama","AL","3","01117",0.223180988185238,66,226955,50652
"01","Alabama","AL","3","01083",0.254415291580298,66,107577,27369
"01","Alabama","AL","3","01089",0.0662035590123257,66,397135,26292
"01","Alabama","AL","3","01115",0.275495477169272,66,92903,25594
"01","Alabama","AL","3","01081",0.131647946258455,66,177663,23389
"01","Alabama","AL","3","01051",0.26305439643143,66,88669,23325
"01","Alabama","AL","3","01101",0.0976733035539173,66,227197,22191
"01","Alabama","AL","3","01125",0.090154473942937,66,234036,21099
"01","Alabama","AL","3","01103",0.157800517535096,66,123742,19527
"01","Alabama","AL","3","01121",0.240169926218637,66,81170,19495
"01","Alabama","AL","3","01003",0.0804554542998458,66,239945,19305
"01","Alabama","AL","3","01009",0.324389696554959,66,59292,19234
"01","Alabama","AL","3","01097",0.0458278521556859,66,413162,18934
"01","Alabama","AL","3","01001",0.310847961320768,66,59285,18429
"01","Alabama","AL","3","01095",0.160313513490038,66,98712,15825
"01","Alabama","AL","3","01055",0.152232637580479,66,103208,15712
"01","Alabama","AL","3","01015",0.129623178143959,66,116141,15055
"01","Alabama","AL","3","01043",0.1504575666026,66,89463,13460
"01","Alabama","AL","3","01045",0.267411868139851,65,49516,13241
"01","Alabama","AL","3","01077",0.136807630946888,66,95037,13002
"01","Alabama","AL","3","01049",0.172677591027786,66,71946,12423
"01","Alabama","AL","3","01021",0.255727904770407,66,45500,11636
"01","Alabama","AL","3","01033",0.192004682752295,65,57648,11069
"01","Alabama","AL","3","01079",0.312615289969793,66,33182,10373
"01","Alabama","AL","3","01031",0.189111823214213,66,54231,10256
"01","Alabama","AL","3","01127",0.155590590789391,66,64886,10096
"01","Alabama","AL","3","01069",0.0906641763996152,66,107628,9758
"01","Alabama","AL","3","01113",0.154509799610579,66,58858,9094
"01","Alabama","AL","3","01123",0.215236309077551,66,41070,8840
"01","Alabama","AL","3","01071",0.162999341200776,65,52839,8613
"01","Alabama","AL","3","01061",0.306316231630423,64,26726,8187
"01","Alabama","AL","3","01007",0.330819296024608,65,22152,7328
"01","Alabama","AL","3","01059",0.217270477467458,65,31978,6948
"01","Alabama","AL","3","01133",0.284816472863257,66,23637,6732
"01","Alabama","AL","3","01067",0.378295531758672,66,17450,6601
"01","Alabama","AL","3","01093",0.217669039127302,66,29190,6354
"01","Alabama","AL","3","01087",0.334825822494737,63,18951,6345
"01","Alabama","AL","3","01017",0.17434009288552,66,34450,6006
"01","Alabama","AL","3","01065",0.397020683012201,66,14749,5856
"01","Alabama","AL","3","01047",0.148584069206654,66,37536,5577
"01","Alabama","AL","3","01109",0.160521911527895,66,32953,5290
"01","Alabama","AL","3","01107",0.274196592478698,66,18843,5167
"01","Alabama","AL","3","01057",0.309708888949271,66,16173,5009
"01","Alabama","AL","3","01019",0.197048676672189,65,25224,4970
"01","Alabama","AL","3","01037",0.462553944691131,65,10323,4775
"01","Alabama","AL","3","01129",0.306078352160359,62,15270,4674
"01","Alabama","AL","3","01053",0.123973709004697,65,36695,4549
"01","Alabama","AL","3","01039",0.120814537019788,66,37647,4548
"01","Alabama","AL","3","01029",0.296589149222205,62,15254,4524
"01","Alabama","AL","3","01085",0.44348848965203,63,10008,4438
"01","Alabama","AL","3","01111",0.198269353777937,64,22310,4423
"01","Alabama","AL","3","01005",0.178573663831868,65,24757,4421
"01","Alabama","AL","3","01041",0.330443635849259,65,13144,4343
"01","Alabama","AL","3","01025",0.187320081112792,66,22802,4271
"01","Alabama","AL","3","01027",0.299878982400722,62,14188,4255
"01","Alabama","AL","3","01091",0.223468063088091,66,19027,4252
"01","Alabama","AL","3","01099",0.196796367709556,66,19580,3853
"01","Alabama","AL","3","01013",0.202311554859311,65,18807,3805
"01","Alabama","AL","3","01035",0.314622714225324,65,11411,3590
"01","Alabama","AL","3","01011",0.332225851437946,60,10157,3374
"01","Alabama","AL","3","01131",0.308600962668187,65,10347,3193
"01","Alabama","AL","3","01105",0.376065377449296,65,8231,3095
"01","Alabama","AL","3","01063",0.407687721184958,62,7589,3094
"01","Alabama","AL","3","01075",0.210905593848099,66,13809,2912
"01","Alabama","AL","3","01119",0.237187301622553,64,12020,2851
"01","Alabama","AL","3","01023",0.158821225078934,63,12525,1989
"01","Alabama","AL","4","01073",0.0962082272920184,66,669744,64435
"01","Alabama","AL","4","01117",0.229657825660149,66,226955,52122
"01","Alabama","AL","4","01083",0.259839725526083,66,107577,27953
"01","Alabama","AL","4","01115",0.291528003686375,66,92903,27084
"01","Alabama","AL","4","01089",0.0638379277806515,66,397135,25352
"01","Alabama","AL","4","01081",0.141524589231497,66,177663,25144
"01","Alabama","AL","4","01051",0.278046093366089,66,88669,24654
"01","Alabama","AL","4","01125",0.102363020517023,66,234036,23957
"01","Alabama","AL","4","01101",0.0955424864935424,66,227197,21707
"01","Alabama","AL","4","01003",0.0876846500072666,66,239945,21039
"01","Alabama","AL","4","01103",0.165972446073909,66,123742,20538
"01","Alabama","AL","4","01097",0.0478367405175771,66,413162,19764
"01","Alabama","AL","4","01121",0.243317150899052,66,81170,19750
"01","Alabama","AL","4","01009",0.333074179026146,66,59292,19749
"01","Alabama","AL","4","01001",0.316257986429316,66,59285,18749
"01","Alabama","AL","4","01095",0.170786599229075,66,98712,16859
"01","Alabama","AL","4","01055",0.155523285938945,66,103208,16051
"01","Alabama","AL","4","01015",0.131804799353597,66,116141,15308
"01","Alabama","AL","4","01045",0.290328911274129,66,49516,14376
"01","Alabama","AL","4","01043",0.151116093581573,66,89463,13519
"01","Alabama","AL","4","01077",0.135121548203934,66,95037,12842
"01","Alabama","AL","4","01049",0.175081390009016,66,71946,12596
"01","Alabama","AL","4","01033",0.206027459790134,66,57648,11877
"01","Alabama","AL","4","01021",0.260406916568101,66,45500,11849
"01","Alabama","AL","4","01031",0.197493712420187,66,54231,10710
"01","Alabama","AL","4","01127",0.156061487170872,66,64886,10126
"01","Alabama","AL","4","01123",0.241336379697347,66,41070,9912
"01","Alabama","AL","4","01079",0.298453329986487,65,33182,9903
"01","Alabama","AL","4","01069",0.0901292186992339,66,107628,9700
"01","Alabama","AL","4","01071",0.16380387703398,66,52839,8655
"01","Alabama","AL","4","01113",0.143571759959013,66,58858,8450
"01","Alabama","AL","4","01061",0.311493453770659,65,26726,8325
"01","Alabama","AL","4","01007",0.349023726504008,66,22152,7732
"01","Alabama","AL","4","01059",0.219329323586967,65,31978,7014
"01","Alabama","AL","4","01133",0.29337330887417,66,23637,6934
"01","Alabama","AL","4","01067",0.396324610004463,65,17450,6916
"01","Alabama","AL","4","01017",0.193968474615909,66,34450,6682
"01","Alabama","AL","4","01087",0.34124789563652,64,18951,6467
