fips,0-4,5-17,18-49,50-64,65+
01001,3619,10411,24329,11829,9759
01003,12586,39604,89626,51650,53523
01005,1329,3783,9821,4755,4955
01007,1092,3345,9330,4517,3846
01009,3370,10363,22564,12154,11067
01011,543,1525,4185,1938,1867
01013,1040,3072,6865,3552,4101
01015,6558,18335,48191,21850,21156
01017,1914,5235,12886,7218,6939
01019,1180,3546,8786,5711,6220
01021,2836,8269,18016,9069,7802
01023,661,1782,4217,2704,3016
01025,1332,3526,8323,4614,4748
01027,767,2207,5043,3257,2918
01029,890,2497,5692,3244,3103
01031,3334,9916,22125,10099,9446
01033,3110,9258,22016,11785,11853
01035,599,1662,3818,2387,2809
01037,490,1305,3320,2578,2607
01039,2176,6170,13350,7577,8355
01041,743,2244,4758,2728,2649
01043,5268,15045,34967,18052,17234
01045,3365,8206,19923,9136,8969
01047,2169,6536,13343,7295,7515
01049,4212,13141,28100,14068,12748
01051,4770,14543,37617,17793,14803
01053,2111,6197,14476,6890,6955
01055,5907,16675,39326,20857,20340
01057,752,2658,5866,3268,3509
01059,2184,5868,12586,6000,5328
01061,1395,4510,9671,5859,5452
01063,244,1358,2563,1395,1864
01065,1019,2565,5472,2808,2965
01067,871,2731,6286,3557,4202
01069,6706,18067,42104,21057,20206
01071,2831,8204,19836,11100,11082
01073,40753,112430,281822,120682,112068
01075,805,2225,4805,2789,3069
01077,4780,13804,39247,18354,19645
01079,1851,5389,12363,7337,6336
01081,9735,28202,88218,30958,24021
01083,6148,18510,45989,23272,17314
01085,590,1568,3482,2170,2023
01087,884,2003,8482,3355,3967
01089,22933,64785,173277,80969,63754
01091,1129,3025,7118,3694,3885
01093,1579,4584,10632,6138,6251
01095,7322,18619,37626,19131,17050
01097,25966,70073,167775,77213,71563
01099,756,3345,7006,4087,4194
01101,15281,39375,94447,40925,36690
01103,7525,21581,48281,24712,22372
01105,516,1193,3136,1450,1736
01107,932,2652,7580,3834,3723
01109,1642,4716,16139,5350,5140
01111,1104,3595,8244,4646,4921
01113,3771,10527,23972,11562,8979
01115,5137,15803,37506,18888,16832
01117,12207,40172,94146,44920,38766
01119,632,1661,5240,1991,2354
01121,4344,12363,31747,16867,15700
01123,2040,6177,14274,8913,9534
01125,12892,35725,117961,37857,33117
01127,3760,11109,24128,13101,12743
01129,845,2184,5408,3522,3184
01131,612,1643,3770,1940,2207
01133,1294,3590,8259,5329,5210
