"state_fips","state_name","state_abbr","geoid_o","geoid_d","quarter","mean_max_norm_prop_flow","median_max_norm_prop_flow","min_max_norm_prop_flow","max_max_norm_prop_flow","imputed"
"02","Alaska","AK","02013","02013","1",0.680861513687601,0.68731884057971,0.491062801932367,0.772705314009662,FALSE
"02","Alaska","AK","02013","02013","2",0.611434941869725,0.63743961352657,0.398309178743961,0.747584541062802,FALSE
"02","Alaska","AK","02013","02013","3",0.68330970384373,0.686835748792271,0.570289855072464,0.804830917874396,FALSE
"02","Alaska","AK","02013","02013","4",0.596206154169292,0.608454106280193,0.354106280193237,0.759661835748792,FALSE
"02","Alaska","AK","02013","02016","1",0.0160493827160494,0.014975845410628,0.00676328502415459,0.0338164251207729,FALSE
"02","Alaska","AK","02013","02016","2",0.0177575190899174,0.0147342995169082,0.00869565217391304,0.051207729468599,FALSE
"02","Alaska","AK","02013","02016","3",0.0145498462889767,0.00966183574879227,0.00652173913043478,0.0330917874396135,FALSE
"02","Alaska","AK","02013","02016","4",0.0211791831357049,0.0170289855072464,0.00917874396135266,0.0548309178743961,FALSE
"02","Alaska","AK","02013","02020","1",0.0477207977207977,0.0381642512077294,0.0072463768115942,0.17512077294686,FALSE
"02","Alaska","AK","02013","02020","2",0.0749526080841436,0.0577294685990338,0.00869565217391304,0.406038647342995,FALSE
"02","Alaska","AK","02013","02020","3",0.0440746704836882,0.035024154589372,0.00652173913043478,0.155555555555556,FALSE
"02","Alaska","AK","02013","02020","4",0.0963191699604743,0.070048309178744,0.00917874396135266,0.432367149758454,FALSE
"02","Alaska","AK","02013","02050","1",0.0103562801932367,0.00966183574879227,0.0072463768115942,0.0198067632850242,FALSE
"02","Alaska","AK","02013","02050","2",0,0,0,0,TRUE
"02","Alaska","AK","02013","02050","3",0,0,0,0,TRUE
"02","Alaska","AK","02013","02050","4",0.0149154589371981,0.0157004830917875,0.0103864734299517,0.0178743961352657,FALSE
"02","Alaska","AK","02013","02060","1",0.0153554175293306,0.013768115942029,0.00990338164251208,0.029951690821256,FALSE
"02","Alaska","AK","02013","02060","2",0.0261705685618729,0.0265700483091788,0.00893719806763285,0.0480676328502416,FALSE
"02","Alaska","AK","02013","02060","3",0.00958132045088567,0.00893719806763285,0.0072463768115942,0.0178743961352657,FALSE
"02","Alaska","AK","02013","02060","4",0.0150966183574879,0.0150966183574879,0.0147342995169082,0.0154589371980676,FALSE
"02","Alaska","AK","02013","02063","1",0.00684380032206119,0.00676328502415459,0.00676328502415459,0.0070048309178744,FALSE
"02","Alaska","AK","02013","02063","2",0.0105206655931294,0.00748792270531401,0.00628019323671498,0.0166666666666667,FALSE
"02","Alaska","AK","02013","02063","3",0.00579710144927536,0.00579710144927536,0.00579710144927536,0.00579710144927536,FALSE
"02","Alaska","AK","02013","02063","4",0,0,0,0,TRUE
"02","Alaska","AK","02013","02066","1",0.00305958132045089,0.00314009661835749,0.00289855072463768,0.00314009661835749,FALSE
"02","Alaska","AK","02013","02066","2",0.00466988727858293,0.00314009661835749,0.00265700483091787,0.00748792270531401,FALSE
"02","Alaska","AK","02013","02066","3",0.00265700483091787,0.00265700483091787,0.00265700483091787,0.00265700483091787,FALSE
"02","Alaska","AK","02013","02066","4",0,0,0,0,TRUE
"02","Alaska","AK","02013","02070","1",0.00859903381642512,0.00772946859903382,0.0072463768115942,0.0106280193236715,FALSE
"02","Alaska","AK","02013","02070","2",0,0,0,0,TRUE
"02","Alaska","AK","02013","02070","3",0.00821256038647343,0.00821256038647343,0.00821256038647343,0.00821256038647343,FALSE
"02","Alaska","AK","02013","02070","4",0.0159420289855072,0.0154589371980676,0.0147342995169082,0.0176328502415459,FALSE
"02","Alaska","AK","02013","02090","1",0,0,0,0,TRUE
"02","Alaska","AK","02013","02090","2",0,0,0,0,TRUE
"02","Alaska","AK","02013","02090","3",0.00791062801932367,0.00809178743961353,0.00652173913043478,0.00966183574879227,FALSE
"02","Alaska","AK","02013","02090","4",0.0171229200214707,0.0154589371980676,0.0113526570048309,0.0294685990338164,FALSE
"02","Alaska","AK","02013","02105","1",0,0,0,0,TRUE
"02","Alaska","AK","02013","02105","2",0,0,0,0,TRUE
"02","Alaska","AK","02013","02105","3",0.00869565217391304,0.00869565217391304,0.00869565217391304,0.00869565217391304,FALSE
"02","Alaska","AK","02013","02105","4",0,0,0,0,TRUE
"02","Alaska","AK","02013","02110","1",0.0071658615136876,0.0072463768115942,0.0070048309178744,0.0072463768115942,FALSE
"02","Alaska","AK","02013","02110","2",0,0,0,0,TRUE
"02","Alaska","AK","02013","02110","3",0.0289337474120083,0.017512077294686,0.00797101449275362,0.0896135265700483,FALSE
"02","Alaska","AK","02013","02110","4",0.0132850241545894,0.0119565217391304,0.00942028985507246,0.0198067632850242,FALSE
"02","Alaska","AK","02013","02122","1",0.00821256038647343,0.00833333333333333,0.0072463768115942,0.00893719806763285,FALSE
"02","Alaska","AK","02013","02122","2",0.0127214170692431,0.0111111111111111,0.00942028985507246,0.0280193236714976,FALSE
