STATE_NAME,STATE_DIR,STATE_ABBR,STATE_FIPS,QUARTER,COUNTY_ORG,mobility_outflow,total_counties_connected
Alaska,Alaska,AK,02,1,02066,0.8706475789013602,13
Alaska,Alaska,AK,02,1,02290,0.8367682401487325,8
Alaska,Alaska,AK,02,1,02063,0.7120865465868987,13
Alaska,Alaska,AK,02,1,02060,0.6666666666666666,3
Alaska,Alaska,AK,02,1,02240,0.640296847598272,6
Alaska,Alaska,AK,02,1,02068,0.6007691508159234,4
Alaska,Alaska,AK,02,1,02164,0.466000951022349,4
Alaska,Alaska,AK,02,1,02013,0.3787638668779715,1
Alaska,Alaska,AK,02,1,02158,0.3635620915032679,1
Alaska,Alaska,AK,02,1,02185,0.33539537486404414,7
Alaska,Alaska,AK,02,1,02170,0.30094622605431365,21
Alaska,Alaska,AK,02,1,02198,0.27989878743695046,4
Alaska,Alaska,AK,02,1,02195,0.24342257202525475,3
Alaska,Alaska,AK,02,1,02122,0.2320921455638134,20
Alaska,Alaska,AK,02,1,02110,0.19567653163372287,23
Alaska,Alaska,AK,02,1,02020,0.18546642978427869,29
Alaska,Alaska,AK,02,1,02090,0.13956735746783797,24
Alaska,Alaska,AK,02,1,02150,0.11614838252636926,19
Alaska,Alaska,AK,02,1,02220,0.10392278417026972,7
Alaska,Alaska,AK,02,1,02275,0.09575406324807861,2
Alaska,Alaska,AK,02,1,02070,0.04541075213565419,4
Alaska,Alaska,AK,02,1,02130,0.027437998205396184,5
Alaska,Alaska,AK,02,1,02188,0.01912568306010929,2
Alaska,Alaska,AK,02,1,02016,0.013347682799396252,1
Alaska,Alaska,AK,02,1,02050,0.012219944593939326,6
Alaska,Alaska,AK,02,1,02100,0.011662964138368771,3
Alaska,Alaska,AK,02,1,02105,0.009358288770053477,1
Alaska,Alaska,AK,02,1,02180,0.004807311456995435,2
Alaska,Alaska,AK,02,1,02230,0,0
Alaska,Alaska,AK,02,1,02282,0,0
Alaska,Alaska,AK,02,2,02060,0.9678993098721214,11
Alaska,Alaska,AK,02,2,02066,0.8880737747225319,23
Alaska,Alaska,AK,02,2,02013,0.8415529905561386,9
Alaska,Alaska,AK,02,2,02240,0.7690571518721472,10
Alaska,Alaska,AK,02,2,02063,0.7508738856727322,23
Alaska,Alaska,AK,02,2,02164,0.6688838892692947,5
Alaska,Alaska,AK,02,2,02290,0.6364180007055147,5
Alaska,Alaska,AK,02,2,02185,0.5167665653634315,8
Alaska,Alaska,AK,02,2,02158,0.40433409561145595,2
Alaska,Alaska,AK,02,2,02230,0.3777646431918269,9
Alaska,Alaska,AK,02,2,02170,0.37215984380456657,27
Alaska,Alaska,AK,02,2,02122,0.3616117202978937,29
Alaska,Alaska,AK,02,2,02198,0.31044152241333656,7
Alaska,Alaska,AK,02,2,02110,0.2649533433851855,28
Alaska,Alaska,AK,02,2,02020,0.24485817283179317,29
Alaska,Alaska,AK,02,2,02150,0.23348560473370114,23
Alaska,Alaska,AK,02,2,02090,0.21473767970674928,27
Alaska,Alaska,AK,02,2,02068,0.20738886923204694,12
Alaska,Alaska,AK,02,2,02105,0.14516663574954417,9
Alaska,Alaska,AK,02,2,02275,0.14078375562276044,6
Alaska,Alaska,AK,02,2,02188,0.137082975972276,2
Alaska,Alaska,AK,02,2,02220,0.12499897520780841,10
Alaska,Alaska,AK,02,2,02070,0.12294607263897364,9
Alaska,Alaska,AK,02,2,02100,0.10613813464982334,8
Alaska,Alaska,AK,02,2,02195,0.08165985202059077,6
Alaska,Alaska,AK,02,2,02282,0.07809097384756282,7
Alaska,Alaska,AK,02,2,02130,0.039154059171689404,11
Alaska,Alaska,AK,02,2,02050,0.029327259464368125,6
Alaska,Alaska,AK,02,2,02016,0.021205468516116155,2
Alaska,Alaska,AK,02,2,02180,0.0054208851068568405,3
Alaska,Alaska,AK,02,3,02290,0.9366692266792698,8
Alaska,Alaska,AK,02,3,02060,0.9189865498905223,8
Alaska,Alaska,AK,02,3,02066,0.9109025049447308,27
Alaska,Alaska,AK,02,3,02013,0.8837101984310107,6
Alaska,Alaska,AK,02,3,02240,0.826640808410738,16
Alaska,Alaska,AK,02,3,02230,0.8067078552515445,12
Alaska,Alaska,AK,02,3,02063,0.8016862206834332,27
Alaska,Alaska,AK,02,3,02185,0.5741498518413998,19
Alaska,Alaska,AK,02,3,02100,0.573093220338983,8
Alaska,Alaska,AK,02,3,02164,0.5,5
