fips,0-4,5-17,18-49,50-64,65+
02013,113,375,1643,904,456
02016,128,353,3128,1314,312
02020,18335,49662,134641,49155,37183
02050,1890,4492,7623,2851,1538
02060,54,83,379,232,170
02063,441,994,3064,1412,951
02066,125,565,649,608,679
02068,80,208,1146,294,241
02070,391,1068,1928,768,569
02090,6647,15978,46217,14458,12160
02100,51,411,512,656,456
02105,76,318,761,503,653
02110,1510,4987,13875,6338,5084
02122,3300,9982,23064,11982,12085
02130,584,2194,5698,2859,2433
02150,712,2312,6018,1952,1777
02158,1053,2389,3076,1100,558
02164,67,168,507,163,108
02170,6980,22007,47994,20509,15498
02180,841,2485,4268,1397,875
02185,637,2145,5059,2094,875
02188,740,2037,2897,1137,630
02195,184,449,1289,685,802
02198,301,905,2030,1302,1177
02220,368,1236,3603,1682,1479
02230,65,140,591,221,227
02240,474,1246,2841,1401,1106
02275,133,278,686,419,572
02282,19,45,226,96,141
02290,337,1031,2027,901,899
