fips,0-4,5-17,18-49,50-64,65+
04001,3939,13335,25601,12143,10662
04003,6533,19681,46030,22894,30320
04005,7045,21662,72451,23285,20200
04007,2377,7818,15806,11320,16289
04009,2540,7772,16985,6017,5546
04011,709,1856,4070,1498,1319
04012,702,1903,4225,2763,7012
04013,257715,767965,1941320,806908,718079
04015,8827,26715,64906,47571,69401
04017,6583,21004,38933,20133,21091
04019,52285,156299,435199,184090,222074
04021,24015,73578,179098,76774,95754
04023,3063,9525,18098,8400,9123
04025,9087,28636,70233,52822,80878
04027,14079,37532,83773,30115,42186
