fips,0-4,5-17,18-49,50-64,65+
06001,86381,239895,760433,308603,254161
06003,68,253,639,315,341
06005,1581,4808,14443,9173,11423
06007,10776,31676,92992,34258,38227
06009,1952,5881,14172,10726,13517
06011,1364,4550,8812,3848,3410
06013,61924,194076,478120,231622,199270
06015,1349,4308,10690,5208,5552
06017,8610,29023,67351,42424,45254
06019,71086,211433,443690,159028,131488
06021,1897,5725,11089,4890,4893
06023,6214,19087,59411,23169,26660
06025,12744,38310,76405,28042,24701
06027,903,2878,6508,3775,4675
06029,64206,197284,402411,142614,108560
06031,10887,30239,73143,22445,16584
06033,3751,11183,23203,13725,16290
06035,1389,4222,14435,5298,5012
06037,501022,1518118,4438323,1863504,1487700
06039,10693,32979,68137,25983,23148
06041,11325,38661,88157,58481,61345
06043,619,2322,5423,3645,5073
06045,4666,14231,32148,17045,22154
06047,20395,62935,128564,44306,34001
06049,393,1246,2879,1360,2722
06051,595,1734,5670,2852,2297
06053,28601,83673,187354,72917,65068
06055,6029,20197,53315,26873,28455
06057,4031,13380,33684,21353,30033
06059,165190,499943,1351895,633968,514824
06061,20778,70509,160495,81552,85822
06063,844,2492,5916,4057,6114
06065,144366,453003,1059059,439284,382888
06067,94169,270356,700685,285426,243370
06069,4314,12702,29058,11982,9234
06071,139323,421055,982369,377373,276984
06073,183613,503704,1511854,581869,507734
06075,34146,79362,415699,154518,146510
06077,51565,157259,345265,135515,107730
06079,12304,36940,120262,49711,62338
06081,37891,107204,318186,146817,132242
06083,26895,72504,199062,71530,73710
06085,98758,291318,873413,356548,282010
06087,11642,37071,115797,50141,50275
06089,9628,29520,68541,34738,39009
06091,0,397,915,471,963
06093,1971,6719,14097,8578,12101
06095,25481,73349,189084,85266,78738
06097,22502,69895,191139,97115,104389
06099,36821,110558,237405,92935,76271
06101,6139,18735,40436,17331,16216
06103,3756,11940,23810,12576,13085
06105,608,2119,4444,3894,4795
06107,34687,107734,206133,73038,57101
06109,2230,7075,19199,10655,15339
06111,44164,138543,343760,165209,145793
06113,10516,33767,112971,33598,29712
06115,6171,16793,36822,13661,11060
