fips,0-4,5-17,18-49,50-64,65+
08001,33697,98142,250981,87480,59925
08003,958,2981,7714,2421,2507
08005,37890,111172,298789,116860,95133
08007,530,1791,4362,3220,3997
08009,176,592,1166,610,884
08011,187,702,2526,1086,1048
08013,12786,44929,156976,60328,53942
08014,3360,12255,34799,13989,11901
08015,714,2090,7766,4301,5307
08017,89,297,591,422,342
08019,254,1116,3425,2365,2102
08021,459,1444,2705,1373,1549
08023,177,494,1114,793,1029
08025,148,587,3067,971,874
08027,100,619,1456,1334,1738
08029,1439,4590,10327,6269,8973
08031,38368,91147,392270,107381,89711
08033,135,205,670,645,777
08035,20324,67974,159343,77036,52473
08037,2753,8515,24476,11520,7871
08039,1384,4535,9844,6865,5246
08041,45550,126177,342908,124077,104287
08043,1917,6019,20143,10184,11371
08045,3969,11370,26423,11495,9222
08047,300,667,2185,1434,1315
08049,688,1847,6370,3665,3325
08051,466,2148,8806,3218,2603
08053,38,148,346,162,311
08055,272,816,2000,1460,2424
08057,40,192,399,294,447
08059,26993,79977,256034,112730,103643
08061,58,240,411,364,303
08063,441,1394,2535,1259,1394
08065,373,996,3803,1092,1116
08067,2274,7593,23327,11409,11728
08069,15898,51441,174799,61466,63764
08071,623,1969,5236,2834,3751
08073,247,717,2547,1025,1014
08075,1001,2756,9325,3818,3992
08077,7918,24492,63548,29231,33412
08079,25,61,212,193,238
08081,711,2486,5172,2644,2194
08083,1250,4218,9210,5135,6599
08085,2025,6750,15242,8390,11400
08087,1995,5373,12124,5292,4736
08089,1028,3204,7000,3195,3894
08091,94,545,1464,1164,1820
08093,593,1961,6188,4903,4262
08095,263,882,1632,795,924
08097,498,1986,6670,3956,3875
08099,758,2349,4524,2038,2241
08101,9027,27877,67611,31434,33407
08103,449,1140,2621,1191,1143
08105,562,1719,4261,2201,2578
08107,916,3396,10587,5548,4637
08109,291,883,2154,1498,1754
08111,37,56,385,112,134
08113,201,1224,3206,1856,1481
08115,177,333,814,423,557
08117,1144,3902,15110,5987,4874
08119,853,3036,8045,6667,6224
08121,252,819,1778,896,1086
08123,23770,65502,157655,58116,45353
08125,718,2058,3566,1797,1840
