fips,0-4,5-17,18-49,50-64,65+
12001,13390,37390,149210,41857,43645
12003,1634,5261,11974,5226,4335
12005,10295,29087,73936,38997,34078
12007,1567,4148,11819,5283,5068
12009,27553,86702,223942,139553,155030
12011,107235,303102,806902,405479,354411
12013,627,2041,5529,2789,2506
12015,5527,18121,50210,45678,81528
12017,5530,18406,43917,35348,59271
12019,11810,40189,90242,46337,39006
12021,16441,48475,119797,78857,134721
12023,3961,11946,27484,13846,14552
12027,1788,4561,14178,6442,8417
12029,717,2337,6119,3804,4081
12031,64410,164643,449934,187484,156682
12033,18573,49516,138479,60996,58359
12035,4469,15866,38333,28232,39628
12037,460,1478,4324,2965,3326
12039,2494,7149,16325,9040,8702
12041,1043,2994,7013,4139,3851
12043,337,1325,5094,2546,3261
12045,642,1640,5861,3396,3592
12047,725,2075,5476,2659,2681
12049,1550,4720,10765,4502,4138
12051,2719,7853,18726,7231,5853
12053,8966,29387,71043,43026,54596
12055,4298,13333,30618,19402,38051
12057,86186,243005,682483,281910,229164
12059,962,3029,7312,4071,4139
12061,6376,18710,48462,35217,58171
12063,2431,6704,19910,9127,10078
12065,619,1970,5311,3497,3694
12067,342,1072,3534,1465,1748
12069,19281,59184,143686,80910,109863
12071,36536,103774,277105,163702,236549
12073,14365,40689,153612,44868,44008
12075,2196,6605,15510,9679,11401
12077,308,1198,3481,1615,1085
12079,863,2333,6903,3847,4143
12081,18722,56460,141695,90376,122539
12083,18813,56230,132926,77320,114789
12085,6454,19680,48841,34996,52205
12086,148834,399245,1168621,557760,463896
12087,3584,9247,29058,19724,20247
12089,4491,14432,33778,21763,23395
12091,13347,35579,92098,39528,36047
12093,2261,6460,15790,8136,8169
12095,83112,231530,702952,262604,191739
12097,25414,76638,193067,75034,57262
12099,75655,213461,561815,301886,380989
12101,29762,94016,231935,121524,134207
12103,37436,111145,343522,217130,254248
12105,44379,129568,322735,139819,154193
12107,4104,11850,25930,15393,17887
12109,13874,52319,111970,64154,64617
12111,17876,53025,129126,71939,88534
12113,10390,32860,81310,40683,33229
12115,15115,49210,125643,97217,172362
12117,23814,75101,209953,92550,80052
12119,2639,7606,24977,25464,82722
12121,1992,7479,16895,9349,9627
12123,961,3404,8310,4260,4568
12125,840,2574,6606,3074,2607
12127,25539,75285,209093,122571,147134
12129,1799,5515,14909,7323,5841
12131,4686,12664,30620,18320,16658
12133,1230,3880,10381,5235,4803
