"date","location","observation","age_group","target"
2024-11-09,"10",0,"0-4","inc hosp"
2024-11-09,"10",0,"5-17","inc hosp"
2024-11-09,"10",0,"18-49","inc hosp"
2024-11-09,"10",0,"50-64","inc hosp"
2024-11-09,"10",1,"65-130","inc hosp"
2024-11-16,"10",0,"0-4","inc hosp"
2024-11-16,"10",0,"5-17","inc hosp"
2024-11-16,"10",3,"18-49","inc hosp"
2024-11-16,"10",0,"50-64","inc hosp"
2024-11-16,"10",1,"65-130","inc hosp"
2024-11-23,"10",0,"0-4","inc hosp"
2024-11-23,"10",0,"5-17","inc hosp"
2024-11-23,"10",2,"18-49","inc hosp"
2024-11-23,"10",4,"50-64","inc hosp"
2024-11-23,"10",1,"65-130","inc hosp"
2024-11-30,"10",0,"0-4","inc hosp"
2024-11-30,"10",0,"5-17","inc hosp"
2024-11-30,"10",2,"18-49","inc hosp"
2024-11-30,"10",1,"50-64","inc hosp"
2024-11-30,"10",2,"65-130","inc hosp"
2024-12-07,"10",3,"0-4","inc hosp"
2024-12-07,"10",0,"5-17","inc hosp"
2024-12-07,"10",1,"18-49","inc hosp"
2024-12-07,"10",1,"50-64","inc hosp"
2024-12-07,"10",10,"65-130","inc hosp"
2024-12-14,"10",1,"0-4","inc hosp"
2024-12-14,"10",3,"5-17","inc hosp"
2024-12-14,"10",4,"18-49","inc hosp"
2024-12-14,"10",4,"50-64","inc hosp"
2024-12-14,"10",3,"65-130","inc hosp"
2024-12-21,"10",5,"0-4","inc hosp"
2024-12-21,"10",2,"5-17","inc hosp"
2024-12-21,"10",7,"18-49","inc hosp"
2024-12-21,"10",7,"50-64","inc hosp"
2024-12-21,"10",22,"65-130","inc hosp"
2024-12-28,"10",12,"0-4","inc hosp"
2024-12-28,"10",5,"5-17","inc hosp"
2024-12-28,"10",25,"18-49","inc hosp"
2024-12-28,"10",13,"50-64","inc hosp"
2024-12-28,"10",41,"65-130","inc hosp"
2025-01-04,"10",14,"0-4","inc hosp"
2025-01-04,"10",6,"5-17","inc hosp"
2025-01-04,"10",32,"18-49","inc hosp"
2025-01-04,"10",39,"50-64","inc hosp"
2025-01-04,"10",94,"65-130","inc hosp"
2025-01-11,"10",15,"0-4","inc hosp"
2025-01-11,"10",9,"5-17","inc hosp"
2025-01-11,"10",12,"18-49","inc hosp"
2025-01-11,"10",19,"50-64","inc hosp"
2025-01-11,"10",53,"65-130","inc hosp"
2025-01-18,"10",11,"0-4","inc hosp"
2025-01-18,"10",8,"5-17","inc hosp"
2025-01-18,"10",14,"18-49","inc hosp"
2025-01-18,"10",21,"50-64","inc hosp"
2025-01-18,"10",40,"65-130","inc hosp"
2025-01-25,"10",12,"0-4","inc hosp"
2025-01-25,"10",16,"5-17","inc hosp"
2025-01-25,"10",19,"18-49","inc hosp"
2025-01-25,"10",22,"50-64","inc hosp"
2025-01-25,"10",48,"65-130","inc hosp"
2025-02-01,"10",21,"0-4","inc hosp"
2025-02-01,"10",29,"5-17","inc hosp"
2025-02-01,"10",22,"18-49","inc hosp"
2025-02-01,"10",36,"50-64","inc hosp"
2025-02-01,"10",90,"65-130","inc hosp"
2025-02-08,"10",18,"0-4","inc hosp"
2025-02-08,"10",26,"5-17","inc hosp"
2025-02-08,"10",30,"18-49","inc hosp"
2025-02-08,"10",40,"50-64","inc hosp"
2025-02-08,"10",117,"65-130","inc hosp"
2025-02-15,"10",14,"0-4","inc hosp"
2025-02-15,"10",16,"5-17","inc hosp"
2025-02-15,"10",29,"18-49","inc hosp"
2025-02-15,"10",46,"50-64","inc hosp"
2025-02-15,"10",125,"65-130","inc hosp"
2025-02-22,"10",11,"0-4","inc hosp"
2025-02-22,"10",10,"5-17","inc hosp"
2025-02-22,"10",19,"18-49","inc hosp"
2025-02-22,"10",33,"50-64","inc hosp"
2025-02-22,"10",91,"65-130","inc hosp"
2025-03-01,"10",14,"0-4","inc hosp"
2025-03-01,"10",14,"5-17","inc hosp"
2025-03-01,"10",19,"18-49","inc hosp"
2025-03-01,"10",18,"50-64","inc hosp"
2025-03-01,"10",60,"65-130","inc hosp"
2025-03-08,"10",2,"0-4","inc hosp"
2025-03-08,"10",9,"5-17","inc hosp"
2025-03-08,"10",11,"18-49","inc hosp"
2025-03-08,"10",16,"50-64","inc hosp"
2025-03-08,"10",43,"65-130","inc hosp"
2025-03-15,"10",5,"0-4","inc hosp"
2025-03-15,"10",9,"5-17","inc hosp"
2025-03-15,"10",9,"18-49","inc hosp"
2025-03-15,"10",10,"50-64","inc hosp"
2025-03-15,"10",31,"65-130","inc hosp"
2025-03-22,"10",6,"0-4","inc hosp"
2025-03-22,"10",3,"5-17","inc hosp"
2025-03-22,"10",6,"18-49","inc hosp"
2025-03-22,"10",7,"50-64","inc hosp"
2025-03-22,"10",26,"65-130","inc hosp"
2025-03-29,"10",5,"0-4","inc hosp"
2025-03-29,"10",2,"5-17","inc hosp"
2025-03-29,"10",4,"18-49","inc hosp"
2025-03-29,"10",4,"50-64","inc hosp"
2025-03-29,"10",19,"65-130","inc hosp"
2025-04-05,"10",3,"0-4","inc hosp"
2025-04-05,"10",6,"5-17","inc hosp"
2025-04-05,"10",5,"18-49","inc hosp"
2025-04-05,"10",4,"50-64","inc hosp"
2025-04-05,"10",6,"65-130","inc hosp"
2025-04-12,"10",0,"0-4","inc hosp"
2025-04-12,"10",3,"5-17","inc hosp"
2025-04-12,"10",4,"18-49","inc hosp"
2025-04-12,"10",1,"50-64","inc hosp"
2025-04-12,"10",6,"65-130","inc hosp"
2025-04-19,"10",2,"0-4","inc hosp"
2025-04-19,"10",2,"5-17","inc hosp"
2025-04-19,"10",0,"18-49","inc hosp"
2025-04-19,"10",0,"50-64","inc hosp"
2025-04-19,"10",6,"65-130","inc hosp"
2025-04-26,"10",0,"0-4","inc hosp"
2025-04-26,"10",1,"5-17","inc hosp"
2025-04-26,"10",0,"18-49","inc hosp"
2025-04-26,"10",0,"50-64","inc hosp"
2025-04-26,"10",3,"65-130","inc hosp"
2025-05-03,"10",1,"0-4","inc hosp"
2025-05-03,"10",3,"5-17","inc hosp"
2025-05-03,"10",1,"18-49","inc hosp"
2025-05-03,"10",2,"50-64","inc hosp"
2025-05-03,"10",3,"65-130","inc hosp"
2025-05-10,"10",0,"0-4","inc hosp"
2025-05-10,"10",2,"5-17","inc hosp"
2025-05-10,"10",1,"18-49","inc hosp"
2025-05-10,"10",0,"50-64","inc hosp"
2025-05-10,"10",2,"65-130","inc hosp"
2025-05-17,"10",0,"0-4","inc hosp"
2025-05-17,"10",0,"5-17","inc hosp"
2025-05-17,"10",0,"18-49","inc hosp"
2025-05-17,"10",0,"50-64","inc hosp"
2025-05-17,"10",0,"65-130","inc hosp"
2025-05-24,"10",0,"0-4","inc hosp"
2025-05-24,"10",0,"5-17","inc hosp"
2025-05-24,"10",1,"18-49","inc hosp"
2025-05-24,"10",0,"50-64","inc hosp"
2025-05-24,"10",0,"65-130","inc hosp"
2025-05-31,"10",0,"0-4","inc hosp"
2025-05-31,"10",0,"5-17","inc hosp"
2025-05-31,"10",0,"18-49","inc hosp"
2025-05-31,"10",0,"50-64","inc hosp"
2025-05-31,"10",0,"65-130","inc hosp"
2025-06-07,"10",0,"0-4","inc hosp"
2025-06-07,"10",0,"5-17","inc hosp"
2025-06-07,"10",0,"18-49","inc hosp"
2025-06-07,"10",0,"50-64","inc hosp"
2025-06-07,"10",0,"65-130","inc hosp"
2025-06-14,"10",1,"0-4","inc hosp"
2025-06-14,"10",2,"5-17","inc hosp"
2025-06-14,"10",0,"18-49","inc hosp"
2025-06-14,"10",0,"50-64","inc hosp"
2025-06-14,"10",2,"65-130","inc hosp"
2025-06-21,"10",1,"0-4","inc hosp"
2025-06-21,"10",0,"5-17","inc hosp"
2025-06-21,"10",1,"18-49","inc hosp"
2025-06-21,"10",0,"50-64","inc hosp"
2025-06-21,"10",1,"65-130","inc hosp"
2025-06-28,"10",0,"0-4","inc hosp"
2025-06-28,"10",1,"5-17","inc hosp"
2025-06-28,"10",0,"18-49","inc hosp"
2025-06-28,"10",0,"50-64","inc hosp"
2025-06-28,"10",0,"65-130","inc hosp"
2025-07-05,"10",0,"0-4","inc hosp"
2025-07-05,"10",0,"5-17","inc hosp"
2025-07-05,"10",1,"18-49","inc hosp"
2025-07-05,"10",0,"50-64","inc hosp"
2025-07-05,"10",2,"65-130","inc hosp"
2025-07-12,"10",0,"0-4","inc hosp"
2025-07-12,"10",0,"5-17","inc hosp"
2025-07-12,"10",0,"18-49","inc hosp"
2025-07-12,"10",0,"50-64","inc hosp"
2025-07-12,"10",2,"65-130","inc hosp"
2025-07-19,"10",0,"0-4","inc hosp"
2025-07-19,"10",0,"5-17","inc hosp"
2025-07-19,"10",0,"18-49","inc hosp"
2025-07-19,"10",0,"50-64","inc hosp"
2025-07-19,"10",1,"65-130","inc hosp"
2025-07-26,"10",0,"0-4","inc hosp"
2025-07-26,"10",0,"5-17","inc hosp"
2025-07-26,"10",0,"18-49","inc hosp"
2025-07-26,"10",0,"50-64","inc hosp"
2025-07-26,"10",0,"65-130","inc hosp"
2025-08-02,"10",0,"0-4","inc hosp"
2025-08-02,"10",0,"5-17","inc hosp"
2025-08-02,"10",0,"18-49","inc hosp"
2025-08-02,"10",0,"50-64","inc hosp"
2025-08-02,"10",0,"65-130","inc hosp"
2025-08-09,"10",0,"0-4","inc hosp"
2025-08-09,"10",0,"5-17","inc hosp"
2025-08-09,"10",0,"18-49","inc hosp"
2025-08-09,"10",0,"50-64","inc hosp"
2025-08-09,"10",0,"65-130","inc hosp"
2025-08-16,"10",0,"0-4","inc hosp"
2025-08-16,"10",0,"5-17","inc hosp"
2025-08-16,"10",0,"18-49","inc hosp"
2025-08-16,"10",0,"50-64","inc hosp"
2025-08-16,"10",0,"65-130","inc hosp"
2025-08-23,"10",0,"0-4","inc hosp"
2025-08-23,"10",0,"5-17","inc hosp"
2025-08-23,"10",0,"18-49","inc hosp"
2025-08-23,"10",0,"50-64","inc hosp"
2025-08-23,"10",0,"65-130","inc hosp"
2025-08-30,"10",0,"0-4","inc hosp"
2025-08-30,"10",0,"5-17","inc hosp"
2025-08-30,"10",0,"18-49","inc hosp"
2025-08-30,"10",0,"50-64","inc hosp"
2025-08-30,"10",2,"65-130","inc hosp"
2025-09-06,"10",0,"0-4","inc hosp"
2025-09-06,"10",0,"5-17","inc hosp"
2025-09-06,"10",0,"18-49","inc hosp"
2025-09-06,"10",0,"50-64","inc hosp"
2025-09-06,"10",0,"65-130","inc hosp"
2025-09-13,"10",0,"0-4","inc hosp"
2025-09-13,"10",0,"5-17","inc hosp"
2025-09-13,"10",0,"18-49","inc hosp"
2025-09-13,"10",0,"50-64","inc hosp"
2025-09-13,"10",0,"65-130","inc hosp"
2025-09-20,"10",2,"0-4","inc hosp"
2025-09-20,"10",0,"5-17","inc hosp"
2025-09-20,"10",0,"18-49","inc hosp"
2025-09-20,"10",0,"50-64","inc hosp"
2025-09-20,"10",0,"65-130","inc hosp"
2025-09-27,"10",0,"0-4","inc hosp"
2025-09-27,"10",0,"5-17","inc hosp"
2025-09-27,"10",0,"18-49","inc hosp"
2025-09-27,"10",0,"50-64","inc hosp"
2025-09-27,"10",0,"65-130","inc hosp"
2025-10-04,"10",0,"0-4","inc hosp"
2025-10-04,"10",0,"5-17","inc hosp"
2025-10-04,"10",0,"18-49","inc hosp"
2025-10-04,"10",0,"50-64","inc hosp"
2025-10-04,"10",1,"65-130","inc hosp"
2025-10-11,"10",1,"0-4","inc hosp"
2025-10-11,"10",0,"5-17","inc hosp"
2025-10-11,"10",0,"18-49","inc hosp"
2025-10-11,"10",0,"50-64","inc hosp"
2025-10-11,"10",6,"65-130","inc hosp"
2025-10-18,"10",0,"0-4","inc hosp"
2025-10-18,"10",0,"5-17","inc hosp"
2025-10-18,"10",0,"18-49","inc hosp"
2025-10-18,"10",0,"50-64","inc hosp"
2025-10-18,"10",1,"65-130","inc hosp"
2025-10-25,"10",0,"0-4","inc hosp"
2025-10-25,"10",0,"5-17","inc hosp"
2025-10-25,"10",0,"18-49","inc hosp"
2025-10-25,"10",0,"50-64","inc hosp"
