fips,0-4,5-17,18-49,50-64,65+
13001,1111,3394,6926,3631,3431
13003,609,1501,3544,1497,1186
13005,740,2053,4285,2048,1983
13007,61,386,941,643,759
13009,2011,6025,20158,7932,7516
13011,1036,3081,7499,4297,3351
13013,5732,16863,39494,16223,11574
13015,6651,19631,47057,23254,16520
13017,1028,3151,6511,3323,3076
13019,1085,3207,7137,3701,3222
13021,10041,28162,64616,28004,25755
13023,548,1973,5330,2324,2255
13025,914,2920,7364,3937,3180
13027,826,2432,6044,3403,3588
13029,3392,10669,21416,7514,5272
13031,4485,12065,43338,12530,10265
13033,1469,4536,9221,4913,4331
13035,1377,4073,11429,5440,4177
13037,227,613,2716,990,952
13039,3768,9946,25004,9513,8739
13043,471,2263,4085,2114,2110
13045,7753,21860,55050,22203,17703
13047,3353,11699,26885,13891,12806
13049,488,2057,6079,2363,1831
13051,17312,44913,135011,53267,50376
13053,584,727,6602,577,397
13055,1283,4218,9851,5008,4676
13057,15132,48871,115177,57350,44502
13059,6115,15570,74259,17465,16200
13061,155,407,992,465,831
13063,20108,59972,133218,53604,32022
13065,447,1229,2757,1120,1206
13067,43658,131309,346092,148331,105818
13069,2868,7772,18710,7679,6318
13071,3056,8800,18589,8331,7448
13073,9603,30753,68619,28904,24555
13075,1219,3239,6882,3358,2834
13077,8468,26810,62257,32099,23218
13079,564,1983,4364,2844,2470
13081,1319,3354,7490,3714,3913
13083,966,2255,6356,3195,3393
13085,1743,4434,11678,6487,5900
13087,1954,5107,11496,5641,4997
13089,49731,124311,348761,137272,105276
13091,890,2817,8046,4132,3920
13093,384,1326,4400,2430,2444
13095,5396,14629,33861,14762,14443
13097,8622,28827,62880,29508,18051
13099,646,1940,3826,2081,2110
13101,336,787,1536,594,456
13103,4374,13883,29357,12898,8631
13105,1139,3241,7208,4060,4201
13107,1470,4262,9434,4084,3776
13109,616,2088,4288,1928,1837
13111,1051,2938,7625,6163,7965
13113,5226,22274,44241,26036,24467
13115,5803,16803,41730,18613,16744
13117,14414,54358,112286,52273,33956
13119,1378,4003,9323,4896,4634
13121,57520,167188,518869,196250,136734
13123,1561,4375,10279,7445,8766
13125,125,534,1182,549,542
13127,4414,13370,31344,16921,19398
13129,3389,10283,24322,11744,9362
13131,1599,4833,9740,4987,4949
13133,758,2702,5938,4500,6211
13135,59553,195605,428152,185764,110790
13137,2681,7747,19229,8890,9246
13139,12969,37671,86808,40598,34659
13141,118,1070,3416,1866,2180
13143,1787,5642,12712,6304,4840
13145,1625,6119,13281,8121,6940
13147,1356,4121,9702,5665,6095
13149,598,2118,4451,2529,2077
13151,14217,48400,105838,50288,31217
13153,10480,32845,72880,30183,23261
13155,592,1515,3833,1664,1681
13157,5151,16134,35191,15983,12298
13159,953,2766,6029,3390,2791
13161,791,3032,5851,2908,2342
13163,846,2616,5993,3021,2865
13165,223,1273,3507,1857,1851
13167,463,1170,3907,1783,1867
13169,1507,5018,11031,5952,5165
13171,1035,2965,8414,3701,3456
13173,622,1681,4426,1939,1553
13175,3093,9138,19232,9191,9144
13177,1963,6643,14219,6144,4657
13179,6383,12350,33376,8460,6828
13181,300,1172,2604,1754,2024
13183,1423,3649,8407,3095,1800
13185,7963,21514,56327,18238,15923
13187,1503,4352,15973,6258,6419
13189,1283,4084,7948,4285,4118
13191,293,1419,3667,2585,3348
13193,569,1566,5192,2281,2256
13195,1923,5460,12431,5920,5794
13197,313,1206,2802,1551,1637
13199,1191,3196,7720,4349,4473
13201,249,1066,2005,1212,1318
13205,1215,3608,8213,4099,3923
13207,1432,4835,11615,6105,5677
13209,446,1304,3566,1783,1541
13211,1137,3524,7722,4373,4322
13213,2357,7195,16566,8340,6104
13215,13796,36994,88674,34155,30092
13217,7070,22798,49946,22468,15870
13219,2065,9234,16296,8650,7306
13221,703,2629,5757,3451,2969
13223,10808,34769,77662,34673,20997
13225,1532,4544,12189,5516,4779
13227,1598,4959,12250,8113,8031
13229,1110,3872,7653,4112,3455
13231,1046,3571,7966,4171,3149
13233,2855,8136,17809,8249,6736
13235,534,1201,3821,2075,2308
13237,843,3593,7513,5227,5679
13239,53,264,605,500,842
13241,749,2063,5810,3698,4992
13243,589,1086,2134,1013,1374
13245,13270,33939,91732,35558,31570
13247,5280,17305,37716,19912,15068
13249,200,912,1622,1119,660
13251,832,2109,5233,3028,2928
13253,460,1376,3042,1921,2357
13255,4351,11781,26839,12760,13161
13257,1485,4278,10238,5276,5735
13259,92,500,2507,983,787
13261,1686,4825,12115,5283,5152
13263,167,779,1846,1377,1573
13265,74,217,543,265,459
13267,1131,3741,11236,4364,3736
13269,388,1150,2754,1785,1709
13271,481,1426,5535,2147,2242
13273,463,1512,3247,1778,1850
13275,2690,8106,17361,8900,8720
13277,2680,7593,17455,7111,6599
13279,1887,5235,10566,4784,4630
13281,413,1206,3794,2731,4769
13283,404,989,2566,1225,1192
13285,4315,12908,28713,13220,11174
13287,658,1581,3324,1647,1729
13289,288,1179,2565,1855,1916
13291,931,2992,7315,6079,8987
13293,1631,4766,10644,5773,5215
13295,3628,10928,26934,13770,13502
13297,5873,18812,41326,20453,16849
13299,2240,6694,14356,6519,6167
13301,319,732,1923,988,1208
13303,1045,3200,7943,4034,3627
13305,1833,5577,12659,5893,4987
13307,54,285,1177,402,463
13309,248,906,3929,955,1297
13311,1358,4215,10321,6221,6695
13313,6370,19377,43432,18936,15483
13315,392,1279,3781,1597,1749
13317,472,1453,3327,1988,2309
13319,478,1437,3128,1906,1798
13321,1137,3411,7363,4371,4169
