fips,0-4,5-17,18-49,50-64,65+
16001,26383,87810,226398,94074,84270
16003,174,653,1381,1107,1429
16005,5435,17034,39253,14024,13708
16007,442,1378,2271,1149,1410
16009,516,1719,3296,2185,2426
16011,3434,11022,19828,7842,7538
16013,1059,3722,9216,5289,5665
16015,323,951,2511,2149,2339
16017,2342,7654,16501,11075,13477
16019,9518,29085,53854,19116,17950
16021,842,2230,4436,2571,3093
16023,104,556,993,487,544
16025,84,213,440,170,217
16027,16831,50207,106345,40940,36467
16029,441,1450,2726,1247,1298
16031,1987,5892,10107,3804,3693
16033,92,150,334,170,103
16035,315,1026,2990,2067,2614
16037,139,484,997,1216,1634
16039,2223,4878,13250,4632,4338
16041,1184,3409,5887,2327,2249
16043,769,2571,5572,2484,2547
16045,1013,3510,7209,4127,4755
16047,1010,3194,6028,2759,2940
16049,872,2584,5360,3492,5124
16051,2369,8355,13427,5049,3954
16053,1826,5635,10108,4241,3363
16055,9882,30774,70187,34562,36591
16057,2006,5742,21413,5810,6078
16059,333,1066,2534,1766,2550
16061,197,611,1057,774,1043
16063,345,1048,2149,991,825
16065,3711,7343,37192,3427,2945
16067,1511,4754,8754,3613,3576
16069,2212,6851,16297,8339,8998
16071,304,985,1740,790,949
16073,738,2318,4707,2326,2414
16075,1721,5105,9782,4875,5288
16077,424,1999,3010,1319,1381
16079,842,2015,4781,2933,3214
16081,699,2076,5386,2486,1778
16083,5903,18769,38343,15171,15548
16085,615,1711,4084,2630,3349
16087,578,1896,3615,2089,2964
