fips,0-4,5-17,18-49,50-64,65+
17001,3790,10788,24093,12766,13317
17003,176,864,1475,1145,1215
17005,701,2262,7445,3171,3137
17007,2702,9948,20867,10797,8916
17009,287,775,2996,1235,1029
17011,1665,5134,11712,6741,7614
17013,181,680,1377,991,1101
17015,662,2097,5883,3166,3768
17017,856,2263,5015,2343,2307
17019,10708,29155,110138,29756,28984
17021,1628,4854,13169,7090,6797
17023,855,2557,5537,3222,3095
17025,761,2350,4649,2565,2727
17027,2085,5895,14281,7738,6955
17029,2311,6238,21450,8186,8592
17031,280520,811682,2313273,949459,827156
17033,1013,2733,7282,3824,3659
17035,544,1773,3729,2115,2173
17037,5413,16310,48847,16113,14020
17039,886,2394,5640,3271,3182
17041,1338,3521,7649,3564,3679
17043,51582,154493,377356,185353,161240
17045,808,2467,5741,3439,4080
17047,333,1005,2090,1277,1370
17049,2150,6115,13003,6753,6501
17051,1207,3148,8581,4215,4164
17053,765,2365,4968,2680,2628
17055,2104,6136,13603,7645,7835
17057,1591,4860,12658,6822,7089
17059,210,776,1607,1009,1217
17061,609,1966,4134,2540,2434
17063,3007,9932,21880,10369,8031
17065,410,1321,2797,1572,1816
17067,828,2807,5684,3706,4256
17069,102,431,1129,867,1076
17071,290,855,1937,1401,1710
17073,2341,8175,17686,9850,10591
17075,1461,4242,9334,5435,5977
17077,2716,7278,26143,8149,8778
17079,537,1532,3198,1987,1926
17081,2067,6073,13956,7156,7298
17083,985,3222,8070,4606,4391
17085,865,3107,6622,4716,6541
17087,566,1917,5642,2621,2630
17089,29631,93933,211562,101738,80391
17091,6063,18209,42948,20385,19030
17093,8389,28849,61145,23826,15466
17095,2643,7264,18859,9373,10907
17097,37967,128339,291835,143290,112792
17099,5643,17377,41431,22594,21669
17101,642,2154,6547,2909,2779
17103,1598,5057,13014,6973,7227
17105,2018,5784,13476,7123,7164
17107,1257,4081,11707,5259,5409
17109,1327,3523,12637,4234,5199
17111,16493,54596,122579,67411,51512
17113,9170,27221,81472,28689,25004
17115,6169,16897,38335,19036,21412
17117,2195,6941,16194,9454,9566
17119,13780,42568,106393,52563,48934
17121,2293,6392,13523,7319,7473
17123,574,1804,3969,2500,2800
17125,603,2044,4460,2699,2939
17127,630,2325,4854,3007,3049
17129,624,2019,4357,2582,2513
17131,738,2492,5560,3316,3389
17133,1807,5844,12894,7578,6913
17135,1398,4223,10610,5704,6007
17137,1625,4627,13412,6460,6897
17139,818,2814,5297,2756,2739
17141,2722,8708,19131,10660,10274
17143,11628,31343,72070,31791,32813
17145,990,2989,8503,3972,4185
17147,822,2786,6105,3453,3529
17149,896,2457,5106,2858,3152
17151,174,365,1098,1018,1084
17153,252,780,1905,906,1172
17155,255,848,1865,1254,1379
17157,1450,4613,11269,6333,6393
17159,893,2691,5647,3133,3234
17161,8232,23859,55359,26246,29061
17163,14421,43992,101624,49650,44007
17165,1298,3501,8345,5073,4996
17167,10846,31794,75845,38613,37849
17169,267,886,2320,1570,1744
17171,214,816,1693,1072,1142
17173,1085,3327,7082,4321,4905
17175,304,843,1880,1066,1215
17177,2304,6992,14711,9090,10671
17179,6679,21905,50377,25447,25882
17181,884,2733,6028,3453,3899
17183,4281,12673,26834,13900,14698
17185,553,1778,4166,2113,2509
17187,796,2897,6285,3183,3286
17189,711,2125,4887,2956,2948
17191,911,2681,5682,3189,3510
17193,661,2296,4710,2761,3191
17195,3008,9057,19758,11157,11967
17197,38073,127491,291746,141885,102267
17199,3492,10735,25993,13520,13136
17201,17245,49286,109394,54849,52518
17203,2153,7008,14216,7519,7416
