fips,0-4,5-17,18-49,50-64,65+
18001,3213,8122,12944,6027,5921
18003,26425,73205,163270,68200,61278
18005,5201,14901,34702,14779,13953
18007,530,1617,3284,1792,1512
18009,603,2119,4070,2527,2631
18011,4625,14441,30069,14389,11194
18013,606,1987,4932,3927,4154
18015,1127,3343,7533,4277,4255
18017,2125,6558,14375,7537,7085
18019,7264,20155,51780,24358,20797
18021,1580,4473,9981,5389,4986
18023,2245,6603,12635,6124,5337
18025,545,1628,3654,2484,2188
18027,2903,7112,12763,5496,5384
18029,2782,8394,18958,11122,9838
18031,1626,4582,10200,5217,4797
18033,2749,7804,16973,8651,7630
18035,5273,15103,52297,19850,19757
18037,2689,7893,15838,9010,8184
18039,14955,41752,82358,36124,31943
18041,1253,3883,8572,4827,4799
18043,4424,13707,32369,16135,14283
18045,1061,2629,6182,3462,3283
18047,1300,3764,8269,5013,4674
18049,1161,3583,7358,4043,4167
18051,1939,5871,12587,6596,6007
18053,3748,10388,26643,12746,12770
18055,1622,5004,11400,6675,6320
18057,21355,71381,152815,68832,50673
18059,4698,14807,33490,16501,14541
18061,2074,6779,14899,8446,7661
18063,10107,34869,76647,34135,27586
18065,2414,7490,19356,10122,9588
18067,4975,14160,31476,16509,16632
18069,2030,5933,14506,7448,6881
18071,2948,9103,18316,8751,7542
18073,1846,5804,12740,6638,6206
18075,1407,3778,7441,3903,3700
18077,1720,4859,13223,6856,6340
18079,1539,4838,10602,5765,4818
18081,9893,30468,69808,29961,26185
18083,1999,5788,14635,6708,6877
18085,4823,14106,31484,15488,14541
18087,3552,9400,15147,6761,5945
18089,28629,87211,198610,96487,89442
18091,5973,17783,44121,22279,21761
18093,2522,7042,16682,9609,9247
18095,7196,21087,52779,26028,24810
18097,68444,175471,439815,163627,128452
18099,2870,8447,17297,8884,8786
18101,561,1578,3606,2022,2063
18103,1786,5644,14749,7039,6494
18105,5654,16475,77322,20867,20647
18107,2254,6555,14598,7683,7222
18109,3745,12278,27459,16000,13177
18111,774,2116,5029,3184,2819
18113,3114,8443,18354,9464,8120
18115,291,905,2023,1367,1413
18117,1194,3337,7154,3971,4111
18119,1136,3260,7692,4914,4602
18121,962,2689,5998,3387,3370
18123,1034,2940,7681,3856,3759
18125,656,2019,4301,2564,2614
18127,8784,28537,71048,34496,31953
18129,1292,4126,9094,5359,5245
18131,695,2051,4524,2512,2659
18133,1771,5438,16299,7304,6468
18135,1426,4103,8925,4902,5031
18137,1695,5167,10773,6001,5459
18139,919,2863,6103,3596,3258
18141,16634,46669,116014,47700,46023
18143,1415,4287,9415,5222,4187
18145,2654,7515,17219,9436,8441
18147,958,3355,7123,4403,4116
18149,1434,3833,8370,4902,4826
18151,1671,5159,12933,7370,7593
18153,1014,2893,8690,4246,3937
18155,564,1784,3589,2113,1859
18157,10174,28178,101201,26295,23223
18159,904,2241,5530,3272,3399
18161,392,1051,2531,1539,1472
18163,10440,28607,74551,33558,32961
18165,802,2518,5789,3221,3091
18167,5641,16120,47759,18163,18426
18169,1626,4879,11393,6215,6731
18171,390,1443,2971,1848,1812
18173,3499,11536,25210,12819,12197
18175,1583,4846,10591,5958,5234
18177,4027,10990,25236,13043,13101
18179,1693,5321,10602,5505,5299
18181,1408,4297,8652,5128,5232
18183,1981,5915,13104,6976,6642
