fips,0-4,5-17,18-49,50-64,65+
19001,472,1234,2554,1516,1684
19003,216,590,1141,799,876
19005,881,2567,4666,2720,3258
19007,709,1917,4193,2483,2882
19009,336,874,1788,1176,1425
19011,1434,4447,9130,5620,5093
19013,8000,20744,57953,21214,23138
19015,1401,4211,10298,5434,5324
19017,1401,4253,10244,4326,4980
19019,1334,3917,7569,4019,3855
19021,1454,4065,8430,3431,3373
19023,737,2456,4962,2807,3306
19025,550,1580,3479,1874,2320
19027,1225,3795,7236,3977,4361
19029,698,2337,4410,2590,3061
19031,884,2991,6715,3900,3859
19033,2177,6684,15061,8674,10036
19035,549,2026,3910,2230,2885
19037,737,2006,3988,2405,2671
19039,732,1738,3492,1776,1924
19041,868,2973,5777,3157,3686
19043,1014,2666,5516,3557,4260
19045,2607,7975,16470,9838,9378
19047,1027,3116,6046,3160,2928
19049,7287,21389,47977,17422,13893
19051,801,1936,3151,1608,1661
19053,422,1299,3123,1276,1639
19055,1025,3059,5932,3758,3784
19057,2288,6272,14219,7528,8180
19059,840,2589,5726,3756,5079
19061,5835,16482,39019,18542,19152
19063,374,1392,3491,1775,2230
19065,1090,3033,6676,4065,4424
19067,917,2561,5291,3033,3526
19069,640,1756,3407,2006,2147
19071,295,1096,2128,1420,1575
19073,411,1478,2976,1704,2119
19075,706,2199,4424,2455,2600
19077,517,1752,3552,2276,2591
19079,768,2779,5241,2941,3157
19081,557,1686,3843,2031,2554
19083,755,2402,6073,3441,3968
19085,855,2523,5221,3087,2946
19087,1008,3170,7784,4011,4031
19089,601,1840,3291,1781,1932
19091,570,1704,3381,1861,2075
19093,385,1295,2389,1309,1533
19095,924,2927,5754,3552,3350
19097,1075,3228,6502,4281,4304
19099,1960,6397,14629,7468,7500
19101,725,1967,6121,2700,4192
19103,8315,21961,83386,22143,20834
19105,1034,3178,7895,4330,4459
19107,517,1702,3516,1956,2233
19109,787,2411,4833,2799,3686
19111,1840,5149,11893,6702,7309
19113,13455,38402,95650,42695,39802
19115,570,1777,3948,2237,2146
19117,520,1529,2952,1798,1917
19119,821,2604,4392,2025,2320
19121,964,3294,6221,3452,2995
19123,1364,3849,8559,4050,4199
19125,1751,6018,12862,6496,6515
19127,2338,7837,15182,7456,7301
19129,706,2620,5317,3004,2921
19131,643,1879,3636,2127,2290
19133,447,1488,2805,1733,2084
19135,437,1294,2649,1585,1548
19137,582,1725,3516,2030,2361
19139,2471,7700,16325,8372,7691
19141,965,2481,5195,2496,2989
19143,352,1031,2044,1284,1389
19145,707,2199,5556,3005,3664
19147,519,1525,3208,1641,1970
19149,1515,4928,9203,5005,5096
19151,446,1198,2266,1454,1682
19153,32692,89902,222627,87679,70275
19155,5257,16150,36380,18129,17508
19157,851,2742,7473,3512,3967
19159,263,779,1536,968,1099
19161,541,1564,3111,2122,2351
19163,10099,30312,70726,32854,30617
19165,655,2044,3885,2470,2724
19167,2579,7258,14781,5728,5866
19169,4204,12072,58345,12570,13275
19171,956,3047,5871,3457,3537
19173,290,1040,2032,1164,1342
19175,639,2058,4542,2264,2490
19177,471,1238,2347,1478,1707
19179,2117,6315,13706,6728,6496
19181,3135,10157,21871,10134,9112
19183,1451,4082,8112,4378,4538
19185,449,1246,2162,1200,1475
19187,2110,5775,14861,6817,7323
19189,504,1725,3956,2057,2341
19191,932,2782,7568,3959,4632
19193,7261,20130,43652,18340,16864
19195,398,1122,2637,1509,1684
19197,845,2484,4391,2244,2827
