"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
20,"Kansas","KS","1","20091",0.0429099192505826,104,614764,26379
20,"Kansas","KS","1","20209",0.142863197049181,96,167277,23898
20,"Kansas","KS","1","20173",0.0372751378169629,104,524810,19562
20,"Kansas","KS","1","20015",0.222851832626156,103,67916,15135
20,"Kansas","KS","1","20103",0.176078636769252,96,82493,14525
20,"Kansas","KS","1","20045",0.106046696291726,104,119547,12678
20,"Kansas","KS","1","20161",0.130979359076667,104,71710,9393
20,"Kansas","KS","1","20177",0.0478529299943025,103,178315,8533
20,"Kansas","KS","1","20121",0.237955552985673,93,34625,8239
20,"Kansas","KS","1","20079",0.178942026326634,104,33823,6052
20,"Kansas","KS","1","20149",0.228922679647264,101,25808,5908
20,"Kansas","KS","1","20155",0.091758005589701,104,61693,5661
20,"Kansas","KS","1","20087",0.305340549171429,94,18391,5616
20,"Kansas","KS","1","20191",0.245352166856437,99,22386,5492
20,"Kansas","KS","1","20059",0.19784491585488,90,25994,5143
20,"Kansas","KS","1","20061",0.141905235082013,96,35895,5094
20,"Kansas","KS","1","20113",0.166828062177137,104,30130,5027
20,"Kansas","KS","1","20139",0.284558547296649,91,15780,4490
20,"Kansas","KS","1","20035",0.119879595176066,97,34487,4134
20,"Kansas","KS","1","20169",0.0734836018267471,104,53801,3953
20,"Kansas","KS","1","20041",0.214324297751362,100,18423,3948
20,"Kansas","KS","1","20057",0.0948821168522196,102,34133,3239
20,"Kansas","KS","1","20055",0.0845419203105186,100,38001,3213
20,"Kansas","KS","1","20085",0.224037000578631,83,13277,2975
20,"Kansas","KS","1","20111",0.0922784391949833,99,32145,2966
20,"Kansas","KS","1","20051",0.101539475545743,102,28870,2931
20,"Kansas","KS","1","20037",0.0742101395946403,93,38963,2891
20,"Kansas","KS","1","20009",0.113957257782099,104,25275,2880
20,"Kansas","KS","1","20115",0.234947665451301,96,11795,2771
20,"Kansas","KS","1","20107",0.284423667811653,70,9723,2765
20,"Kansas","KS","1","20133",0.17475439432447,86,15715,2746
20,"Kansas","KS","1","20159",0.274793976389642,98,9389,2580
20,"Kansas","KS","1","20095",0.352300772932683,92,7284,2566
20,"Kansas","KS","1","20099",0.126692144573701,75,19949,2527
20,"Kansas","KS","1","20197",0.36249438104715,91,6961,2523
20,"Kansas","KS","1","20005",0.15079214516178,89,16211,2444
20,"Kansas","KS","1","20131",0.231296464932141,90,10213,2362
20,"Kansas","KS","1","20021",0.120283248161206,78,19236,2314
20,"Kansas","KS","1","20205",0.255900588827665,76,8559,2190
20,"Kansas","KS","1","20003",0.267777235016884,78,7819,2094
20,"Kansas","KS","1","20125",0.0657342857480816,90,31143,2047
20,"Kansas","KS","1","20143",0.352317431088159,93,5782,2037
20,"Kansas","KS","1","20175",0.0939705551179679,95,21640,2034
20,"Kansas","KS","1","20031",0.237972548423754,87,8304,1976
20,"Kansas","KS","1","20001",0.155551393288249,84,12491,1943
20,"Kansas","KS","1","20053",0.302222924557347,90,6366,1924
20,"Kansas","KS","1","20069",0.315095156807481,93,5696,1795
20,"Kansas","KS","1","20011",0.124161574556449,78,14384,1786
20,"Kansas","KS","1","20027",0.217897649410238,90,8071,1759
20,"Kansas","KS","1","20067",0.238418170965541,92,7284,1737
20,"Kansas","KS","1","20201",0.304404231202929,79,5519,1680
20,"Kansas","KS","1","20145",0.269922994342123,98,6220,1679
20,"Kansas","KS","1","20117",0.167798741493198,86,10001,1678
20,"Kansas","KS","1","20185",0.418696914747592,94,4004,1676
20,"Kansas","KS","1","20013",0.177926266426634,91,9415,1675
20,"Kansas","KS","1","20073",0.279072356175957,88,5956,1662
