fips,0-4,5-17,18-49,50-64,65+
20001,724,2090,4629,2421,2619
20003,563,1446,2670,1533,1622
20005,816,2721,6848,2892,2931
20007,230,702,1360,810,967
20009,1566,4478,9188,4656,5209
20011,970,2631,5335,2578,2880
20013,560,1773,3111,1811,2088
20015,3714,13082,27669,12731,11091
20017,130,393,908,484,646
20019,171,570,1094,725,810
20021,1121,3235,6794,4124,3877
20023,153,445,896,445,689
20025,110,390,626,397,451
20027,446,1407,2722,1527,1946
20029,594,1468,3305,1623,1908
20031,376,1407,2947,1709,1869
20033,55,279,544,347,504
20035,1860,6251,13675,6107,6518
20037,2217,6445,17682,6441,6223
20039,149,419,793,554,811
20041,946,3337,6591,3681,3890
20043,390,1193,2962,1445,1513
20045,5229,15884,65156,17311,16722
20047,160,485,908,601,625
20049,121,446,677,510,699
20051,1449,4371,14134,4350,4616
20053,272,850,2585,1155,1498
20055,2961,8418,16009,6171,4525
20057,2838,7359,14130,5702,4045
20059,1488,4543,10076,5321,4678
20061,4091,7282,18116,3217,3109
20063,194,512,980,474,639
20065,110,386,783,464,646
20067,550,1664,2831,1146,1038
20069,415,1210,2170,946,960
20071,99,306,450,210,239
20073,282,989,1824,1264,1560
20075,177,659,996,348,291
20077,325,1066,1852,986,1171
20079,1817,6117,12622,5961,7239
20081,272,709,1434,650,576
20083,83,341,425,436,367
20085,870,2442,4727,2672,2630
20087,941,3092,6442,4208,3666
20089,159,459,829,555,914
20091,36271,109480,262397,113478,99005
20093,270,829,1442,620,703
20095,402,1239,2586,1543,1416
20097,154,409,878,433,548
20099,1247,3591,6955,4043,4033
20101,82,279,355,370,375
20103,5011,14640,34684,15421,13367
20105,142,475,965,599,742
20107,498,1648,3255,2139,2227
20109,188,441,958,538,582
20111,1823,5310,14667,5190,5196
20113,1518,5016,12346,5285,6040
20115,571,1905,4183,2311,2784
20117,618,1802,3378,1889,2306
20119,278,736,1437,742,710
20121,1803,6425,12941,7446,6323
20123,343,982,2033,1101,1320
20125,1776,5542,11199,6140,6283
20127,264,839,1693,1159,1385
20129,132,504,833,629,513
20131,728,2002,3475,1900,2055
20133,961,2785,5809,2878,3223
20135,84,440,914,551,664
20137,292,785,2157,1038,1087
20139,827,2798,5482,3349,3288
20141,208,554,1069,697,924
20143,329,1040,2042,1187,1221
20145,240,653,2486,1333,1432
20147,282,801,1546,954,1230
20149,1881,5676,10200,4427,4020
20151,478,1775,3500,1446,1928
20153,160,392,821,442,701
20155,3215,10303,23937,11439,12659
20157,257,883,1378,885,1243
20159,550,1640,3713,1670,1777
20161,3425,8164,45382,7772,7203
20163,246,755,1640,1021,1151
20165,181,408,1084,542,732
20167,353,1107,2234,1244,1741
20169,3165,9020,20684,10703,10096
20171,241,991,1880,908,1007
20173,33437,98164,221425,91423,83777
20175,1818,4695,9352,3321,2300
20177,10133,30948,69150,33176,34618
20179,141,473,807,437,568
20181,339,1011,2210,1059,1239
20183,183,529,1082,718,1040
20185,219,749,1325,780,905
20187,99,344,843,445,307
20189,284,1202,1921,835,920
20191,1272,4111,8123,4480,4367
20193,500,1442,3296,1179,1468
20195,171,389,854,587,776
20197,383,1210,2421,1481,1514
20199,101,225,440,282,369
20201,381,959,1816,1070,1307
20203,230,405,673,281,502
20205,503,1529,2843,1666,1964
20207,147,491,1001,666,804
20209,12180,33758,71433,27949,22334
