"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
21,"Kentucky","KY","1","21111",0.0342313366262088,119,777392,26611
21,"Kentucky","KY","1","21117",0.154846715789317,115,169817,26296
21,"Kentucky","KY","1","21067",0.0766137601176785,119,321122,24602
21,"Kentucky","KY","1","21029",0.257995888739756,117,83209,21468
21,"Kentucky","KY","1","21185",0.310848153069583,115,68600,21324
21,"Kentucky","KY","1","21015",0.118789385558909,117,137676,16354
21,"Kentucky","KY","1","21037",0.124091100120369,111,93193,11564
21,"Kentucky","KY","1","21151",0.122447652661746,116,94064,11518
21,"Kentucky","KY","1","21211",0.236639734011078,111,48599,11500
21,"Kentucky","KY","1","21113",0.202306029581211,116,53792,10882
21,"Kentucky","KY","1","21093",0.0956016809418774,118,111452,10655
21,"Kentucky","KY","1","21209",0.173001874889246,116,58269,10081
21,"Kentucky","KY","1","21125",0.132475290835584,115,62731,8310
21,"Kentucky","KY","1","21179",0.169792183687065,115,47102,7998
21,"Kentucky","KY","1","21227",0.0581153142029274,117,137549,7994
21,"Kentucky","KY","1","21163",0.264353854613959,109,30032,7939
21,"Kentucky","KY","1","21215",0.361310086382653,110,19875,7181
21,"Kentucky","KY","1","21049",0.184408073897066,112,37004,6824
21,"Kentucky","KY","1","21073",0.129824260455752,117,51563,6694
21,"Kentucky","KY","1","21137",0.269543020671232,109,24415,6581
21,"Kentucky","KY","1","21239",0.242817195196491,113,27017,6560
21,"Kentucky","KY","1","21235",0.171826873511369,108,36755,6315
21,"Kentucky","KY","1","21157",0.194324710768501,93,31728,6166
21,"Kentucky","KY","1","21083",0.168178269748742,101,36612,6157
21,"Kentucky","KY","1","21081",0.238680685712466,103,25238,6024
21,"Kentucky","KY","1","21089",0.162612265370198,108,35639,5795
21,"Kentucky","KY","1","21199",0.0884397037286308,119,65503,5793
21,"Kentucky","KY","1","21079",0.331501260545917,111,17346,5750
21,"Kentucky","KY","1","21009",0.127607302360959,108,44670,5700
21,"Kentucky","KY","1","21071",0.158263358565742,102,35342,5593
21,"Kentucky","KY","1","21121",0.184403616025152,107,30034,5538
21,"Kentucky","KY","1","21005",0.225937802328823,115,24098,5445
21,"Kentucky","KY","1","21103",0.326967942972685,103,15774,5158
21,"Kentucky","KY","1","21027",0.242095339009213,97,20722,5017
21,"Kentucky","KY","1","21167",0.218880853464635,112,22824,4996
21,"Kentucky","KY","1","21145",0.0731548054568156,102,67584,4944
21,"Kentucky","KY","1","21059",0.0477393375077452,116,103195,4926
21,"Kentucky","KY","1","21021",0.159842942806533,113,30708,4908
21,"Kentucky","KY","1","21085",0.183435544834932,108,26586,4877
21,"Kentucky","KY","1","21099",0.249490167460477,97,19470,4858
21,"Kentucky","KY","1","21183",0.201870775928055,105,23704,4785
21,"Kentucky","KY","1","21123",0.317309723452023,103,15028,4769
21,"Kentucky","KY","1","21191",0.321759064685038,99,14683,4724
21,"Kentucky","KY","1","21173",0.163039640324996,112,28271,4609
21,"Kentucky","KY","1","21017",0.226456994307904,109,20174,4569
