fips,0-4,5-17,18-49,50-64,65+
21001,900,2861,7731,3842,3755
21003,1251,3663,8061,4511,3807
21005,1400,4234,9273,5314,4132
21007,326,1194,2821,1648,1665
21009,2794,7936,17201,8855,8152
21011,874,2397,4752,2607,2221
21013,1419,3719,9003,4915,4453
21015,8910,26853,57186,26104,20788
21017,1186,3436,7470,4197,3951
21019,2430,7729,18281,9646,9825
21021,1511,4956,12786,5915,5773
21023,475,1475,3089,1872,1533
21025,742,2070,5081,2902,2481
21027,1277,3491,7361,4492,4260
21029,4213,13582,33523,18124,14585
21031,755,2112,4643,2477,2406
21033,757,2138,4500,2519,2704
21035,1717,5255,18199,6576,6477
21037,5083,14139,39235,18592,16377
21039,285,832,1748,939,958
21041,758,2160,4184,2049,1803
21043,1551,4390,9782,5368,5250
21045,1029,2636,5757,3178,3314
21047,6712,13709,33239,9241,9168
21049,2081,6277,14637,7420,6777
21051,1120,2976,8512,4133,3180
21053,544,1430,3403,1931,1894
21055,486,1594,3212,1796,1891
21057,354,958,2000,1285,1351
21059,6596,18785,40320,19627,18320
21061,537,1688,4605,2835,2690
21063,263,982,3057,1432,1573
21065,681,2303,5099,3203,2749
21067,18393,49531,154256,53919,47626
21069,1006,2650,5688,3128,2851
21071,1974,5755,13311,7277,6907
21073,2677,8187,20869,10413,9696
21075,273,1127,2529,1162,1318
21077,516,1497,3463,1903,1390
21079,951,2840,6586,3902,3289
21081,1702,5033,10087,4906,3690
21083,2412,6437,13632,7396,6753
21085,1771,4578,10167,5357,4834
21087,607,1798,3911,2498,2555
21089,1717,5831,12850,7280,7823
21091,500,1657,3316,1904,1657
21093,7031,20604,46477,20908,16922
21095,1526,4594,9454,5178,5020
21097,1192,3284,6882,4116,3666
21099,1232,3550,7156,4216,3449
21101,2404,7612,16862,8918,8484
21103,921,2801,5837,3383,2914
21105,189,666,1482,982,1120
21107,2618,7760,17163,8981,8597
21109,797,2314,4888,2709,2378
21111,47804,126472,329007,145422,134317
21113,3291,9675,22261,10483,8878
21115,1157,3809,8398,4692,4278
21117,10885,29095,72029,32321,26958
21119,605,2136,5178,3049,2862
21121,1822,5231,11683,5926,5203
21123,804,2597,5787,3182,2737
21125,3612,10653,25409,12530,10779
21127,931,2832,5752,3283,3279
21129,343,987,2966,1608,1435
21131,496,1589,3877,2199,1918
21133,1090,3452,7487,4439,4340
21135,768,2174,4693,2803,2527
21137,1712,4259,8992,5004,4537
21139,497,1466,2897,2048,1995
21141,1895,4894,10412,5446,5339
21143,253,954,3560,1940,2193
21145,3729,11004,26174,12832,13825
21147,931,2741,7217,3241,2737
21149,500,1553,3320,1876,1865
21151,5310,14835,45129,16305,14190
21153,686,1859,4187,2459,2157
21155,1143,3557,7534,4091,3424
21157,1489,4899,11316,6874,7165
21159,635,1544,4752,2124,1972
21161,962,2828,6304,3516,3346
21163,1501,5106,12686,6157,4708
21165,343,968,2020,1440,1459
21167,1465,3552,8540,5108,4363
21169,571,1885,3742,2237,1990
21171,691,2062,4099,2313,2104
21173,1553,5040,11373,5623,4806
21175,754,2070,5914,2831,2484
21177,1648,4801,11587,6385,6170
21179,2876,8096,18613,9730,8291
21181,435,1444,2900,1630,1299
21183,1281,4382,9060,4587,4425
21185,3408,13727,28085,13941,10096
21187,590,1909,4198,2361,2272
21189,289,477,1388,1001,816
21191,833,2594,5435,3288,2573
21193,1648,4787,10292,5824,4948
21195,2818,8676,21834,11998,11401
21197,769,2461,5102,2593,2113
21199,3666,10970,24742,13694,12825
21201,87,520,882,415,379
21203,863,2617,5975,3592,3116
21205,1300,3521,12060,4014,3683
21207,1022,3190,6458,3803,3748
21209,3683,10796,26492,10587,7978
21211,2825,8065,19731,10291,8184
21213,1070,3609,7889,4185,3219
21215,1060,3490,7746,4769,3128
21217,1500,4583,10636,4884,4794
21219,910,2460,4741,2240,2118
21221,814,2314,4761,3213,3213
21223,419,1393,3153,1999,1586
21225,685,1814,5302,2828,2631
21227,9186,24193,65850,23069,18620
21229,709,2074,4465,2525,2367
21231,1045,2962,7377,3920,4298
21233,758,2326,4896,2539,2323
21235,2619,7038,14985,6494,5784
21237,392,1052,2383,1367,1249
21239,1363,4566,10282,5411,5657
