fips,0-4,5-17,18-49,50-64,65+
22001,3854,10935,22108,10668,9390
22003,1354,3852,9859,4101,3311
22005,8562,25817,55489,23613,16833
22007,1022,3166,7652,4477,4167
22009,2546,6756,15360,7337,6906
22011,2454,6807,14724,6715,5976
22013,740,2120,4445,2639,2694
22015,8302,23911,55296,22263,20017
22017,13958,40054,90351,42192,43449
22019,13816,37817,84451,37685,33319
22021,466,1668,3823,1786,1757
22023,381,839,1789,1029,977
22025,426,1473,3373,1700,1611
22027,619,2007,5438,2716,3053
22029,1085,3160,7217,3216,3496
22031,1570,4889,10358,5134,5075
22033,28206,74484,208027,73124,69097
22035,121,1211,3302,1331,1107
22037,892,2465,7788,4237,3889
22039,2117,6134,12694,5973,5142
22041,1261,3552,7142,3628,3825
22043,1259,3355,10055,3948,3478
22045,4588,12827,26435,13253,11496
22047,1626,4345,12774,5843,5227
22049,721,2381,5841,2853,3088
22051,27020,69611,170898,83265,80126
22053,2053,5963,12325,6051,5532
22055,16354,43594,107357,44224,36468
22057,5665,16336,39096,19223,15932
22059,1215,2206,6571,2289,2508
22061,2452,7060,25119,6665,6878
22063,9494,28726,63483,25921,20491
22065,681,1756,3847,1565,1664
22067,1441,4220,9253,4709,4928
22069,2168,6232,16149,5874,6270
22071,20219,52984,167048,67685,63917
22073,10137,28801,66036,28387,25119
22075,1414,4202,9377,4589,3221
22077,941,3381,7133,4235,4527
22079,8199,23682,49998,23962,21686
22081,453,1291,2646,1570,1483
22083,1267,3415,7859,3655,3626
22085,1296,3792,7891,4291,4707
22087,2911,8603,19200,7777,5928
22089,2666,9718,20573,10458,7981
22091,591,1626,4151,2163,2327
22093,1112,3210,7280,4059,3867
22095,2393,7406,16321,8235,6388
22097,5650,16039,30868,15272,13841
22099,3166,9170,19922,10261,8834
22101,3171,8526,17417,9943,8771
22103,15579,48718,104064,53822,50238
22105,9330,24249,58565,23560,21034
22107,190,653,1193,793,1106
22109,6774,19791,42414,20386,16821
22111,1189,3295,7261,4426,4650
22113,3608,10801,22307,10900,9507
22115,3756,8229,21721,6817,6594
22117,2925,7786,17287,8436,8686
22119,2064,6044,13088,7213,7411
22121,1698,5150,12100,4872,4154
22123,501,1631,3379,1924,2029
22125,664,1785,7101,3449,2328
22127,689,2101,5758,2473,2446
