fips,0-4,5-17,18-49,50-64,65+
23001,6022,17566,45399,22977,21459
23003,3083,9426,22171,15166,17212
23005,14315,41391,127152,63013,62956
23007,1223,3978,11262,6739,7211
23009,2298,6855,19764,12522,15021
23011,5851,17888,48769,27494,26806
23013,1551,5351,13804,8838,11459
23015,1384,4561,11524,8005,10625
23017,2485,7967,20491,14131,14181
23019,6581,20668,63402,32971,31088
23021,642,2035,5669,4180,4737
23023,1559,5019,13249,8278,9180
23025,2354,7035,17949,11898,11723
23027,1713,5411,14234,8743,10091
23029,1449,4360,10329,6940,8253
23031,9477,29042,81534,48260,48418
