fips,0-4,5-17,18-49,50-64,65+
24001,3093,8939,28172,12986,14262
24003,35401,98480,252737,116662,94886
24005,48728,137256,346285,164158,154369
24009,5019,16777,36471,20644,15402
24011,2160,5896,12678,7104,5831
24013,9530,29105,67039,38194,31453
24015,5899,17437,40716,22983,17925
24017,9805,30917,69738,36717,23350
24019,1829,5036,11586,6765,7538
24021,16892,50104,119318,56852,43882
24023,1338,3737,10074,6541,6925
24025,14223,44554,103705,55259,46016
24027,17958,61959,138714,66422,51275
24029,799,2190,7062,3990,5305
24031,61080,182059,430158,211513,181139
24033,58400,153727,411557,192954,143116
24035,2731,8195,18120,12059,10720
24037,7025,20524,48703,22730,16144
24039,1153,3183,11554,4513,4419
24041,1656,5389,11384,8278,11210
24043,8525,25345,62275,31411,28153
24045,6332,17312,44663,19159,17448
24047,2201,6984,17191,11953,15371
24510,34601,85017,265245,100778,87602
