fips,0-4,5-17,18-49,50-64,65+
25001,7855,24849,67799,54410,76755
25003,4925,15737,47920,28431,32417
25005,29356,90133,236776,122537,103468
25007,787,2726,6763,5119,5538
25009,43619,125866,324925,168538,150106
25011,2640,9163,26091,15590,17460
25013,24313,72448,190265,91266,84523
25015,5121,17921,78387,29161,31438
25017,82536,236329,736634,315859,267007
25019,682,2293,5842,3339,2327
25021,37356,111957,300714,150410,129645
25023,27382,83454,200831,117668,105740
25025,37885,87927,430594,124556,104159
25027,44639,134282,358922,182255,147690
