fips,0-4,5-17,18-49,50-64,65+
26001,346,959,2477,2772,3843
26003,287,997,3191,1907,2380
26005,6808,21404,46024,24842,22378
26007,1300,4033,9940,6342,7265
26009,943,3138,7427,5689,6930
26011,682,2100,4720,3471,4104
26013,354,1040,3081,1815,1901
26015,3310,10443,23531,13753,12372
26017,4800,15350,38399,21891,22568
26019,766,2328,5875,4080,5261
26021,8057,24635,56649,31244,32703
26023,2889,7756,16752,9116,8787
26025,7638,22950,52085,26178,24927
26027,2449,7948,18048,11455,11620
26029,1090,3496,8346,6109,7067
26031,980,2988,8320,6083,7494
26033,1606,4793,15710,7072,7114
26035,1502,4512,10155,7061,7988
26037,4008,12997,30951,16699,14971
26039,595,1739,4105,3285,3645
26041,1641,5396,12194,7924,9658
26043,1338,3843,8778,5717,6278
26045,5572,16776,43044,21798,21940
26047,1399,4789,12099,7317,8521
26049,22475,67114,156254,81727,75735
26051,1233,3619,7745,6077,7019
26053,571,1775,4552,3218,4203
26055,4483,14206,36499,19869,21109
26057,1988,6091,18037,7892,7377
26059,2479,7347,16506,9559,9763
26061,1870,5589,17668,5791,6775
26063,1394,4512,9814,6928,8465
26065,14802,40957,140892,45052,42210
26067,3353,10556,29016,13127,10522
26069,1189,3119,7316,5851,7872
26071,477,1567,3366,2595,3662
26073,2945,8526,34087,9985,9022
26075,8494,24970,63255,32830,30511
26077,14267,41639,121201,42928,42340
26079,877,2794,6567,4040,3961
26081,41040,114778,292414,116093,98825
26083,74,244,586,450,779
26085,415,1442,4367,2916,3423
26087,4199,13468,32328,20926,17916
26089,797,2703,6366,5195,7673
26091,4873,15344,37878,20297,20023
26093,9359,30348,72122,45337,38667
26095,255,766,2534,1298,1418
26097,424,1217,3500,2561,3255
26099,45890,135759,351745,185591,160868
26101,1005,3213,8399,5638,7095
26103,2988,8761,29795,11934,13634
26105,1271,4443,9745,6059,7689
26107,2062,5814,16923,8044,8399
26109,902,3152,7678,5254,6261
26111,4340,13205,32103,17186,16923
26113,834,2548,5272,3212,3341
26115,7835,24687,58804,33249,30930
26117,3523,10614,27763,13803,12113
26119,354,1065,2527,2418,3152
26121,9984,29534,69580,34375,32488
26123,2674,8438,18194,10974,10512
26125,65609,193725,519091,266344,235056
26127,1319,4403,9363,5783,6047
26129,875,2845,6491,4840,5834
26131,150,519,1420,1525,2236
26133,1249,3924,7974,4961,5119
26135,414,1240,2335,1962,2474
26137,1213,4115,9021,5581,5654
26139,16609,52666,129372,52236,50320
26141,536,1497,3651,3075,4450
26143,824,2572,6294,5855,8192
26145,10384,29880,72901,37071,38429
26147,7752,24726,58377,36717,32649
26149,3717,11084,22762,12003,11403
26151,2005,6467,13795,8789,9406
26153,344,1093,2353,1986,2352
26155,3582,10488,25394,15054,13473
26157,2600,8039,18928,11794,11619
26159,4253,13132,27798,15534,15078
26161,16941,50533,181800,62306,58242
26163,110729,307958,720680,339369,293523
26165,1866,5918,12321,6907,7065
