"state_fips","state_name","state_abbr","geoid_o","geoid_d","quarter","mean_max_norm_prop_flow","median_max_norm_prop_flow","min_max_norm_prop_flow","max_max_norm_prop_flow","imputed"
27,"Minnesota","MN","27001","27001","1",0.558861210936034,0.565485149123077,0.483889793285622,0.623276100377799,FALSE
27,"Minnesota","MN","27001","27001","2",0.578865739107776,0.58119605614768,0.486377737506527,0.655220075559788,FALSE
27,"Minnesota","MN","27001","27001","3",0.551182140753808,0.551847528949228,0.473385139908468,0.633166446539915,FALSE
27,"Minnesota","MN","27001","27001","4",0.619996901754916,0.631062444328409,0.494118008416009,0.699143041435022,FALSE
27,"Minnesota","MN","27001","27003","1",0.0065427131219434,0.00578984550173542,0.00058359185428632,0.0173234634640784,FALSE
27,"Minnesota","MN","27001","27003","2",0.00988190787619482,0.00924532358632552,0.00122861443007648,0.0229136591209264,FALSE
27,"Minnesota","MN","27001","27003","3",0.010557737533236,0.00976748471910802,0.00144362195533987,0.02233006726664,FALSE
27,"Minnesota","MN","27001","27003","4",0.00732375711642843,0.00660380256166109,0.00193506772737046,0.0215928986085942,FALSE
27,"Minnesota","MN","27001","27005","1",0.00125687256196824,0.00058359185428632,0.00046073041127868,0.0068802408084283,FALSE
27,"Minnesota","MN","27001","27005","2",0.00133499445999774,0.00098289154406118,0.00036858432902294,0.00924532358632552,FALSE
27,"Minnesota","MN","27001","27005","3",0.00147374663607732,0.000936818502933315,0.00033786896827103,0.006634517922413,FALSE
27,"Minnesota","MN","27001","27005","4",0.00167881386052593,0.00125932979082839,0.00049144577203059,0.00546733421384034,FALSE
27,"Minnesota","MN","27001","27007","1",0.0012325355399597,0.00110575298706883,0.00049144577203059,0.00473016555579445,FALSE
27,"Minnesota","MN","27001","27007","2",0.00172644261473085,0.00156648339834751,0.00033786896827103,0.00463801947353872,FALSE
27,"Minnesota","MN","27001","27007","3",0.00128796978936734,0.00092146082255736,0.00039929968977485,0.00703381761218786,FALSE
27,"Minnesota","MN","27001","27007","4",0.0021738098495785,0.00182756396473876,0.0005221611327825,0.00835457812452007,FALSE
27,"Minnesota","MN","27001","27009","1",0.00142944563499283,0.00110575298706883,0.00043001505052676,0.00675737936542065,FALSE
27,"Minnesota","MN","27001","27009","2",0.00169452574557837,0.00129004515158031,0.00039929968977485,0.00703381761218786,FALSE
27,"Minnesota","MN","27001","27009","3",0.00160477240969579,0.00119789906932457,0.00033786896827103,0.00700310225143594,FALSE
27,"Minnesota","MN","27001","27009","4",0.00167861296832136,0.00129004515158031,0.00049144577203059,0.00568234173910373,FALSE
