fips,0-4,5-17,18-49,50-64,65+
27001,587,1923,4132,3892,5522
27003,21919,65685,151253,74263,57229
27005,1912,6319,11969,7092,8051
27007,2931,8553,19168,7684,8176
27009,2398,8129,17877,7362,5827
27011,313,814,1583,1039,1378
27013,3493,10293,35283,10146,10656
27015,1416,4223,9438,4993,5730
27017,1808,6058,14398,7480,6774
27019,6518,21241,44046,22229,16007
27021,1419,4771,9340,6954,8508
27023,662,2352,4437,2268,2658
27025,3175,9783,22537,12586,9910
27027,4178,12137,30374,10122,9248
27029,521,1637,2962,1666,1830
27031,219,596,1828,1235,1757
27033,726,2158,3965,2012,2597
27035,3256,10587,23098,14182,16563
27037,26589,80234,181730,86431,70787
27039,1326,3953,8417,4000,3349
27041,2147,6335,13625,7824,9644
27043,694,2381,4734,2802,3303
27045,1215,4016,7317,4120,4746
27047,1583,5081,10521,6281,7157
27049,2599,7915,17553,10004,9872
27051,357,1065,2081,1179,1445
27053,74316,199932,569085,228112,198051
27055,935,3057,6309,3956,4396
27057,1077,3451,6764,4680,5859
27059,2445,7456,16468,8895,7332
27061,2140,6985,14997,9487,11666
27063,574,1589,3388,2059,2323
27065,821,2669,5760,3524,3616
27067,2925,7882,16166,7993,9113
27069,209,672,1244,887,1072
27071,499,1569,3676,2709,3380
27073,351,1101,2082,1305,1843
27075,480,1593,3429,2340,3037
27077,207,497,1169,922,1026
27079,1563,5120,10779,6168,5483
27081,327,932,1826,1123,1395
27083,1608,5024,9823,4566,4482
27085,2012,6052,13946,7395,7393
27087,427,1234,1796,944,957
27089,501,1579,3018,1760,2051
27091,1112,3403,6547,3852,4866
27093,1304,4218,8222,4790,4934
27095,1534,4745,10067,5743,5036
27097,1838,6033,12008,7084,7286
27099,2575,7709,15627,6927,7505
27101,401,1354,2589,1601,2152
27103,1779,5603,15126,5860,6043
27105,1886,4497,8183,3686,3789
27107,381,1102,2211,1294,1379
27109,10224,29140,68973,28764,27397
27111,3178,9959,19265,12699,15374
27113,712,2154,5641,2619,2665
27115,1337,4320,10629,6691,6663
27117,655,1839,3106,1776,1908
27119,1888,5632,11443,5880,5862
27121,594,1845,3779,2288,2912
27123,33950,91207,240597,91595,85596
27125,251,696,1328,748,892
27127,968,2816,5323,2822,3421
27129,839,2553,5051,2886,3229
27131,3701,10855,29892,12165,11304
27133,547,1802,3480,1826,1966
27135,832,2811,5372,3357,2930
27137,9302,27828,82066,38176,42751
27139,9209,30742,64146,30845,19615
27141,6414,19494,42482,19770,12400
27143,878,2512,5443,3250,2922
27145,10288,27723,69230,27753,25871
27147,2021,7074,13964,7193,7187
27149,611,1563,4509,1416,1640
27151,544,1653,3444,1819,2288
27153,1679,4622,8304,5180,5790
27155,201,501,1075,641,825
27157,1200,3506,7127,4699,5033
27159,1017,2705,5042,2611,2881
27161,1087,3209,7311,3664,3614
27163,15480,50714,108676,55395,45973
27165,881,2067,3857,2135,2265
27167,400,1048,2261,1391,1271
27169,2198,6571,22981,8704,9325
27171,9866,30439,59741,27832,20391
27173,535,1618,3379,1884,2035
