"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
28,"Mississippi","MS","1","28049",0.149656540009862,81,222494,33298
28,"Mississippi","MS","1","28121",0.17690946911875,81,158218,27990
28,"Mississippi","MS","1","28089",0.19573973989715,81,110303,21591
28,"Mississippi","MS","1","28059",0.127961209807929,81,144437,18482
28,"Mississippi","MS","1","28035",0.200089906524995,81,78027,15612
28,"Mississippi","MS","1","28073",0.230756802820768,81,65081,15018
28,"Mississippi","MS","1","28047",0.0698689092679617,81,209443,14634
28,"Mississippi","MS","1","28067",0.154078274246005,81,66839,10298
28,"Mississippi","MS","1","28033",0.0482361277407565,81,188598,9097
28,"Mississippi","MS","1","28081",0.105763793420624,81,83138,8793
28,"Mississippi","MS","1","28045",0.171775287486856,78,46057,7911
28,"Mississippi","MS","1","28093",0.220686677364829,75,33899,7481
28,"Mississippi","MS","1","28115",0.237032160915616,78,31312,7422
28,"Mississippi","MS","1","28137",0.243886004826406,79,28135,6862
28,"Mississippi","MS","1","28105",0.131609734191304,81,51473,6774
28,"Mississippi","MS","1","28095",0.195240991966208,80,33928,6624
28,"Mississippi","MS","1","28029",0.233347213027975,81,27994,6532
28,"Mississippi","MS","1","28057",0.272078047518528,76,23942,6514
28,"Mississippi","MS","1","28127",0.251100535549421,81,25817,6483
28,"Mississippi","MS","1","28123",0.225695559174096,81,27754,6264
28,"Mississippi","MS","1","28107",0.187114773349615,80,32965,6168
28,"Mississippi","MS","1","28145",0.217296624631937,78,28009,6086
28,"Mississippi","MS","1","28085",0.171928652818208,81,34830,5988
28,"Mississippi","MS","1","28109",0.100929384000304,80,56781,5731
28,"Mississippi","MS","1","28101",0.27075880251417,81,21151,5727
28,"Mississippi","MS","1","28031",0.313711541223798,80,18226,5718
28,"Mississippi","MS","1","28061",0.34555394941845,79,16211,5602
28,"Mississippi","MS","1","28163",0.202093222504008,81,26837,5424
28,"Mississippi","MS","1","28079",0.251827490928464,81,21288,5361
28,"Mississippi","MS","1","28071",0.093336332437231,81,56920,5313
28,"Mississippi","MS","1","28117",0.211183176049824,77,24999,5279
28,"Mississippi","MS","1","28087",0.0893261731461291,80,58187,5198
28,"Mississippi","MS","1","28133",0.203892970989406,80,25328,5164
28,"Mississippi","MS","1","28129",0.360172911890556,78,14193,5112
28,"Mississippi","MS","1","28075",0.068926802865464,81,71984,4962
28,"Mississippi","MS","1","28099",0.169952655677645,81,28927,4916
28,"Mississippi","MS","1","28131",0.261653317608594,78,18515,4845
28,"Mississippi","MS","1","28023",0.312791758920581,81,15424,4825
28,"Mississippi","MS","1","28051",0.287595174103045,80,16491,4743
28,"Mississippi","MS","1","28113",0.116447767858235,80,39930,4650
28,"Mississippi","MS","1","28139",0.210747647727637,80,21621,4557
28,"Mississippi","MS","1","28091",0.178981079085966,80,24303,4350
28,"Mississippi","MS","1","28011",0.139510940917703,81,30163,4208
28,"Mississippi","MS","1","28111",0.359977691285013,74,11459,4125
28,"Mississippi","MS","1","28039",0.164013495947265,78,24870,4079
28,"Mississippi","MS","1","28005",0.323131116717465,74,12611,4075
28,"Mississippi","MS","1","28015",0.413680620514041,79,9828,4066
28,"Mississippi","MS","1","28147",0.288447845728212,74,13864,3999
28,"Mississippi","MS","1","28017",0.23265458790157,78,16994,3954
28,"Mississippi","MS","1","28041",0.290424655196959,77,13595,3948
28,"Mississippi","MS","1","28153",0.20024778474597,78,19699,3945
28,"Mississippi","MS","1","28025",0.212416310490595,79,18462,3922
28,"Mississippi","MS","1","28161",0.309353748871419,80,12439,3848
28,"Mississippi","MS","1","28135",0.304635333277707,76,12363,3766
28,"Mississippi","MS","1","28065",0.325182249130102,72,11183,3637
28,"Mississippi","MS","1","28003",0.104684844725352,78,34500,3612
28,"Mississippi","MS","1","28141",0.191058810198338,75,18738,3580
28,"Mississippi","MS","1","28151",0.081499829640194,81,43674,3559
28,"Mississippi","MS","1","28083",0.128432404607891,81,27432,3523
28,"Mississippi","MS","1","28149",0.0803360856507523,81,43623,3505
28,"Mississippi","MS","1","28077",0.294404873998217,78,11883,3498
28,"Mississippi","MS","1","28159",0.186576417057929,81,17609,3285
28,"Mississippi","MS","1","28007",0.181507720364151,81,17685,3210
28,"Mississippi","MS","1","28155",0.321134968840562,78,9942,3193
28,"Mississippi","MS","1","28069",0.358033868706985,73,8855,3170
28,"Mississippi","MS","1","28043",0.146265671583788,81,21342,3122
28,"Mississippi","MS","1","28027",0.143138188832377,78,20808,2978
28,"Mississippi","MS","1","28013",0.222093464973655,74,13029,2894
28,"Mississippi","MS","1","28103",0.275789435218023,80,10136,2795
28,"Mississippi","MS","1","28009",0.360172630464797,64,7592,2734
28,"Mississippi","MS","1","28097",0.276518439091503,78,9708,2684
28,"Mississippi","MS","1","28019",0.315722858531898,77,8172,2580
28,"Mississippi","MS","1","28037",0.328922522281884,77,7655,2518
28,"Mississippi","MS","1","28063",0.335372515346886,75,7127,2390
28,"Mississippi","MS","1","28021",0.266163904032398,75,8908,2371
28,"Mississippi","MS","1","28119",0.388616658606782,74,5908,2296
28,"Mississippi","MS","1","28143",0.214150067303728,66,9586,2053
28,"Mississippi","MS","1","28001",0.0691422153563744,80,29098,2012
28,"Mississippi","MS","1","28053",0.264582811746493,75,7570,2003
28,"Mississippi","MS","1","28157",0.22707039369776,61,8376,1902
28,"Mississippi","MS","1","28125",0.352054866298428,70,3848,1355
28,"Mississippi","MS","1","28055",0.688193036064057,59,1095,754
28,"Mississippi","MS","2","28049",0.168962561788843,81,222494,37593
28,"Mississippi","MS","2","28121",0.186601546494148,81,158218,29524
28,"Mississippi","MS","2","28089",0.207441440872273,81,110303,22881
28,"Mississippi","MS","2","28059",0.146687600432167,81,144437,21187
28,"Mississippi","MS","2","28035",0.222541027704364,81,78027,17364
28,"Mississippi","MS","2","28047",0.0779933514987013,81,209443,16335
28,"Mississippi","MS","2","28073",0.24874576736647,81,65081,16189
28,"Mississippi","MS","2","28033",0.0566134062308344,81,188598,10677
28,"Mississippi","MS","2","28067",0.159185203530975,80,66839,10640
28,"Mississippi","MS","2","28081",0.11955831948077,80,83138,9940
28,"Mississippi","MS","2","28093",0.254716975639574,77,33899,8635
28,"Mississippi","MS","2","28045",0.186877713662644,81,46057,8607
28,"Mississippi","MS","2","28115",0.261898158366346,80,31312,8201
28,"Mississippi","MS","2","28137",0.273885541960948,80,28135,7706
28,"Mississippi","MS","2","28029",0.261198324843461,81,27994,7312
28,"Mississippi","MS","2","28127",0.282222081885516,81,25817,7286
28,"Mississippi","MS","2","28095",0.214091260411996,80,33928,7264
28,"Mississippi","MS","2","28123",0.260869757820865,81,27754,7240
28,"Mississippi","MS","2","28057",0.300225171807074,80,23942,7188
28,"Mississippi","MS","2","28105",0.138600177891729,81,51473,7134
28,"Mississippi","MS","2","28145",0.243577704340406,79,28009,6822
28,"Mississippi","MS","2","28107",0.203279920258169,81,32965,6701
28,"Mississippi","MS","2","28085",0.185531791032763,81,34830,6462
28,"Mississippi","MS","2","28109",0.112162419471663,81,56781,6369
28,"Mississippi","MS","2","28061",0.390361535135735,81,16211,6328
28,"Mississippi","MS","2","28031",0.340960996752497,79,18226,6214
28,"Mississippi","MS","2","28101",0.292965505009336,81,21151,6197
28,"Mississippi","MS","2","28071",0.107431810938541,81,56920,6115
28,"Mississippi","MS","2","28163",0.223040930699637,81,26837,5986
28,"Mississippi","MS","2","28133",0.236160188699694,81,25328,5981
28,"Mississippi","MS","2","28117",0.23824983470088,75,24999,5956
28,"Mississippi","MS","2","28079",0.269973478611183,81,21288,5747
28,"Mississippi","MS","2","28087",0.0963424867912605,81,58187,5606
28,"Mississippi","MS","2","28129",0.39262918097239,79,14193,5573
28,"Mississippi","MS","2","28131",0.288155652243026,80,18515,5335
28,"Mississippi","MS","2","28075",0.0735791097226177,81,71984,5297
28,"Mississippi","MS","2","28113",0.131436188558389,80,39930,5248
28,"Mississippi","MS","2","28099",0.178128558571077,81,28927,5153
28,"Mississippi","MS","2","28023",0.330714200176521,80,15424,5101
28,"Mississippi","MS","2","28139",0.228334908234112,75,21621,4937
28,"Mississippi","MS","2","28051",0.29717153280975,79,16491,4901
28,"Mississippi","MS","2","28039",0.192255108255749,78,24870,4781
28,"Mississippi","MS","2","28091",0.189164654906821,77,24303,4597
28,"Mississippi","MS","2","28111",0.394917289749297,78,11459,4525
28,"Mississippi","MS","2","28011",0.149791482185207,81,30163,4518
28,"Mississippi","MS","2","28017",0.263872363067617,78,16994,4484
28,"Mississippi","MS","2","28147",0.322623360340265,76,13864,4473
28,"Mississippi","MS","2","28041",0.325486450464938,78,13595,4425
28,"Mississippi","MS","2","28005",0.345096884001786,77,12611,4352
28,"Mississippi","MS","2","28153",0.2186797550826,78,19699,4308
28,"Mississippi","MS","2","28015",0.43574357293175,77,9828,4282
28,"Mississippi","MS","2","28135",0.339414737603616,79,12363,4196
28,"Mississippi","MS","2","28025",0.22461155794016,78,18462,4147
28,"Mississippi","MS","2","28161",0.331225576170701,76,12439,4120
28,"Mississippi","MS","2","28065",0.360745529669135,75,11183,4034
28,"Mississippi","MS","2","28083",0.145423408890488,80,27432,3989
28,"Mississippi","MS","2","28151",0.0907404359633259,81,43674,3963
28,"Mississippi","MS","2","28077",0.316965776794622,80,11883,3767
28,"Mississippi","MS","2","28149",0.0852390489120317,81,43623,3718
28,"Mississippi","MS","2","28003",0.107072714971618,77,34500,3694
28,"Mississippi","MS","2","28141",0.195720505682393,74,18738,3667
28,"Mississippi","MS","2","28007",0.204376286604227,81,17685,3614
28,"Mississippi","MS","2","28027",0.167377403432879,80,20808,3483
28,"Mississippi","MS","2","28159",0.197487910971217,80,17609,3478
28,"Mississippi","MS","2","28155",0.348065095765248,80,9942,3460
28,"Mississippi","MS","2","28043",0.153973519737109,81,21342,3286
28,"Mississippi","MS","2","28069",0.369247606986651,75,8855,3270
28,"Mississippi","MS","2","28013",0.248176545293338,74,13029,3233
