fips,0-4,5-17,18-49,50-64,65+
28001,1759,4536,10685,5847,6271
28003,1810,5982,13264,6967,6477
28005,614,1963,3953,2872,3209
28007,1080,3368,6485,3327,3425
28009,303,1267,2703,1705,1614
28011,1972,5487,12176,5503,5025
28013,698,2218,4732,2753,2628
28015,462,1274,3346,2339,2407
28017,1222,2986,6519,3139,3128
28019,367,1375,2932,1630,1868
28021,533,1408,3930,1349,1688
28023,922,2479,5485,3186,3352
28025,1081,3094,7125,3580,3582
28027,1533,4107,8026,3782,3360
28029,1714,4605,10977,5514,5184
28031,1171,3217,7029,3598,3211
28033,10913,36598,80715,35298,25074
28035,4930,12854,37194,12402,10647
28037,442,1329,2723,1548,1613
28039,2020,4739,9657,4678,3776
28041,769,1795,6283,2770,1978
28043,1315,3852,8090,4138,3947
28045,2239,6770,16149,10819,10080
28047,12996,36917,85879,39864,33787
28049,13817,38859,94291,40545,34982
28051,1060,3031,6564,3168,2668
28053,447,1487,2703,1540,1393
28055,0,72,492,318,213
28057,1173,3930,10015,4588,4236
28059,8074,25185,57890,28939,24349
28061,958,2745,5844,3219,3445
28063,370,1140,2670,1568,1379
28065,597,1625,3944,2341,2676
28067,4440,12445,26186,12168,11600
28069,526,1084,3785,1566,1894
28071,2824,7611,30450,8492,7543
28073,3886,12106,28027,11500,9562
28075,4346,12602,28258,13657,13121
28077,753,2274,4292,2418,2146
28079,1360,3621,8499,3985,3823
28081,5315,15556,33766,15729,12772
28083,2086,5506,11039,4666,4135
28085,1971,6109,13660,7055,6035
28087,3753,10095,23727,10756,9856
28089,6733,20286,45232,21667,16385
28091,1423,4256,9263,4804,4557
28093,1945,5112,13443,7082,6317
28095,1910,5765,12794,6707,6752
28097,389,1801,3457,1889,2172
28099,2089,5859,10962,5178,4839
28101,1348,3769,8442,3953,3639
28103,738,1810,3864,1941,1783
28105,2476,6525,29909,6442,6121
28107,2180,5989,12672,6490,5634
28109,3199,9748,21542,11344,10948
28111,592,1937,4420,2332,2178
28113,2635,7655,15358,7306,6976
28115,2128,6112,12367,5948,4757
28117,1483,4089,10376,4700,4351
28119,359,1001,2283,1188,1077
28121,8655,27086,67183,29459,25835
28123,2306,5461,10763,4800,4424
28125,217,745,1434,730,722
28127,1523,4491,9904,5076,4823
28129,895,2369,5161,2823,2945
28131,959,3025,7744,3558,3229
28133,1388,3993,11627,4580,3740
28135,593,1906,5446,2307,2111
28137,1638,4747,11665,5455,4630
28139,1257,3876,8604,4206,3678
28141,994,3042,6893,3889,3920
28143,798,1912,3915,1633,1328
28145,1814,5270,11157,5155,4613
28147,781,2352,5238,2673,2820
28149,2667,7737,16644,8664,7911
28151,2922,8204,16384,8495,7669
28153,1281,3602,7533,3804,3479
28155,622,1785,3601,2071,1863
28157,358,1370,3367,1701,1580
28159,976,2925,6527,3460,3721
28161,776,1931,4520,2546,2666
28163,1477,4344,12801,4452,3763
