"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
29,"Missouri","MO","1","29189",0.0928032708135768,113,996618,92489
29,"Missouri","MO","1","29183",0.133174640459849,114,409830,54579
29,"Missouri","MO","1","29510",0.181449217722453,113,293109,53184
29,"Missouri","MO","1","29099",0.198897058602845,114,228227,45394
29,"Missouri","MO","1","29095",0.0551440165971263,114,717021,39539
29,"Missouri","MO","1","29047",0.140101687637553,113,255566,35805
29,"Missouri","MO","1","29043",0.252799308870212,113,91229,23063
29,"Missouri","MO","1","29165",0.183425085069294,108,108751,19948
29,"Missouri","MO","1","29037",0.178469681112697,113,109393,19523
29,"Missouri","MO","1","29077",0.0642350603923601,114,301121,19343
29,"Missouri","MO","1","29071",0.150384693681208,112,105316,15838
29,"Missouri","MO","1","29113",0.238797112639709,112,61636,14718
29,"Missouri","MO","1","29019",0.0762379574272553,114,185874,14171
29,"Missouri","MO","1","29145",0.206274760645707,109,59490,12271
29,"Missouri","MO","1","29097",0.0886056717052011,110,123532,10946
29,"Missouri","MO","1","29027",0.23842540125372,112,44541,10620
29,"Missouri","MO","1","29225",0.257626995363219,109,39868,10271
29,"Missouri","MO","1","29219",0.279523852607477,107,36467,10193
29,"Missouri","MO","1","29101",0.168175407518366,114,54331,9137
29,"Missouri","MO","1","29209",0.275223682460884,106,31697,8724
29,"Missouri","MO","1","29201",0.229109119038137,97,37967,8699
29,"Missouri","MO","1","29109",0.2265148866517,107,38392,8696
29,"Missouri","MO","1","29051",0.105944919212806,114,76924,8150
29,"Missouri","MO","1","29107",0.246779083295919,110,32974,8137
29,"Missouri","MO","1","29187",0.120880275609911,107,66864,8083
29,"Missouri","MO","1","29031",0.0797994403328903,107,82180,6558
29,"Missouri","MO","1","29177",0.282629029241892,99,23149,6543
29,"Missouri","MO","1","29049",0.306921221212408,104,21259,6525
29,"Missouri","MO","1","29029",0.148051663016575,111,43416,6428
29,"Missouri","MO","1","29167",0.197077872793874,110,32109,6328
29,"Missouri","MO","1","29213",0.107584223158151,112,56382,6066
29,"Missouri","MO","1","29003",0.334929233073157,101,18086,6058
29,"Missouri","MO","1","29131",0.23744051335046,111,25081,5955
29,"Missouri","MO","1","29009",0.169204093113515,97,34831,5894
29,"Missouri","MO","1","29021",0.068232855399859,112,83855,5722
29,"Missouri","MO","1","29169",0.103953397772764,106,53850,5598
29,"Missouri","MO","1","29055",0.241359383672064,99,22890,5525
29,"Missouri","MO","1","29221",0.229567640163306,104,23483,5391
29,"Missouri","MO","1","29215",0.213232940659866,107,24956,5321
29,"Missouri","MO","1","29207",0.18488117976277,95,28547,5278
29,"Missouri","MO","1","29141",0.237893256707444,111,21430,5098
29,"Missouri","MO","1","29159",0.117794887814611,114,43205,5089
29,"Missouri","MO","1","29161",0.107553026512305,109,44948,4834
29,"Missouri","MO","1","29186",0.260284419722037,97,18551,4829
29,"Missouri","MO","1","29059",0.277831582987088,106,17344,4819
29,"Missouri","MO","1","29007",0.185459487784137,107,24688,4579
29,"Missouri","MO","1","29105",0.120373209569508,110,36245,4363
29,"Missouri","MO","1","29119",0.184195625061555,99,23492,4327
29,"Missouri","MO","1","29015",0.215830958158658,111,19887,4292
29,"Missouri","MO","1","29151",0.31382435300625,112,13379,4199
29,"Missouri","MO","1","29143",0.258028889218511,91,16041,4139
29,"Missouri","MO","1","29175",0.167982127388111,108,24524,4120
29,"Missouri","MO","1","29229",0.213757836691481,103,18722,4002
29,"Missouri","MO","1","29083",0.175805909656157,107,22194,3902
29,"Missouri","MO","1","29135",0.254200217193627,104,15303,3890
29,"Missouri","MO","1","29053",0.228309740550115,105,16835,3844
29,"Missouri","MO","1","29013",0.227177514636905,102,16121,3662
29,"Missouri","MO","1","29063",0.323885494957562,95,11176,3620
29,"Missouri","MO","1","29091",0.0899739229724903,106,40168,3614
29,"Missouri","MO","1","29023",0.0856874018838498,103,42166,3613
29,"Missouri","MO","1","29073",0.243825528606336,99,14774,3602
