fips,0-4,5-17,18-49,50-64,65+
29001,1421,3277,12900,3803,3823
29003,975,3111,6571,3707,3722
29005,235,854,1707,1103,1317
29007,1541,4080,9632,4852,4583
29009,2050,5909,12168,7088,7616
29011,670,2088,4188,2306,2433
29013,923,2843,5894,3360,3101
29015,814,2596,5464,4830,6183
29017,583,1738,3680,2400,2190
29019,10159,27613,94801,28971,24330
29021,4991,13773,34329,16427,14335
29023,2684,7123,15855,8381,8123
29025,480,1626,3150,1855,1779
29027,2427,6854,18558,8969,7733
29029,1938,5602,12762,10558,12556
29031,4658,12975,35749,14626,14172
29033,418,1450,3003,1727,1861
29035,349,927,1817,1115,1061
29037,6238,19699,42212,22136,19108
29039,1008,2487,4550,2986,3409
29041,459,1257,2339,1500,1851
29043,5547,17512,36251,17044,14875
29045,399,1187,2271,1422,1401
29047,15524,45291,109373,47317,38061
29049,1150,3750,7811,4632,3916
29051,4460,12639,31783,14549,13493
29053,1049,2745,6495,3329,3217
29055,1321,3788,8170,4866,4745
29057,379,1213,2520,1650,1865
29059,1152,3023,5992,3572,3605
29061,575,1523,2914,1644,1793
29063,516,1589,4629,2350,2092
29065,824,2454,4913,3156,3159
29067,645,2054,3713,2481,2957
29069,1854,5334,10198,5271,5138
29071,6091,17677,38999,23032,19517
29073,736,2270,5070,3317,3381
29075,428,1142,2218,1270,1166
29077,16923,46157,135463,51834,50744
29079,714,1800,3328,1844,2136
29081,550,1506,2722,1594,1826
29083,1283,3674,7704,4591,4942
29085,341,1147,2208,2049,2756
29087,219,644,1353,940,1098
29089,573,1665,4003,1881,2019
29091,2417,7357,14685,7732,7977
29093,475,1527,3264,2093,2123
29095,44687,123705,305597,131641,111391
29097,7983,22670,51672,21637,19570
29099,12861,39135,90523,48938,36770
29101,3444,8544,26751,8579,7013
29103,301,628,1265,776,790
29105,2386,6603,13413,7333,6510
29107,1814,5789,12271,6860,6240
29109,2523,7251,14380,7292,6946
29111,500,1634,4008,1926,1877
29113,4165,11407,24816,12433,8815
29115,651,2159,4142,2383,2515
29117,766,2383,5767,2556,2858
29119,1523,4490,8961,4812,3706
29121,800,2765,5257,3018,3323
29123,629,2346,4656,2628,2406
29125,407,1308,2953,1892,1875
29127,1967,4774,10930,5502,5320
29129,250,593,1176,722,760
29131,1497,4398,9208,5092,4886
29133,622,2071,4622,2551,2213
29135,976,2854,6092,2874,2507
29137,462,1445,2787,1838,2140
29139,663,1915,3958,2554,2332
29141,1401,3533,6727,4712,5057
29143,998,2808,5778,3320,3137
29145,3543,10675,22313,11858,11101
29147,1044,2516,10299,3468,3632
29149,503,1509,2829,1876,1987
29151,729,2364,5065,2845,2376
29153,359,1285,2575,2014,2540
29155,1058,2908,5654,2905,2707
29157,1023,3311,7108,3845,3660
29159,2992,7886,16817,8103,7407
29161,2393,7129,19825,8050,7551
29163,1010,3046,6848,3400,3319
29165,6255,19179,45420,20806,17091
29167,2005,5536,12627,6126,5815
29169,3615,8189,30287,6590,5169
29171,291,754,1567,890,1173
29173,541,1635,3540,2306,2372
29175,1427,3981,10085,4834,4197
29177,1280,4000,8390,5136,4343
29179,278,878,2087,1402,1413
29181,703,1817,3846,2221,2168
29183,22538,71004,167318,81581,67389
29185,507,1474,2981,2050,2439
29186,1042,2969,6574,4100,3866
29187,3456,10631,28489,12984,11304
29189,56721,163750,394122,195875,186150
29195,1290,3782,9968,4098,4039
29197,323,795,1388,775,763
29199,363,1038,1598,807,892
29201,2441,6737,14454,7340,6995
29203,413,1174,2338,1602,1610
29205,383,1046,2079,1200,1303
29207,1715,4656,10579,5780,5817
29209,1292,4044,8963,7471,9927
29211,357,943,2126,1264,1213
29213,2858,8964,21238,10745,12577
29215,1387,4011,9055,5299,5204
29217,1166,3540,7023,3963,4021
29219,2017,6543,13698,7688,6521
29221,1299,4181,8840,5066,4097
29223,486,1730,3509,2556,2661
29225,2844,8101,15128,7546,6249
29227,107,299,603,446,501
29229,1290,3608,6447,3674,3703
29510,17129,37280,141714,53364,43622
