fips,0-4,5-17,18-49,50-64,65+
31001,2006,5467,11953,5877,5731
31003,417,1125,2041,1207,1512
31005,34,154,151,97,104
31007,44,77,163,184,189
31009,22,53,73,106,131
31011,314,979,1679,1132,1262
31013,561,2144,3818,2057,2174
31015,68,254,479,327,576
31017,173,395,901,525,745
31019,3039,8524,22711,8004,8045
31021,344,1197,2166,1374,1649
31023,477,1522,2970,1726,1718
31025,1473,4890,9823,5835,4942
31027,528,1611,2694,1682,1829
31029,228,686,1191,665,869
31031,320,978,1876,1092,1202
31033,547,1606,3363,1937,2025
31035,392,1109,2059,1272,1252
31037,848,2362,3539,2370,1422
31039,692,1546,3092,1736,1910
31041,705,1847,3579,2066,2347
31043,1789,4471,8766,3538,2767
31045,446,1033,3822,1317,1594
31047,1876,4794,9229,4177,3944
31049,117,248,529,479,492
31051,347,1044,1893,1098,1179
31053,2377,6964,13725,7013,7067
31055,40820,108396,255817,99911,80517
31057,133,239,613,378,448
31059,332,754,1928,1218,1319
31061,158,425,879,607,799
31063,139,402,900,469,652
31065,264,750,1497,920,1174
31067,1179,3782,7458,4492,4735
31069,49,241,474,340,516
31071,86,302,587,326,496
31073,89,275,610,468,487
31075,50,113,255,134,143
31077,136,383,706,415,571
31079,4705,12515,24508,11067,9636
31081,581,1741,3327,1855,1934
31083,175,525,873,624,809
31085,48,140,251,194,221
31087,160,464,800,499,678
31089,657,1890,3283,1997,2266
31091,25,73,254,92,169
31093,442,1206,2148,1256,1440
31095,418,1210,2337,1425,1765
31097,250,775,2234,1034,970
31099,411,1284,2390,1268,1344
31101,375,1333,2499,1760,2272
31103,45,190,267,204,233
31105,133,516,1089,698,912
31107,497,1507,2621,1614,2123
31109,19025,54265,150464,51714,48205
31111,1915,5974,12480,6751,7002
31113,50,175,230,186,171
31115,25,94,202,91,152
31117,13,82,165,103,100
31119,2498,6533,13923,6538,6043
31121,440,1316,2715,1590,1635
31123,287,730,1668,889,970
31125,184,598,1123,735,702
31127,400,1154,2823,1210,1448
31129,195,570,1261,904,1159
31131,907,2988,5674,3221,3285
31133,176,436,733,474,720
31135,151,553,975,494,662
31137,576,1601,3264,1691,1851
31139,518,1339,2553,1467,1435
31141,2343,6817,12818,6252,6128
31143,268,896,1772,1070,1203
31145,659,1689,3931,2107,2225
31147,394,1296,2518,1685,1904
31149,79,221,404,289,342
31151,984,2791,6079,2514,2274
31153,12914,38902,84617,33384,24234
31155,1415,4258,8106,4833,4149
31157,2262,6464,13316,6553,7342
31159,968,3183,7145,3208,3132
31161,307,775,1630,972,1374
31163,172,479,896,609,818
31165,95,171,423,222,286
31167,330,1076,2015,1235,1179
31169,264,869,1544,1025,1236
31171,19,85,230,85,207
31173,613,1679,2512,1027,835
31175,235,679,1332,835,1013
31177,1153,3936,7520,4416,3964
31179,484,1496,4702,1509,1595
31181,184,587,1131,721,762
31183,75,55,185,217,253
31185,887,2422,5421,2637,2864
