fips,0-4,5-17,18-49,50-64,65+
32001,1535,4328,9731,5006,5205
32003,130819,386402,1008667,433241,370419
32005,1693,5684,14710,11285,16251
32007,3537,10749,23053,9607,7101
32009,28,104,231,410,255
32011,59,251,416,512,347
32013,1149,3413,6642,3226,2859
32015,332,1259,2285,1045,849
32017,115,768,1557,834,1131
32019,3167,9256,23286,12258,13713
32021,330,611,1549,866,1186
32023,2203,6813,16353,12184,16791
32027,274,753,2995,1340,1125
32029,128,428,1286,922,1376
32031,26166,76768,212577,93679,88010
32033,413,1291,3510,1736,1785
32510,2775,8858,22519,11849,12383
