"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
33,"New-Hampshire","NH","1","33011",0.0709984097662999,9,424732,30155
33,"New-Hampshire","NH","1","33015",0.0897622439340324,9,317163,28469
33,"New-Hampshire","NH","1","33013",0.139532205475081,9,155018,21630
33,"New-Hampshire","NH","1","33017",0.110637302564374,9,131743,14576
33,"New-Hampshire","NH","1","33001",0.1474985426687,9,64300,9484
33,"New-Hampshire","NH","1","33009",0.0770094729991306,9,91759,7066
33,"New-Hampshire","NH","1","33019",0.136704861443125,9,43529,5951
33,"New-Hampshire","NH","1","33003",0.10685002862748,9,51259,5477
33,"New-Hampshire","NH","1","33005",0.0559745109881126,9,76945,4307
33,"New-Hampshire","NH","1","33007",0.0792644453838738,9,31386,2488
33,"New-Hampshire","NH","2","33011",0.0865076078025145,9,424732,36743
33,"New-Hampshire","NH","2","33015",0.0964877845761553,9,317163,30602
33,"New-Hampshire","NH","2","33013",0.164091690677058,9,155018,25437
33,"New-Hampshire","NH","2","33017",0.127901841923769,9,131743,16850
33,"New-Hampshire","NH","2","33001",0.165313430961139,9,64300,10630
33,"New-Hampshire","NH","2","33009",0.0932732151348414,9,91759,8559
33,"New-Hampshire","NH","2","33003",0.130188373266568,9,51259,6673
33,"New-Hampshire","NH","2","33019",0.148913895628641,9,43529,6482
33,"New-Hampshire","NH","2","33005",0.0621391453118851,9,76945,4781
33,"New-Hampshire","NH","2","33007",0.102703166085122,9,31386,3223
33,"New-Hampshire","NH","3","33011",0.0954472499265578,9,424732,40540
33,"New-Hampshire","NH","3","33015",0.100078475696991,9,317163,31741
33,"New-Hampshire","NH","3","33013",0.168404383782522,9,155018,26106
33,"New-Hampshire","NH","3","33017",0.131887685945204,9,131743,17375
33,"New-Hampshire","NH","3","33001",0.162797443435647,9,64300,10468
33,"New-Hampshire","NH","3","33009",0.0967470771568567,9,91759,8877
33,"New-Hampshire","NH","3","33019",0.149957655987994,9,43529,6528
33,"New-Hampshire","NH","3","33003",0.11908948920875,9,51259,6104
33,"New-Hampshire","NH","3","33005",0.064613757167039,9,76945,4972
33,"New-Hampshire","NH","3","33007",0.108383219274617,9,31386,3402
33,"New-Hampshire","NH","4","33011",0.088351715318831,9,424732,37526
33,"New-Hampshire","NH","4","33015",0.10477733321165,9,317163,33231
33,"New-Hampshire","NH","4","33013",0.172103961888681,9,155018,26679
33,"New-Hampshire","NH","4","33017",0.139927493625174,9,131743,18434
33,"New-Hampshire","NH","4","33001",0.176055759550104,9,64300,11320
33,"New-Hampshire","NH","4","33009",0.10217481754843,9,91759,9375
33,"New-Hampshire","NH","4","33019",0.163909612280644,9,43529,7135
33,"New-Hampshire","NH","4","33003",0.135097349076213,9,51259,6925
33,"New-Hampshire","NH","4","33005",0.0668319964397564,9,76945,5142
33,"New-Hampshire","NH","4","33007",0.108131200223951,9,31386,3394
