STATE_NAME,STATE_DIR,STATE_ABBR,STATE_FIPS,QUARTER,COUNTY_ORG,mobility_outflow,total_counties_connected
New Hampshire,New-Hampshire,NH,33,1,33003,0.628509656018767,9
New Hampshire,New-Hampshire,NH,33,1,33001,0.5334551614949641,9
New Hampshire,New-Hampshire,NH,33,1,33009,0.5151054167890043,9
New Hampshire,New-Hampshire,NH,33,1,33013,0.49425666728498197,9
New Hampshire,New-Hampshire,NH,33,1,33019,0.4780517422583449,9
New Hampshire,New-Hampshire,NH,33,1,33007,0.4370246785730028,9
New Hampshire,New-Hampshire,NH,33,1,33017,0.3749342336231447,9
New Hampshire,New-Hampshire,NH,33,1,33015,0.33893912438820945,9
New Hampshire,New-Hampshire,NH,33,1,33005,0.2890953988861656,9
New Hampshire,New-Hampshire,NH,33,1,33011,0.2574402075323461,9
New Hampshire,New-Hampshire,NH,33,2,33003,0.661769595926031,9
New Hampshire,New-Hampshire,NH,33,2,33001,0.5819382323911685,9
New Hampshire,New-Hampshire,NH,33,2,33009,0.5685841611886681,9
New Hampshire,New-Hampshire,NH,33,2,33013,0.5258573637593733,9
New Hampshire,New-Hampshire,NH,33,2,33019,0.5145937666468925,9
New Hampshire,New-Hampshire,NH,33,2,33007,0.445552253037336,9
New Hampshire,New-Hampshire,NH,33,2,33017,0.41269031189473093,9
New Hampshire,New-Hampshire,NH,33,2,33015,0.3700774769301016,9
New Hampshire,New-Hampshire,NH,33,2,33005,0.33268390187894914,9
New Hampshire,New-Hampshire,NH,33,2,33011,0.2987555299663961,9
New Hampshire,New-Hampshire,NH,33,3,33003,0.6916428370211702,9
New Hampshire,New-Hampshire,NH,33,3,33001,0.6124038783347749,9
New Hampshire,New-Hampshire,NH,33,3,33009,0.5928331193945253,9
New Hampshire,New-Hampshire,NH,33,3,33013,0.5490947166238495,9
New Hampshire,New-Hampshire,NH,33,3,33019,0.5306765361836219,9
New Hampshire,New-Hampshire,NH,33,3,33007,0.44836790067420873,9
New Hampshire,New-Hampshire,NH,33,3,33017,0.42946594982151304,9
New Hampshire,New-Hampshire,NH,33,3,33015,0.39175512273878005,9
New Hampshire,New-Hampshire,NH,33,3,33005,0.3527211016728697,9
New Hampshire,New-Hampshire,NH,33,3,33011,0.3275416381933121,9
New Hampshire,New-Hampshire,NH,33,4,33003,0.6714834993623771,9
New Hampshire,New-Hampshire,NH,33,4,33009,0.5907960883180634,9
New Hampshire,New-Hampshire,NH,33,4,33001,0.5850498896505376,9
New Hampshire,New-Hampshire,NH,33,4,33013,0.5412595530019899,9
New Hampshire,New-Hampshire,NH,33,4,33019,0.5294459318037582,9
New Hampshire,New-Hampshire,NH,33,4,33007,0.45006816319105925,9
New Hampshire,New-Hampshire,NH,33,4,33017,0.42585753297730317,9
New Hampshire,New-Hampshire,NH,33,4,33015,0.37834127121745514,9
New Hampshire,New-Hampshire,NH,33,4,33005,0.34387189705142573,9
New Hampshire,New-Hampshire,NH,33,4,33011,0.2915217107202234,9
