"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
34,"New-Jersey","NJ","1","34013",0.144165161685277,20,854130,123136
34,"New-Jersey","NJ","1","34023",0.141328498585064,20,861535,121759
34,"New-Jersey","NJ","1","34039",0.168289361991957,20,572549,96354
34,"New-Jersey","NJ","1","34003",0.0980930324663249,20,954717,93651
34,"New-Jersey","NJ","1","34031",0.169148967654491,20,518289,87668
34,"New-Jersey","NJ","1","34017",0.116720811152636,20,710478,82928
34,"New-Jersey","NJ","1","34029",0.118823939768953,20,646434,76812
34,"New-Jersey","NJ","1","34027",0.141480109822525,20,510375,72208
34,"New-Jersey","NJ","1","34025",0.103034789386813,20,643615,66315
34,"New-Jersey","NJ","1","34007",0.123426718966018,20,524042,64681
34,"New-Jersey","NJ","1","34035",0.186733899891902,20,346203,64648
34,"New-Jersey","NJ","1","34005",0.127818947175231,20,464226,59337
34,"New-Jersey","NJ","1","34015",0.13731607431157,20,304504,41813
34,"New-Jersey","NJ","1","34021",0.0916394449960257,20,383286,35124
34,"New-Jersey","NJ","1","34037",0.181976585244799,20,145117,26408
34,"New-Jersey","NJ","1","34019",0.179704474617221,20,129448,23262
34,"New-Jersey","NJ","1","34001",0.0831676275063995,20,274704,22846
34,"New-Jersey","NJ","1","34041",0.152061742338046,20,110238,16763
34,"New-Jersey","NJ","1","34011",0.0964361389026129,20,152915,14747
34,"New-Jersey","NJ","1","34033",0.172903413306359,20,64973,11234
34,"New-Jersey","NJ","1","34009",0.111075451795974,20,95236,10578
34,"New-Jersey","NJ","2","34013",0.171120174416595,20,854130,146159
34,"New-Jersey","NJ","2","34023",0.164767940354267,20,861535,141953
34,"New-Jersey","NJ","2","34039",0.193572656953322,20,572549,110830
34,"New-Jersey","NJ","2","34003",0.113009201333208,20,954717,107892
34,"New-Jersey","NJ","2","34031",0.20074175863039,20,518289,104042
34,"New-Jersey","NJ","2","34017",0.135218641725215,20,710478,96070
34,"New-Jersey","NJ","2","34029",0.130618331235752,20,646434,84436
34,"New-Jersey","NJ","2","34027",0.16226826871975,20,510375,82818
34,"New-Jersey","NJ","2","34007",0.154538668784822,20,524042,80985
34,"New-Jersey","NJ","2","34025",0.112824736205244,20,643615,72616
34,"New-Jersey","NJ","2","34035",0.20589111663869,20,346203,71280
34,"New-Jersey","NJ","2","34005",0.151103903111331,20,464226,70146
34,"New-Jersey","NJ","2","34015",0.164841555194367,20,304504,50195
