"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
35,"New-Mexico","NM","1","35043",0.219884719554119,32,151538,33321
35,"New-Mexico","NM","1","35001",0.041491410347702,32,674357,27980
35,"New-Mexico","NM","1","35049",0.095707046884653,32,155175,14851
35,"New-Mexico","NM","1","35061",0.166893217587502,32,77382,12915
35,"New-Mexico","NM","1","35013",0.0333806766326113,32,221665,7399
35,"New-Mexico","NM","1","35039",0.175718533365008,31,40165,7058
35,"New-Mexico","NM","1","35031",0.0739486076271439,31,71172,5263
35,"New-Mexico","NM","1","35005",0.0734616553193509,32,64446,4734
35,"New-Mexico","NM","1","35057",0.287067419512989,32,15290,4389
35,"New-Mexico","NM","1","35035",0.0616712004374446,32,68235,4208
35,"New-Mexico","NM","1","35045",0.0340070797934848,32,121178,4121
35,"New-Mexico","NM","1","35006",0.146178845074309,31,27059,3955
35,"New-Mexico","NM","1","35015",0.0646454503424217,32,61114,3951
35,"New-Mexico","NM","1","35047",0.138118908161933,32,27036,3734
35,"New-Mexico","NM","1","35055",0.0912520887949692,32,34516,3150
35,"New-Mexico","NM","1","35025",0.0396991882302574,31,73154,2904
35,"New-Mexico","NM","1","35053",0.172708699967061,31,16308,2817
35,"New-Mexico","NM","1","35028",0.131876449143485,29,19374,2555
35,"New-Mexico","NM","1","35041",0.133799098047478,32,19002,2542
35,"New-Mexico","NM","1","35009",0.0521071826907664,32,47932,2498
35,"New-Mexico","NM","1","35027",0.100609517455684,31,20227,2035
35,"New-Mexico","NM","1","35017",0.0707313716410306,29,27856,1970
35,"New-Mexico","NM","1","35029",0.0750121655373746,29,25420,1907
35,"New-Mexico","NM","1","35007",0.129036351975209,32,12336,1592
35,"New-Mexico","NM","1","35051",0.118869434502059,30,11511,1368
35,"New-Mexico","NM","1","35003",0.358261685684235,27,3685,1320
35,"New-Mexico","NM","1","35033",0.308929827361832,28,4176,1290
35,"New-Mexico","NM","1","35037",0.133779566162225,31,8616,1153
35,"New-Mexico","NM","1","35019",0.230087361206184,31,4379,1008
35,"New-Mexico","NM","1","35059",0.181238510995158,30,4039,732
35,"New-Mexico","NM","1","35023",0.172903154314048,22,4097,708
35,"New-Mexico","NM","1","35021",0.805765378479207,21,748,603
35,"New-Mexico","NM","1","35011",0.319361214422187,24,1580,505
35,"New-Mexico","NM","2","35043",0.25930443161986,32,151538,39294
35,"New-Mexico","NM","2","35001",0.0526973609330535,32,674357,35537
35,"New-Mexico","NM","2","35049",0.12103550962826,32,155175,18782
35,"New-Mexico","NM","2","35061",0.197606783427858,32,77382,15291
35,"New-Mexico","NM","2","35013",0.0417753607727492,32,221665,9260
35,"New-Mexico","NM","2","35039",0.211564520577935,30,40165,8497
35,"New-Mexico","NM","2","35031",0.0980203705184431,32,71172,6976
