fips,0-4,5-17,18-49,50-64,65+
35001,33092,103657,289697,124264,123220
35003,16,214,752,981,1780
35005,3692,12107,26624,11225,10569
35006,1391,4842,10651,5080,4881
35007,490,1670,4184,2429,3549
35009,3673,8964,21727,7089,6185
35011,175,127,629,226,419
35013,12848,39067,98909,35211,38231
35015,4173,11586,25909,10403,9034
35017,1133,3841,9118,5264,8419
35019,177,799,1793,858,754
35021,14,174,235,121,197
35023,213,649,1422,814,943
35025,5789,15965,32314,11287,8378
35027,791,2578,6022,4506,6327
35028,963,3315,7817,3767,3573
35029,1946,4665,9475,4195,5330
35031,4072,15004,29711,11932,9712
35033,142,568,1204,824,1411
35035,3942,11112,30114,11571,12077
35037,144,1537,2718,1905,2260
35039,2089,6927,14426,7886,8742
35041,1143,3602,8569,2774,2840
35043,7153,26238,60348,29060,30805
35045,6859,23306,48677,21639,20461
35047,1142,3386,9762,5692,6868
35049,5788,19289,55010,32233,43785
35051,433,1362,3251,1989,4465
35053,780,3103,5888,3019,3410
35055,1055,4345,11133,7471,10539
35057,754,2380,5797,3071,3488
35059,257,599,1478,763,916
35061,4279,13555,30966,14962,14696
