fips,0-4,5-17,18-49,50-64,65+
36001,14646,42499,143554,58717,57602
36003,2342,6900,19726,8735,9456
36005,92223,249269,605400,254673,203214
36007,9402,28288,82574,37078,40036
36009,3997,12648,27692,15965,15843
36011,3571,10945,28273,16284,16029
36013,6429,19374,46811,26013,26917
36015,4188,12981,31661,16624,16693
36017,2357,7212,16191,10214,10347
36019,3381,10784,32896,16519,14913
36021,2302,7422,21031,14322,16023
36023,2174,6373,21017,8753,7929
36025,1710,5364,15703,9963,11747
36027,13522,41294,121216,65136,57052
36029,49525,141906,385948,189893,183350
36031,1315,4388,12851,8662,9757
36033,2243,7059,18410,9864,9120
36035,2408,8083,19433,11629,10934
36037,2920,8880,21737,12533,11717
36039,2061,5610,17580,10716,11442
36041,133,482,1377,1379,1718
36043,2910,9273,21256,13000,13318
36045,8357,19296,51452,18554,17381
36047,170013,414461,1194917,445593,406596
36049,1539,4480,9480,5642,5466
36051,2656,8310,25237,12911,12384
36053,3004,9260,26815,14566,13683
36055,39085,114090,311785,147289,141504
36057,3060,8394,18705,9743,9626
36059,73174,225554,539193,292170,259500
36061,67133,159047,818498,289106,295693
36063,10503,31347,79506,45677,43688
36065,12431,36592,88634,46037,45430
36067,25388,73166,191700,92889,87986
36069,5155,16513,41700,24294,24963
36071,27339,76848,165050,77844,59535
36073,1864,5569,15147,9161,7867
36075,6032,18244,47024,25470,21183
36077,2344,6607,26703,11543,12911
36079,4630,14403,37629,22535,18910
36081,126361,327314,983971,471868,413538
36083,7818,22744,67994,32446,29330
36085,26418,80371,200312,102600,85255
36087,29791,71838,127194,59391,53669
36089,5076,16237,44489,21272,20152
36091,10903,34620,92827,52350,47584
36093,9161,25252,66349,30977,28630
36095,1289,3893,11188,6498,7181
36097,805,2494,6079,4139,4045
36099,1709,4973,12300,6834,7104
36101,5001,14919,33692,19714,19262
36103,81109,236790,601581,336628,274038
36105,4785,12312,30608,16667,15349
36107,2355,7373,17072,10625,10439
36109,3590,11155,56932,15866,16994
36111,7868,23346,72964,39580,38843
36113,2761,8703,23324,14801,15928
36115,2772,8388,22337,13917,13108
36117,4883,14200,32627,20287,18932
36119,52626,159844,397253,208425,181529
36121,1863,5476,15568,8734,8112
36123,1544,3901,8620,4918,5543
