STATE_NAME,STATE_DIR,STATE_ABBR,STATE_FIPS,QUARTER,COUNTY_ORG,mobility_outflow,total_counties_connected
North Carolina,North-Carolina,NC,37,1,37103,0.92776674467464,83
North Carolina,North-Carolina,NC,37,1,37177,0.9013433010622205,68
North Carolina,North-Carolina,NC,37,1,37095,0.8824931640165149,88
North Carolina,North-Carolina,NC,37,1,37185,0.8696963154161323,91
North Carolina,North-Carolina,NC,37,1,37033,0.861758537565961,90
North Carolina,North-Carolina,NC,37,1,37029,0.8387130779997269,79
North Carolina,North-Carolina,NC,37,1,37079,0.8368577245423632,90
North Carolina,North-Carolina,NC,37,1,37015,0.836734667179975,88
North Carolina,North-Carolina,NC,37,1,37093,0.8110224462690627,96
North Carolina,North-Carolina,NC,37,1,37143,0.810473657218335,84
North Carolina,North-Carolina,NC,37,1,37137,0.8089607443327271,89
North Carolina,North-Carolina,NC,37,1,37011,0.7977666959952615,96
North Carolina,North-Carolina,NC,37,1,37149,0.7887464375001777,87
North Carolina,North-Carolina,NC,37,1,37059,0.7779779983093196,98
North Carolina,North-Carolina,NC,37,1,37131,0.7718559790121687,92
North Carolina,North-Carolina,NC,37,1,37123,0.7699040830265389,95
North Carolina,North-Carolina,NC,37,1,37187,0.7687579755517575,86
North Carolina,North-Carolina,NC,37,1,37007,0.7662918117721672,89
North Carolina,North-Carolina,NC,37,1,37069,0.7602698513715893,98
North Carolina,North-Carolina,NC,37,1,37037,0.7599711655817443,97
North Carolina,North-Carolina,NC,37,1,37115,0.75598431643437,90
North Carolina,North-Carolina,NC,37,1,37017,0.7515746862165117,91
North Carolina,North-Carolina,NC,37,1,37197,0.751539519715749,98
North Carolina,North-Carolina,NC,37,1,37003,0.7502676043345771,95
North Carolina,North-Carolina,NC,37,1,37169,0.7490784531053377,96
North Carolina,North-Carolina,NC,37,1,37077,0.7431489730528035,98
North Carolina,North-Carolina,NC,37,1,37117,0.7336325230806793,94
North Carolina,North-Carolina,NC,37,1,37073,0.729970186496021,77
North Carolina,North-Carolina,NC,37,1,37141,0.7213318929374245,99
North Carolina,North-Carolina,NC,37,1,37005,0.7075481173001524,89
North Carolina,North-Carolina,NC,37,1,37061,0.7003043185282298,98
North Carolina,North-Carolina,NC,37,1,37099,0.6962090098420604,96
North Carolina,North-Carolina,NC,37,1,37075,0.6863209162243235,60
North Carolina,North-Carolina,NC,37,1,37085,0.6828782696774233,99
North Carolina,North-Carolina,NC,37,1,37109,0.6806147967234188,99
North Carolina,North-Carolina,NC,37,1,37135,0.6689643190114718,99
North Carolina,North-Carolina,NC,37,1,37065,0.6647821631332725,96
North Carolina,North-Carolina,NC,37,1,37053,0.6627858924034022,92
North Carolina,North-Carolina,NC,37,1,37173,0.6612742411028109,90
North Carolina,North-Carolina,NC,37,1,37189,0.6537632333618857,99
North Carolina,North-Carolina,NC,37,1,37163,0.6487374266692849,98
North Carolina,North-Carolina,NC,37,1,37199,0.6459067757339539,84
North Carolina,North-Carolina,NC,37,1,37145,0.6402709346283588,94
North Carolina,North-Carolina,NC,37,1,37111,0.6342753444583678,96
North Carolina,North-Carolina,NC,37,1,37167,0.6276669224890292,97
North Carolina,North-Carolina,NC,37,1,37101,0.6274877818458671,99
North Carolina,North-Carolina,NC,37,1,37127,0.6199110940642846,99
North Carolina,North-Carolina,NC,37,1,37013,0.611512690259677,97
North Carolina,North-Carolina,NC,37,1,37057,0.6108921342311576,99
North Carolina,North-Carolina,NC,37,1,37181,0.5991970465064531,95
North Carolina,North-Carolina,NC,37,1,37151,0.591836442662039,99
North Carolina,North-Carolina,NC,37,1,37091,0.5908768045069845,85
North Carolina,North-Carolina,NC,37,1,37041,0.5878336006635804,85
North Carolina,North-Carolina,NC,37,1,37043,0.5856424009144139,68
North Carolina,North-Carolina,NC,37,1,37175,0.5824202513365416,95
North Carolina,North-Carolina,NC,37,1,37121,0.5819400514725297,89
North Carolina,North-Carolina,NC,37,1,37107,0.5809337086787362,96
North Carolina,North-Carolina,NC,37,1,37063,0.5764753655799763,99
North Carolina,North-Carolina,NC,37,1,37105,0.5716768080875528,98
North Carolina,North-Carolina,NC,37,1,37159,0.5707392301932808,99
North Carolina,North-Carolina,NC,37,1,37157,0.5684157483399301,98
North Carolina,North-Carolina,NC,37,1,37165,0.5664994816377692,96
North Carolina,North-Carolina,NC,37,1,37031,0.5549899421634046,98
North Carolina,North-Carolina,NC,37,1,37023,0.5507342740687317,95
North Carolina,North-Carolina,NC,37,1,37025,0.5496670583179216,99
North Carolina,North-Carolina,NC,37,1,37055,0.5351438343045894,97
North Carolina,North-Carolina,NC,37,1,37027,0.531981074670361,98
North Carolina,North-Carolina,NC,37,1,37179,0.5310134962917538,99
North Carolina,North-Carolina,NC,37,1,37083,0.5244530692412273,97
North Carolina,North-Carolina,NC,37,1,37195,0.5228300282875809,98
North Carolina,North-Carolina,NC,37,1,37019,0.5215921704122738,99
North Carolina,North-Carolina,NC,37,1,37087,0.5112907523070764,97
North Carolina,North-Carolina,NC,37,1,37193,0.5110231560138095,96
North Carolina,North-Carolina,NC,37,1,37125,0.5051378435588163,99
North Carolina,North-Carolina,NC,37,1,37045,0.5001767289929078,98
North Carolina,North-Carolina,NC,37,1,37153,0.48788513005519174,90
North Carolina,North-Carolina,NC,37,1,37155,0.4831187016337348,96
North Carolina,North-Carolina,NC,37,1,37009,0.4767460278409831,92
North Carolina,North-Carolina,NC,37,1,37097,0.47644336431075957,99
North Carolina,North-Carolina,NC,37,1,37035,0.4707809619684336,99
North Carolina,North-Carolina,NC,37,1,37191,0.46425114062386996,99
North Carolina,North-Carolina,NC,37,1,37047,0.46062641466646204,96
North Carolina,North-Carolina,NC,37,1,37089,0.4600132642258984,95
North Carolina,North-Carolina,NC,37,1,37049,0.4551622855675735,99
North Carolina,North-Carolina,NC,37,1,37171,0.42495618820182834,98
North Carolina,North-Carolina,NC,37,1,37071,0.4220429218940757,98
North Carolina,North-Carolina,NC,37,1,37001,0.4201661340170374,99
North Carolina,North-Carolina,NC,37,1,37161,0.41948467145988444,98
North Carolina,North-Carolina,NC,37,1,37113,0.4062901336057716,97
North Carolina,North-Carolina,NC,37,1,37067,0.39597467901878247,99
North Carolina,North-Carolina,NC,37,1,37147,0.3878847772949188,99
North Carolina,North-Carolina,NC,37,1,37139,0.3663090589843665,95
North Carolina,North-Carolina,NC,37,1,37081,0.3557074185586104,99
North Carolina,North-Carolina,NC,37,1,37133,0.33344707719475364,99
North Carolina,North-Carolina,NC,37,1,37039,0.32205631231681464,80
North Carolina,North-Carolina,NC,37,1,37129,0.317359562902077,99
North Carolina,North-Carolina,NC,37,1,37021,0.31271686620092626,99
North Carolina,North-Carolina,NC,37,1,37119,0.3114546504199716,99
North Carolina,North-Carolina,NC,37,1,37051,0.2937882733515641,99
North Carolina,North-Carolina,NC,37,1,37183,0.27596314115324544,99
North Carolina,North-Carolina,NC,37,2,37103,0.9493712708270927,93
North Carolina,North-Carolina,NC,37,2,37177,0.9179130594489794,76
North Carolina,North-Carolina,NC,37,2,37095,0.9100514668644294,94
North Carolina,North-Carolina,NC,37,2,37185,0.8937945409499399,95
North Carolina,North-Carolina,NC,37,2,37033,0.8719441381042426,97
North Carolina,North-Carolina,NC,37,2,37079,0.871703228990432,98
North Carolina,North-Carolina,NC,37,2,37015,0.8514734479279131,91
North Carolina,North-Carolina,NC,37,2,37137,0.8441294379725197,96
North Carolina,North-Carolina,NC,37,2,37029,0.8438861627368578,92
North Carolina,North-Carolina,NC,37,2,37093,0.8360803074972021,98
North Carolina,North-Carolina,NC,37,2,37149,0.8318789054155301,89
North Carolina,North-Carolina,NC,37,2,37143,0.8288717129919367,89
North Carolina,North-Carolina,NC,37,2,37187,0.8212004025537329,90
North Carolina,North-Carolina,NC,37,2,37123,0.8206206381172403,98
North Carolina,North-Carolina,NC,37,2,37059,0.8194993995272437,99
North Carolina,North-Carolina,NC,37,2,37115,0.8150060044260824,91
North Carolina,North-Carolina,NC,37,2,37007,0.8124661705251917,95
North Carolina,North-Carolina,NC,37,2,37053,0.8114850678981984,99
North Carolina,North-Carolina,NC,37,2,37037,0.8100923776415612,99
North Carolina,North-Carolina,NC,37,2,37069,0.7981737795159992,99
North Carolina,North-Carolina,NC,37,2,37197,0.797328402650248,97
North Carolina,North-Carolina,NC,37,2,37131,0.7969332379234859,96
North Carolina,North-Carolina,NC,37,2,37003,0.7965857558687314,97
North Carolina,North-Carolina,NC,37,2,37077,0.7927280532231056,99
North Carolina,North-Carolina,NC,37,2,37055,0.7921291172727516,99
North Carolina,North-Carolina,NC,37,2,37017,0.7910658119249278,97
North Carolina,North-Carolina,NC,37,2,37073,0.7880852233363163,83
North Carolina,North-Carolina,NC,37,2,37117,0.7776603494570122,97
North Carolina,North-Carolina,NC,37,2,37169,0.7756935072279757,99
North Carolina,North-Carolina,NC,37,2,37141,0.773018475885105,99
North Carolina,North-Carolina,NC,37,2,37061,0.7677612912672112,99
