"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
38,"North-Dakota","ND","1","38059",0.264208912320787,52,33479,8845
38,"North-Dakota","ND","1","38015",0.0736896416976788,52,98986,7294
38,"North-Dakota","ND","1","38017",0.0248919383444629,52,189286,4712
38,"North-Dakota","ND","1","38101",0.061906359598153,52,69232,4286
38,"North-Dakota","ND","1","38035",0.0463239188072462,52,72764,3371
38,"North-Dakota","ND","1","38105",0.081296311621167,51,39368,3200
38,"North-Dakota","ND","1","38089",0.0963408854249359,51,33116,3190
38,"North-Dakota","ND","1","38055",0.291771426999876,51,9807,2861
38,"North-Dakota","ND","1","38077",0.151638831304339,52,16550,2510
38,"North-Dakota","ND","1","38053",0.173033323235134,49,14280,2471
38,"North-Dakota","ND","1","38061",0.255270535323885,48,9567,2442
38,"North-Dakota","ND","1","38049",0.397048160849393,50,5264,2090
38,"North-Dakota","ND","1","38099",0.191399380407959,48,10488,2007
38,"North-Dakota","ND","1","38005",0.304340298128935,41,5861,1784
38,"North-Dakota","ND","1","38093",0.0807630789263621,52,21525,1738
38,"North-Dakota","ND","1","38097",0.214905123882904,45,7980,1715
38,"North-Dakota","ND","1","38003",0.157711890314206,51,10794,1702
38,"North-Dakota","ND","1","38057",0.191600134266853,48,8341,1598
38,"North-Dakota","ND","1","38079",0.131680047743776,45,12065,1589
38,"North-Dakota","ND","1","38067",0.232235582654284,48,6787,1576
38,"North-Dakota","ND","1","38071",0.12771224802747,48,11563,1477
38,"North-Dakota","ND","1","38009",0.219848365892338,39,6390,1405
38,"North-Dakota","ND","1","38025",0.328755735314394,46,4043,1329
38,"North-Dakota","ND","1","38073",0.225525045214409,40,5662,1277
38,"North-Dakota","ND","1","38103",0.307558938455272,47,3942,1212
38,"North-Dakota","ND","1","38029",0.337334164305292,44,3269,1103
38,"North-Dakota","ND","1","38063",0.361073463910243,42,3015,1089
38,"North-Dakota","ND","1","38085",0.281632206344587,26,3789,1067
38,"North-Dakota","ND","1","38019",0.285251560322487,44,3663,1045
38,"North-Dakota","ND","1","38031",0.306653635146019,43,3372,1034
38,"North-Dakota","ND","1","38081",0.258142157351162,35,3822,987
38,"North-Dakota","ND","1","38021",0.198701362304601,46,4959,985
38,"North-Dakota","ND","1","38045",0.232856967383624,39,4107,956
38,"North-Dakota","ND","1","38041",0.383489439156754,37,2453,941
38,"North-Dakota","ND","1","38075",0.410658997751658,31,2277,935
38,"North-Dakota","ND","1","38069",0.235148344156253,44,3961,931
38,"North-Dakota","ND","1","38039",0.377422652614517,41,2340,883
38,"North-Dakota","ND","1","38065",0.482253990615746,38,1821,878
38,"North-Dakota","ND","1","38043",0.358129675021553,40,2374,850
38,"North-Dakota","ND","1","38013",0.380795955935868,40,2163,824
38,"North-Dakota","ND","1","38027",0.35007648651914,35,2319,812
38,"North-Dakota","ND","1","38095",0.353644640310961,39,2113,747
38,"North-Dakota","ND","1","38051",0.285785685633627,32,2512,718
38,"North-Dakota","ND","1","38023",0.329079856489245,30,2174,715
38,"North-Dakota","ND","1","38047",0.375743443569619,36,1848,694
38,"North-Dakota","ND","1","38037",0.30186306438968,28,2276,687
38,"North-Dakota","ND","1","38001",0.313129270877366,34,2179,682
38,"North-Dakota","ND","1","38033",0.401948935329289,31,1679,675
38,"North-Dakota","ND","1","38091",0.347399145266854,29,1731,601
38,"North-Dakota","ND","1","38083",0.451997245020887,33,1327,600
38,"North-Dakota","ND","1","38011",0.203085398480481,37,2935,596
38,"North-Dakota","ND","1","38007",0.60675780928151,27,948,575
38,"North-Dakota","ND","1","38087",0.571185571593242,21,795,454
38,"North-Dakota","ND","2","38059",0.295720376058946,52,33479,9900
38,"North-Dakota","ND","2","38015",0.0957525701876774,52,98986,9478
38,"North-Dakota","ND","2","38017",0.0330419366048014,52,189286,6254
38,"North-Dakota","ND","2","38101",0.0813714618338718,52,69232,5634
38,"North-Dakota","ND","2","38035",0.0553881329265419,52,72764,4030
38,"North-Dakota","ND","2","38089",0.11996635648768,52,33116,3973
38,"North-Dakota","ND","2","38105",0.0974741028113918,52,39368,3837
38,"North-Dakota","ND","2","38055",0.323527973280808,50,9807,3173
38,"North-Dakota","ND","2","38061",0.287494841797095,50,9567,2750
38,"North-Dakota","ND","2","38077",0.161187180656278,52,16550,2668
38,"North-Dakota","ND","2","38053",0.175416735621625,51,14280,2505
38,"North-Dakota","ND","2","38099",0.220841294814182,47,10488,2316
38,"North-Dakota","ND","2","38093",0.100757971177054,52,21525,2169
38,"North-Dakota","ND","2","38049",0.411391279280464,52,5264,2166
38,"North-Dakota","ND","2","38097",0.262056854171495,51,7980,2091
38,"North-Dakota","ND","2","38005",0.353383046586022,46,5861,2071
38,"North-Dakota","ND","2","38003",0.181560849412517,50,10794,1960
38,"North-Dakota","ND","2","38079",0.155434452139091,49,12065,1875
38,"North-Dakota","ND","2","38057",0.20562991603149,52,8341,1715
38,"North-Dakota","ND","2","38067",0.252194775914862,51,6787,1712
38,"North-Dakota","ND","2","38009",0.265762553469266,50,6390,1698
38,"North-Dakota","ND","2","38071",0.140444377942997,51,11563,1624
38,"North-Dakota","ND","2","38025",0.350600300899962,49,4043,1417
38,"North-Dakota","ND","2","38073",0.242489843607374,45,5662,1373
38,"North-Dakota","ND","2","38063",0.405033989045461,45,3015,1221
38,"North-Dakota","ND","2","38085",0.3175996582842,30,3789,1203
38,"North-Dakota","ND","2","38103",0.299332143312243,50,3942,1180
38,"North-Dakota","ND","2","38081",0.297109715142808,43,3822,1136
38,"North-Dakota","ND","2","38069",0.280396839529211,47,3961,1111
38,"North-Dakota","ND","2","38031",0.314623067465875,48,3372,1061
38,"North-Dakota","ND","2","38029",0.32283949306553,45,3269,1055
38,"North-Dakota","ND","2","38075",0.460894974718399,38,2277,1049
38,"North-Dakota","ND","2","38045",0.247647405524265,45,4107,1017
38,"North-Dakota","ND","2","38019",0.266418605190877,45,3663,976
38,"North-Dakota","ND","2","38041",0.389940794464033,43,2453,957
38,"North-Dakota","ND","2","38021",0.192033848788927,47,4959,952
38,"North-Dakota","ND","2","38013",0.437281919150389,46,2163,946
38,"North-Dakota","ND","2","38043",0.379083919978405,45,2374,900
38,"North-Dakota","ND","2","38065",0.482713666623948,36,1821,879
38,"North-Dakota","ND","2","38039",0.369508501563112,43,2340,865
38,"North-Dakota","ND","2","38095",0.403535511152142,44,2113,853
38,"North-Dakota","ND","2","38037",0.373679640528169,43,2276,850
38,"North-Dakota","ND","2","38051",0.334729475120779,39,2512,841
38,"North-Dakota","ND","2","38027",0.3520164329844,46,2319,816
38,"North-Dakota","ND","2","38091",0.451198386103369,39,1731,781
38,"North-Dakota","ND","2","38001",0.324195876275787,41,2179,706
38,"North-Dakota","ND","2","38023",0.324079186787685,31,2174,705
38,"North-Dakota","ND","2","38047",0.380662512362215,41,1848,703
38,"North-Dakota","ND","2","38011",0.233258383192463,42,2935,685
38,"North-Dakota","ND","2","38083",0.490350291507563,39,1327,651
38,"North-Dakota","ND","2","38033",0.382980819131106,33,1679,643
38,"North-Dakota","ND","2","38087",0.661774701802666,25,795,526
38,"North-Dakota","ND","2","38007",0.507674916794825,36,948,481
38,"North-Dakota","ND","3","38059",0.290740909127096,52,33479,9734
38,"North-Dakota","ND","3","38015",0.0981580553046477,52,98986,9716
38,"North-Dakota","ND","3","38017",0.033294209789606,52,189286,6302
38,"North-Dakota","ND","3","38101",0.0790568106949032,52,69232,5473
38,"North-Dakota","ND","3","38035",0.0544600364924712,52,72764,3963
38,"North-Dakota","ND","3","38089",0.119267353379551,52,33116,3950
38,"North-Dakota","ND","3","38105",0.0989287921099004,52,39368,3895
38,"North-Dakota","ND","3","38055",0.319832487493461,52,9807,3137
38,"North-Dakota","ND","3","38061",0.301293548865597,49,9567,2882
38,"North-Dakota","ND","3","38077",0.152113718353826,52,16550,2517
38,"North-Dakota","ND","3","38053",0.173902215176037,52,14280,2483
38,"North-Dakota","ND","3","38099",0.227192439161009,50,10488,2383
38,"North-Dakota","ND","3","38093",0.105697201345929,52,21525,2275
38,"North-Dakota","ND","3","38005",0.382364386842437,50,5861,2241
38,"North-Dakota","ND","3","38049",0.415509032228634,50,5264,2187
38,"North-Dakota","ND","3","38097",0.274001743470292,51,7980,2187
38,"North-Dakota","ND","3","38079",0.161583730582612,48,12065,1950
38,"North-Dakota","ND","3","38067",0.265631707686098,49,6787,1803
38,"North-Dakota","ND","3","38003",0.157005759779576,51,10794,1695
38,"North-Dakota","ND","3","38009",0.259625242299932,50,6390,1659
38,"North-Dakota","ND","3","38057",0.196171849471328,50,8341,1636
38,"North-Dakota","ND","3","38071",0.140845077973464,51,11563,1629
38,"North-Dakota","ND","3","38073",0.262503996633107,43,5662,1486
38,"North-Dakota","ND","3","38025",0.348734366508676,48,4043,1410
38,"North-Dakota","ND","3","38103",0.32828638639846,50,3942,1294
38,"North-Dakota","ND","3","38045",0.314531670085649,50,4107,1292
38,"North-Dakota","ND","3","38063",0.419645393397096,48,3015,1265
38,"North-Dakota","ND","3","38085",0.294130117578767,32,3789,1114
38,"North-Dakota","ND","3","38069",0.278511086406762,47,3961,1103
38,"North-Dakota","ND","3","38081",0.286646804453161,46,3822,1096
38,"North-Dakota","ND","3","38075",0.480385899766661,41,2277,1094
38,"North-Dakota","ND","3","38031",0.300706554468025,46,3372,1014
38,"North-Dakota","ND","3","38013",0.46000992414623,39,2163,995
38,"North-Dakota","ND","3","38021",0.19420414602774,46,4959,963
38,"North-Dakota","ND","3","38019",0.262569233572999,48,3663,962
38,"North-Dakota","ND","3","38029",0.291692293761815,45,3269,954
38,"North-Dakota","ND","3","38065",0.512210627957194,41,1821,933
38,"North-Dakota","ND","3","38051",0.371049957747852,39,2512,932
38,"North-Dakota","ND","3","38041",0.366968013496006,33,2453,900
38,"North-Dakota","ND","3","38039",0.380121080079936,43,2340,889
38,"North-Dakota","ND","3","38027",0.377850865441435,46,2319,876
38,"North-Dakota","ND","3","38043",0.368485113865935,49,2374,875
38,"North-Dakota","ND","3","38037",0.378292255813549,42,2276,861
38,"North-Dakota","ND","3","38095",0.406003374447581,42,2113,858
38,"North-Dakota","ND","3","38023",0.386280431157811,37,2174,840
38,"North-Dakota","ND","3","38091",0.48375961596034,36,1731,837
38,"North-Dakota","ND","3","38083",0.57737350485698,39,1327,766
38,"North-Dakota","ND","3","38047",0.405237162920381,41,1848,749
38,"North-Dakota","ND","3","38011",0.247166397700996,41,2935,725
38,"North-Dakota","ND","3","38033",0.410601844082141,40,1679,689
38,"North-Dakota","ND","3","38087",0.719596864230607,31,795,572
38,"North-Dakota","ND","3","38001",0.246292239978579,33,2179,537
38,"North-Dakota","ND","3","38007",0.435125311919189,37,948,412
38,"North-Dakota","ND","4","38059",0.311748796561111,52,33479,10437
38,"North-Dakota","ND","4","38015",0.090978234022014,52,98986,9006
38,"North-Dakota","ND","4","38017",0.0377941282516664,52,189286,7154
38,"North-Dakota","ND","4","38101",0.0717766121493586,52,69232,4969
38,"North-Dakota","ND","4","38089",0.121741027298969,52,33116,4032
38,"North-Dakota","ND","4","38105",0.0998976830087843,51,39368,3933
38,"North-Dakota","ND","4","38035",0.0530973058446243,52,72764,3864
38,"North-Dakota","ND","4","38055",0.350834034102514,52,9807,3441
38,"North-Dakota","ND","4","38077",0.181368891336937,52,16550,3002
38,"North-Dakota","ND","4","38053",0.205550230762715,50,14280,2935
38,"North-Dakota","ND","4","38061",0.293047764970517,49,9567,2804
38,"North-Dakota","ND","4","38049",0.482980745308993,46,5264,2542
38,"North-Dakota","ND","4","38099",0.236457906184698,46,10488,2480
38,"North-Dakota","ND","4","38093",0.107746660413396,52,21525,2319
38,"North-Dakota","ND","4","38097",0.281897150503073,48,7980,2250
38,"North-Dakota","ND","4","38003",0.199860463991718,50,10794,2157
38,"North-Dakota","ND","4","38005",0.339315978026873,41,5861,1989
38,"North-Dakota","ND","4","38079",0.158069330912436,45,12065,1907
38,"North-Dakota","ND","4","38057",0.217199490556091,49,8341,1812
38,"North-Dakota","ND","4","38009",0.275083903059498,48,6390,1758
38,"North-Dakota","ND","4","38071",0.147718136394418,51,11563,1708
38,"North-Dakota","ND","4","38067",0.251171068446563,45,6787,1705
38,"North-Dakota","ND","4","38073",0.273967654639766,42,5662,1551
38,"North-Dakota","ND","4","38025",0.355854817540771,44,4043,1439
38,"North-Dakota","ND","4","38063",0.461844210037951,49,3015,1392
38,"North-Dakota","ND","4","38103",0.331978007414226,48,3942,1309
38,"North-Dakota","ND","4","38029",0.381748004179439,44,3269,1248
38,"North-Dakota","ND","4","38031",0.358092184376897,42,3372,1207
38,"North-Dakota","ND","4","38081",0.314441636360809,40,3822,1202
38,"North-Dakota","ND","4","38019",0.324574759292556,43,3663,1189
38,"North-Dakota","ND","4","38021",0.237884317610574,47,4959,1180
38,"North-Dakota","ND","4","38045",0.281789178891802,41,4107,1157
38,"North-Dakota","ND","4","38069",0.291760548603522,42,3961,1156
38,"North-Dakota","ND","4","38041",0.44363879547701,36,2453,1088
38,"North-Dakota","ND","4","38043",0.457151187691803,46,2374,1085
38,"North-Dakota","ND","4","38039",0.461902212663621,37,2340,1081
38,"North-Dakota","ND","4","38083",0.807291961190545,46,1327,1071
38,"North-Dakota","ND","4","38065",0.586444556661265,40,1821,1068
38,"North-Dakota","ND","4","38037",0.468586799740598,29,2276,1067
38,"North-Dakota","ND","4","38075",0.44099215554664,34,2277,1004
38,"North-Dakota","ND","4","38085",0.264521746275869,26,3789,1002
38,"North-Dakota","ND","4","38027",0.431236006094416,40,2319,1000
38,"North-Dakota","ND","4","38013",0.451559688414755,34,2163,977
38,"North-Dakota","ND","4","38051",0.381651506307861,30,2512,959
38,"North-Dakota","ND","4","38095",0.436038699955474,41,2113,921
38,"North-Dakota","ND","4","38001",0.378978189894203,35,2179,826
38,"North-Dakota","ND","4","38047",0.445148810248914,42,1848,823
38,"North-Dakota","ND","4","38023",0.359025259417557,31,2174,781
38,"North-Dakota","ND","4","38091",0.434814792505409,33,1731,753
38,"North-Dakota","ND","4","38033",0.444705735868326,35,1679,747
38,"North-Dakota","ND","4","38011",0.218773164527247,34,2935,642
38,"North-Dakota","ND","4","38007",0.552550503061944,30,948,524
38,"North-Dakota","ND","4","38087",0.529720408946919,23,795,421
