fips,0-4,5-17,18-49,50-64,65+
38001,113,372,619,467,574
38003,533,1593,4033,2097,2517
38005,552,1395,1997,942,922
38007,64,124,398,163,275
38009,384,1028,2093,1235,1638
38011,211,508,954,521,712
38013,84,499,707,413,453
38015,5711,17653,41949,17259,18028
38017,12122,30778,97357,27989,25154
38019,203,594,1059,764,1013
38021,301,824,1888,942,980
38023,150,269,678,514,556
38025,332,721,1496,705,786
38027,71,411,768,468,589
38029,187,471,930,701,965
38031,195,536,1119,698,810
38033,113,258,482,321,479
38035,4415,11028,36717,10372,10391
38037,122,388,651,434,674
38039,105,358,601,515,666
38041,129,321,873,454,655
38043,120,404,711,487,655
38045,254,690,1283,789,1102
38047,133,247,526,386,527
38049,273,987,1723,1071,1153
38051,120,344,725,527,781
38053,1301,3149,6136,2399,1336
38055,484,1585,3142,2031,2581
38057,508,1441,2818,1694,1876
38059,1793,5930,14239,5968,5847
38061,746,2014,3797,1665,1285
38063,140,485,880,658,853
38065,121,355,510,352,501
38067,340,1078,2240,1325,1744
38069,217,603,1335,735,1038
38071,784,1897,4140,2147,2588
38073,298,919,2041,1139,1246
38075,90,399,791,539,485
38077,874,2721,6652,2981,3356
38079,889,2954,4498,2011,1572
38081,212,564,1337,783,908
38083,52,167,393,274,417
38085,301,972,1460,647,360
38087,15,107,219,205,220
38089,2653,6548,14152,5288,4661
38091,108,285,569,301,541
38093,1097,3234,8527,4289,4402
38095,96,421,552,531,479
38097,507,1314,2968,1564,1617
38099,616,1819,3481,2204,2276
38101,4811,11805,32235,10486,9636
38103,278,632,1107,833,1040
38105,3344,8590,18404,5283,3934
