fips,0-4,5-17,18-49,50-64,65+
39001,1621,4948,10018,5724,5229
39003,6123,17713,39215,18922,19375
39005,2815,8945,19436,10473,10587
39007,5417,15813,35909,20334,19694
39009,2358,6794,33111,10172,9302
39011,2759,8267,16867,9161,9071
39013,2978,9283,25105,13729,14378
39015,2457,7526,16230,9240,8392
39017,22712,69060,165503,73263,62338
39019,1318,4132,9363,5892,5954
39021,2184,6378,14414,8333,7495
39023,7829,22690,50346,26888,27405
39025,11620,35102,82688,42945,38826
39027,2412,7118,16170,8509,7803
39029,5059,15270,36390,21878,22107
39031,2286,6462,13224,7394,7378
39033,2312,6758,15261,8518,8862
39035,66959,188136,504388,243572,242818
39037,3124,9076,18533,10297,10564
39039,2219,6407,14915,7061,7741
39041,12622,43642,92428,43977,34165
39043,3609,10883,26581,15825,17683
39045,9350,29626,65496,31816,27165
39047,1774,4987,11207,5738,5170
39049,87298,222812,627773,221486,173679
39051,2382,7368,15615,8666,8209
39053,1768,5089,10674,5747,5790
39055,4912,16273,32011,20996,21289
39057,8828,26062,71411,31836,31551
39059,2220,6235,14060,8044,7664
39061,51802,139077,352155,149985,137755
39063,4491,11812,30401,14202,13960
39065,1800,5167,13079,5510,4919
39067,685,2316,4879,3162,3264
39069,1612,4820,10162,5481,5492
39071,2697,7704,16017,8766,8333
39073,1523,4438,10071,6150,5617
39075,3723,9720,17348,7198,6429
39077,3446,10337,22007,11721,10808
39079,2152,5615,12579,6447,5857
39081,3179,9348,23943,13535,14513
39083,3630,10756,24394,12236,12126
39085,10925,33875,87181,49927,50308
39087,2944,9322,21565,12134,10854
39089,10342,31163,71761,36793,31778
39091,2687,7789,16970,9711,8932
39093,16974,51357,121014,64882,62902
39095,25611,71898,173914,81386,75209
39097,2218,6642,18591,9648,7324
39099,12112,33808,84206,45469,50896
39101,3511,10353,26200,12816,12140
39103,9018,30198,68422,39667,36355
39105,1016,3493,7949,4799,4639
39107,3037,7773,15616,7916,8142
39109,6153,19090,41758,21913,21382
39111,619,2070,4560,2840,3138
39113,31396,87438,217219,100432,99611
39115,685,2166,4772,2954,3074
39117,1955,5737,13181,7691,6840
39119,5078,14511,33485,17266,16071
39121,712,2000,4116,3211,4243
39123,1537,5478,12690,9219,11070
39125,1065,3372,6890,3839,3625
39127,2049,6278,13302,7389,6517
39129,3197,9773,25462,11839,9860
39131,1673,4671,10149,5396,5155
39133,6974,22492,70347,32441,29702
39135,2170,6873,14801,8623,8298
39137,2165,6588,12200,6869,6492
39139,7128,20098,49294,23380,25199
39141,4138,11960,30863,15834,13697
39143,3077,9601,22179,12017,11904
39145,3846,11889,28919,14302,13671
39147,2980,8748,21871,10633,10538
39149,3097,8627,17849,9667,8689
39151,20405,60120,141715,74846,76627
39153,28605,82689,212853,109110,104607
39155,10513,30850,73208,41427,44931
39157,5856,15598,34070,18216,18645
39159,4135,12113,29175,13012,8889
39161,1754,4877,10730,5705,5760
39163,648,1977,4740,2788,2477
39165,13653,45818,100114,50995,39428
39167,2748,8958,21705,12453,13114
39169,7216,20720,44750,21716,22186
39171,2125,5959,13890,7377,7368
39173,6544,20175,60538,22767,22040
39175,1187,3657,7918,4343,4493
