fips,0-4,5-17,18-49,50-64,65+
40001,1327,3790,7571,3797,3090
40003,224,821,2268,1214,1169
40005,744,2317,6031,2573,2714
40007,306,931,1899,885,1007
40009,1304,3821,9897,3778,3348
40011,524,1584,3067,1711,1684
40013,3143,8270,20016,8476,8348
40015,1541,4542,11556,4647,4161
40017,10793,32551,74773,27788,23080
40019,3183,8938,19217,8917,8300
40021,2584,7575,20831,8425,8527
40023,967,2535,5012,2791,2992
40025,95,361,802,356,604
40027,14327,46948,144740,49295,44737
40029,393,891,1968,966,1102
40031,7950,21079,56387,19597,16812
40033,270,983,1888,1248,1096
40035,735,2518,5469,2859,2721
40037,4287,12672,27853,14529,13489
40039,1779,5271,12877,4218,4114
40041,1951,6219,13710,8798,10601
40043,263,929,1507,808,853
40045,184,630,1340,673,856
40047,4149,11956,25551,10084,10406
40049,1558,4929,9953,4750,4670
40051,3007,10137,22731,11126,9605
40053,245,734,1426,787,939
40055,263,831,2329,1129,937
40057,129,458,885,418,516
40059,196,567,1165,634,641
40061,702,2048,4353,2229,2351
40063,754,2118,5645,2338,2534
40065,1731,4419,10479,4195,3854
40067,297,1050,1868,1039,1126
40069,549,1855,4035,1918,1921
40071,2666,8156,16589,7766,8448
40073,978,3142,6023,2638,2649
40075,533,1488,2825,1833,1704
40077,548,1540,3529,1796,2105
40079,3029,8924,19058,9244,8798
40081,1880,6148,12630,6928,6633
40083,2655,8766,21234,10196,9087
40085,615,1859,3982,1947,1858
40087,2493,8864,18356,8506,7054
40089,2153,5988,11616,5597,5509
40091,982,2887,6406,4175,4950
40093,454,1479,2675,1397,1623
40095,977,2697,5501,3061,3556
40097,2259,6912,15186,7723,7524
40099,782,2341,5088,2702,2840
40101,4174,12021,26991,11812,11446
40103,603,1863,3953,2118,2360
40105,621,1550,3459,1924,1881
40107,620,1921,4352,2331,2054
40109,54654,149660,351366,134006,116513
40111,2085,6610,14473,6913,6818
40113,2138,7479,17034,9512,9834
40115,1977,5683,11741,5440,5500
40117,894,2771,5826,3130,3174
40119,3945,11349,46335,10430,10913
40121,2436,7453,16721,8176,8775
40123,2437,7113,15544,6637,6504
40125,4184,12795,30499,13746,12239
40127,565,1749,3723,2305,2448
40129,184,631,1156,637,751
40131,5595,17292,39114,19609,17000
40133,1418,4296,9002,4453,4325
40135,2521,7015,14873,8022,7429
40137,2443,7469,16105,8492,9042
40139,1612,4371,8859,3399,2533
40141,404,1241,2444,1420,1401
40143,44868,125691,291546,115723,102966
40145,4872,15588,35293,16059,14797
40147,3183,9637,20222,9481,10803
40149,598,2016,3934,2135,2132
40151,412,1378,4018,1287,1501
40153,1256,3613,8623,3302,3364
