STATE_NAME,STATE_DIR,STATE_ABBR,STATE_FIPS,QUARTER,COUNTY_ORG,mobility_outflow,total_counties_connected
Oregon,Oregon,OR,41,1,41055,0.9782090240322021,31
Oregon,Oregon,OR,41,1,41069,0.9724191708649546,26
Oregon,Oregon,OR,41,1,41021,0.9663695485625926,30
Oregon,Oregon,OR,41,1,41049,0.8292438570952817,34
Oregon,Oregon,OR,41,1,41031,0.77408604258852165,35
Oregon,Oregon,OR,41,1,41037,0.7508552889097129,34
Oregon,Oregon,OR,41,1,41053,0.7295525660100524,35
Oregon,Oregon,OR,41,1,41023,0.689107984669301,35
Oregon,Oregon,OR,41,1,41025,0.6770103196784887,35
Oregon,Oregon,OR,41,1,41041,0.6628940050397938,35
Oregon,Oregon,OR,41,1,41013,0.6614052378818783,35
Oregon,Oregon,OR,41,1,41015,0.6265967296924936,33
Oregon,Oregon,OR,41,1,41001,0.6265629046731445,34
Oregon,Oregon,OR,41,1,41057,0.62327079176478,35
Oregon,Oregon,OR,41,1,41071,0.6015875912159165,35
Oregon,Oregon,OR,41,1,41063,0.5860487853471548,34
Oregon,Oregon,OR,41,1,41009,0.5826824339831156,35
Oregon,Oregon,OR,41,1,41027,0.5484872282337414,35
Oregon,Oregon,OR,41,1,41065,0.5436509047047594,35
Oregon,Oregon,OR,41,1,41007,0.532810618757408,35
Oregon,Oregon,OR,41,1,41003,0.5151118128812211,35
Oregon,Oregon,OR,41,1,41043,0.5109603423449653,35
Oregon,Oregon,OR,41,1,41005,0.5086700145590455,35
Oregon,Oregon,OR,41,1,41033,0.4145281447151052,35
Oregon,Oregon,OR,41,1,41011,0.3725687937009728,35
Oregon,Oregon,OR,41,1,41051,0.37149697269179005,35
Oregon,Oregon,OR,41,1,41067,0.3387065546564225,35
Oregon,Oregon,OR,41,1,41061,0.3343941224575831,35
Oregon,Oregon,OR,41,1,41035,0.33307158368343887,35
Oregon,Oregon,OR,41,1,41047,0.3276881557688426,35
Oregon,Oregon,OR,41,1,41019,0.3176760048928651,35
Oregon,Oregon,OR,41,1,41017,0.2937441474767111,35
Oregon,Oregon,OR,41,1,41045,0.28959440307773954,35
Oregon,Oregon,OR,41,1,41059,0.27820336656335964,35
Oregon,Oregon,OR,41,1,41029,0.20432040583322594,35
Oregon,Oregon,OR,41,1,41039,0.180749230281033,35
Oregon,Oregon,OR,41,2,41069,0.985457837822816,33
Oregon,Oregon,OR,41,2,41055,0.9811366282350312,35
Oregon,Oregon,OR,41,2,41021,0.975449448088368,32
Oregon,Oregon,OR,41,2,41049,0.8619359062742274,35
Oregon,Oregon,OR,41,2,41031,0.8156749099203375,35
Oregon,Oregon,OR,41,2,41037,0.768282937542912,34
Oregon,Oregon,OR,41,2,41053,0.7552161304108727,35
Oregon,Oregon,OR,41,2,41023,0.7524914297421526,35
Oregon,Oregon,OR,41,2,41025,0.729736709649429,34
Oregon,Oregon,OR,41,2,41015,0.6962183553631904,34
