fips,0-4,5-17,18-49,50-64,65+
41001,759,2569,5481,3299,4732
41003,3401,11749,48678,15157,17318
41005,20325,67925,168615,82787,84323
41007,1815,5574,15267,8336,10371
41009,2623,8244,20410,11462,10754
41011,2715,8676,21873,13333,18230
41013,1294,3827,9097,5421,6638
41015,815,2475,6268,5253,8570
41017,9466,29603,83300,40095,43870
41019,5161,16228,38678,22311,29694
41021,38,337,602,355,639
41023,309,934,2308,1327,2331
41025,347,1042,2699,1433,1978
41027,1280,3932,9409,4962,4322
41029,11041,34151,83992,41121,52340
41031,1494,4225,9702,4766,5016
41033,3979,12991,29480,17730,23999
41035,3931,11285,26435,12901,15695
41037,421,1060,3081,1619,2086
41039,16155,50929,168987,68043,80093
41041,1859,6044,15991,10843,16227
41043,7294,21430,52016,24471,25495
41045,1994,6097,13082,5309,5472
41047,20488,61708,148288,60382,58378
41049,838,2502,4867,2058,2035
41051,36914,104221,401036,141082,118224
41053,4642,14743,38313,14902,17062
41055,113,277,693,444,411
41057,962,4018,8981,5842,7693
41059,4839,14812,33660,13537,13092
41061,1210,4381,10562,4407,5584
41063,347,1170,2280,1537,2219
41065,1432,4250,10372,4813,5685
41067,31928,98297,277753,106761,89208
41069,73,102,382,350,578
41071,5455,17457,45546,19786,20490
