STATE_NAME,STATE_DIR,STATE_ABBR,STATE_FIPS,QUARTER,COUNTY_ORG,mobility_outflow,total_counties_connected
Rhode Island,Rhode-Island,RI,44,1,44001,0.4822498855026612,4
Rhode Island,Rhode-Island,RI,44,1,44003,0.46044803096912496,4
Rhode Island,Rhode-Island,RI,44,1,44005,0.44603025364751636,4
Rhode Island,Rhode-Island,RI,44,1,44009,0.41984509820452165,4
Rhode Island,Rhode-Island,RI,44,1,44007,0.16293500499267616,4
Rhode Island,Rhode-Island,RI,44,2,44001,0.5043749350960579,4
Rhode Island,Rhode-Island,RI,44,2,44003,0.4872072747491094,4
Rhode Island,Rhode-Island,RI,44,2,44005,0.4784798771121249,4
Rhode Island,Rhode-Island,RI,44,2,44009,0.4427891597428918,4
Rhode Island,Rhode-Island,RI,44,2,44007,0.20141466166829686,4
Rhode Island,Rhode-Island,RI,44,3,44005,0.4972890054710924,4
Rhode Island,Rhode-Island,RI,44,3,44003,0.4965826325030281,4
Rhode Island,Rhode-Island,RI,44,3,44001,0.4891700108815391,4
Rhode Island,Rhode-Island,RI,44,3,44009,0.44328104172730903,4
Rhode Island,Rhode-Island,RI,44,3,44007,0.22505136913465118,4
Rhode Island,Rhode-Island,RI,44,4,44001,0.5143116092574895,4
Rhode Island,Rhode-Island,RI,44,4,44003,0.48948934350064166,4
Rhode Island,Rhode-Island,RI,44,4,44005,0.47197448312006873,4
Rhode Island,Rhode-Island,RI,44,4,44009,0.46336737139843714,4
Rhode Island,Rhode-Island,RI,44,4,44007,0.1890110427195579,4
