STATE_NAME,STATE_DIR,STATE_ABBR,STATE_FIPS,QUARTER,COUNTY_ORG,mobility_outflow,total_counties_connected
South Carolina,South-Carolina,SC,45,1,45017,0.8889679357623096,45
South Carolina,South-Carolina,SC,45,1,45061,0.8766085365313531,45
South Carolina,South-Carolina,SC,45,1,45081,0.8631243497054703,45
South Carolina,South-Carolina,SC,45,1,45039,0.8442039856963375,45
South Carolina,South-Carolina,SC,45,1,45005,0.8231373634970546,44
South Carolina,South-Carolina,SC,45,1,45065,0.7927096168254879,44
South Carolina,South-Carolina,SC,45,1,45001,0.783821733626425,45
South Carolina,South-Carolina,SC,45,1,45009,0.7803153649630602,45
South Carolina,South-Carolina,SC,45,1,45053,0.7782091984722732,45
South Carolina,South-Carolina,SC,45,1,45037,0.7592900684315691,45
South Carolina,South-Carolina,SC,45,1,45049,0.7271812631463409,45
South Carolina,South-Carolina,SC,45,1,45089,0.7238425768447937,44
South Carolina,South-Carolina,SC,45,1,45027,0.7236654856407764,45
South Carolina,South-Carolina,SC,45,1,45071,0.7078401378245458,45
South Carolina,South-Carolina,SC,45,1,45023,0.7031557534834736,45
South Carolina,South-Carolina,SC,45,1,45029,0.696735863530502,45
South Carolina,South-Carolina,SC,45,1,45011,0.6967289558306731,45
South Carolina,South-Carolina,SC,45,1,45059,0.6888699354933417,45
South Carolina,South-Carolina,SC,45,1,45033,0.6730071189808559,45
South Carolina,South-Carolina,SC,45,1,45067,0.6714528790937383,45
South Carolina,South-Carolina,SC,45,1,45043,0.6446571732655245,45
South Carolina,South-Carolina,SC,45,1,45069,0.6217284386265632,43
South Carolina,South-Carolina,SC,45,1,45055,0.6163976496521881,45
South Carolina,South-Carolina,SC,45,1,45087,0.614484410136899,45
South Carolina,South-Carolina,SC,45,1,45021,0.5878405107378624,45
South Carolina,South-Carolina,SC,45,1,45075,0.5825250682894534,45
South Carolina,South-Carolina,SC,45,1,45031,0.5776914916319089,45
South Carolina,South-Carolina,SC,45,1,45025,0.5553639564569521,45
South Carolina,South-Carolina,SC,45,1,45035,0.5492607342465804,45
South Carolina,South-Carolina,SC,45,1,45077,0.532157930772621,45
South Carolina,South-Carolina,SC,45,1,45015,0.5181885562408746,45
South Carolina,South-Carolina,SC,45,1,45073,0.5089009776542429,45
South Carolina,South-Carolina,SC,45,1,45007,0.44983364841994145,45
South Carolina,South-Carolina,SC,45,1,45057,0.44550642559190257,45
South Carolina,South-Carolina,SC,45,1,45079,0.42133388102638397,45
South Carolina,South-Carolina,SC,45,1,45047,0.42020492777637514,45
South Carolina,South-Carolina,SC,45,1,45063,0.4157433127276144,45
South Carolina,South-Carolina,SC,45,1,45085,0.39871016481150634,45
South Carolina,South-Carolina,SC,45,1,45019,0.3822489337430687,45
South Carolina,South-Carolina,SC,45,1,45083,0.3665718366297304,45
South Carolina,South-Carolina,SC,45,1,45041,0.3191826089657446,45
South Carolina,South-Carolina,SC,45,1,45003,0.2946535427229928,45
South Carolina,South-Carolina,SC,45,1,45045,0.2766355478115231,45
South Carolina,South-Carolina,SC,45,1,45013,0.24774705651497392,45
South Carolina,South-Carolina,SC,45,1,45051,0.2199443443668092,45
