fips,0-4,5-17,18-49,50-64,65+
47001,4096,12620,29714,15996,15749
47003,3387,9700,20984,9762,7458
47005,793,2521,5200,3648,3786
47007,628,1763,6123,3362,3029
47009,6740,20730,51823,29856,28598
47011,6162,17897,44885,22060,18739
47013,2141,5935,14785,8493,8214
47015,845,2421,5633,3211,2551
47017,1511,4713,10816,5767,5654
47019,2250,7832,21220,12567,12593
47021,2319,6652,16459,9574,6496
47023,948,2832,7386,3196,3090
47025,1733,4385,12882,6837,6384
47027,319,1181,2461,1753,1907
47029,2098,5388,12800,8236,7981
47031,3741,10584,22704,11604,10307
47033,796,2465,5267,2743,2666
47035,2652,7834,18525,13626,19892
47037,46408,101702,354345,117238,90153
47039,568,1778,3990,2440,2723
47041,1513,2983,7764,4426,3865
47043,3251,9316,22278,11170,9182
47045,2227,6527,14259,7239,6429
47047,2073,5732,15011,10293,9544
47049,1026,2851,6479,4226,4366
47051,2192,6349,17033,8992,8912
47053,2995,9351,19573,9924,8767
47055,1727,4586,11121,6682,6326
47057,1113,3619,8620,5470,5107
47059,3248,10357,26500,15378,15436
47061,807,2098,5099,2827,2834
47063,3979,11539,24563,13233,11616
47065,21662,56858,154086,71145,67162
47067,370,1083,2346,1470,1521
47069,1268,3714,10848,4919,4728
47071,1246,4129,9519,5808,6237
47073,2801,8245,20662,13302,12436
47075,964,2972,6416,3743,3577
47077,1618,4726,10520,5924,5118
47079,1573,4965,11078,7128,7601
47081,1307,3966,10112,5334,4510
47083,375,1394,3084,1780,1660
47085,1043,3088,6909,4101,3933
47087,557,1614,4154,2796,2761
47089,2596,8167,21003,12751,11318
47091,745,2287,6817,4012,4212
47093,26924,75751,217058,89289,78379
47095,277,730,3295,1330,1059
47097,1435,4046,10469,4925,4058
47099,2863,8405,16871,8821,7941
47101,747,1980,4800,2634,2623
47103,2121,5801,12975,7730,6990
47105,2624,8268,18264,12428,15412
47107,2885,8584,20256,11533,10877
47109,1416,4179,9629,5242,5467
47111,1606,4846,10248,5143,3950
47113,5937,16312,40010,19223,17363
47115,1573,4434,10668,6396,5939
47117,2032,6231,14094,7147,5772
47119,6644,17631,42845,20131,17604
47121,633,2037,4669,2951,2786
47123,2356,7364,16616,10476,10242
47125,18078,43152,110989,33469,22269
47127,319,965,2421,1490,1416
47129,971,3068,8698,4449,4007
47131,1675,5053,11527,6054,6261
47133,1157,3632,8580,4838,4600
47135,537,1388,3106,1636,1894
47137,208,675,1559,1206,1414
47139,818,2575,6444,4200,3665
47141,4492,12548,36620,14373,13333
47143,2064,5300,12587,6908,6440
47145,2432,7789,18703,12843,12636
47147,4676,13234,29921,15463,10997
47149,22100,65070,166389,59647,38385
47151,1318,3834,8578,4518,3721
47153,901,2376,6082,3583,3467
47155,5328,15330,36635,21811,19698
47157,63266,171628,388750,165945,132606
47159,1140,3380,7872,4483,3321
47161,773,2222,4848,3105,2911
47163,7599,23030,59379,34473,35212
47165,11635,35143,80939,40014,32822
47167,3443,11189,24748,12586,9373
47169,624,1318,6370,2010,1483
47171,830,2415,6336,4093,4105
47173,1060,3282,7550,4545,3704
47175,341,973,2074,1396,1509
47177,2407,7348,16396,7948,7488
47179,6307,19040,57458,26869,25019
47181,619,2180,6713,3609,3130
47183,1578,4713,14497,6189,5982
47185,1592,4445,10260,5723,5744
47187,13846,52998,99912,51546,36307
47189,9057,26990,62596,30713,24231
