"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
48,"Texas","TX","1","48201",0.0680084939375784,253,4758579,323624
48,"Texas","TX","1","48113",0.100928336202508,253,2603816,262799
48,"Texas","TX","1","48439",0.0996847471174417,253,2135743,212901
48,"Texas","TX","1","48157",0.24147186621792,248,859721,207598
48,"Texas","TX","1","48121",0.214605901162051,253,945644,202941
48,"Texas","TX","1","48085",0.161400002188938,253,1116601,180219
48,"Texas","TX","1","48453",0.117172173530586,253,1307625,153217
48,"Texas","TX","1","48029",0.0607679343370411,253,2037344,123805
48,"Texas","TX","1","48491",0.188685042145859,251,643889,121492
48,"Texas","TX","1","48339",0.181212103044135,251,654722,118644
48,"Texas","TX","1","48039",0.189756127262622,248,381650,72420
48,"Texas","TX","1","48167",0.187938771440957,242,354721,66666
48,"Texas","TX","1","48209",0.221908356689453,250,256429,56904
48,"Texas","TX","1","48187",0.303644989961901,248,178368,54161
48,"Texas","TX","1","48251",0.248178215121051,253,188820,46861
48,"Texas","TX","1","48215",0.0521758197211428,250,880921,45963
48,"Texas","TX","1","48139",0.215283276122207,252,203927,43902
48,"Texas","TX","1","48257",0.272254965173167,248,160718,43756
48,"Texas","TX","1","48091",0.233530688173795,247,174552,40763
48,"Texas","TX","1","48367",0.256736131329089,253,158079,40585
48,"Texas","TX","1","48027",0.10367055652377,251,379811,39375
48,"Texas","TX","1","48381",0.230611902663032,251,143791,33160
48,"Texas","TX","1","48397",0.261153679746118,250,116931,30537
48,"Texas","TX","1","48355",0.0799955610836858,249,352829,28225
48,"Texas","TX","1","48061",0.0653361728379822,243,423192,27650
48,"Texas","TX","1","48423",0.114760774382813,252,238014,27315
48,"Texas","TX","1","48291",0.271709860460217,236,97993,26626
48,"Texas","TX","1","48329",0.153194318134102,253,171496,26272
48,"Texas","TX","1","48021",0.252855207444642,238,102370,25885
48,"Texas","TX","1","48135",0.156660367336482,253,163206,25568
48,"Texas","TX","1","48231",0.234368140114028,249,104917,24589
48,"Texas","TX","1","48041",0.101367163138804,253,237980,24123
48,"Texas","TX","1","48473",0.404454481177414,234,59455,24047
48,"Texas","TX","1","48303",0.0749877153582645,253,314633,23594
48,"Texas","TX","1","48245",0.0898505600351516,241,253939,22817
48,"Texas","TX","1","48309",0.0823499381500927,252,263608,21708
48,"Texas","TX","1","48375",0.18381587233303,249,116634,21439
48,"Texas","TX","1","48497",0.292674584120199,250,72359,21178
48,"Texas","TX","1","48181",0.145902132238821,250,139988,20425
48,"Texas","TX","1","48213",0.232355278864187,249,83658,19438
48,"Texas","TX","1","48141",0.0222467025355578,248,866275,19272
48,"Texas","TX","1","48099",0.227416655288461,248,83772,19051
48,"Texas","TX","1","48467",0.285023079315948,246,61323,17478
48,"Texas","TX","1","48409",0.245752000152228,237,69519,17084
48,"Texas","TX","1","48071",0.34499372854147,223,49178,16966
48,"Texas","TX","1","48203",0.238408268381603,238,69584,16589
48,"Texas","TX","1","48183",0.130971776336489,249,124860,16353
48,"Texas","TX","1","48493",0.316009113226988,233,51501,16275
48,"Texas","TX","1","48361",0.189829504943744,219,84993,16134
48,"Texas","TX","1","48199",0.280191247309658,226,57126,16006
48,"Texas","TX","1","48325",0.301121512810429,229,52419,15784
48,"Texas","TX","1","48471",0.199960074222867,236,78292,15655
48,"Texas","TX","1","48479",0.0576015736378253,245,267731,15422
48,"Texas","TX","1","48055",0.320104868838551,215,47184,15104
48,"Texas","TX","1","48401",0.280321142117653,235,52613,14749
48,"Texas","TX","1","48013",0.286365932625621,236,50058,14335
48,"Texas","TX","1","48459",0.332008719700623,221,41864,13899
48,"Texas","TX","1","48259",0.2774749872389,230,46971,13033
48,"Texas","TX","1","48073",0.251715755530728,231,51143,12873
48,"Texas","TX","1","48221",0.200527114926799,250,64198,12873
48,"Texas","TX","1","48441",0.0892207400857691,251,144259,12871
48,"Texas","TX","1","48053",0.247436389097778,236,51064,12635
48,"Texas","TX","1","48499",0.271749784422315,231,46094,12526
48,"Texas","TX","1","48407",0.41137220187873,220,27983,11511
48,"Texas","TX","1","48451",0.0935412220012996,252,119398,11169
48,"Texas","TX","1","48469",0.120094156761213,235,91281,10962
48,"Texas","TX","1","48185",0.355507500848079,223,30385,10802
48,"Texas","TX","1","48349",0.200554917817326,236,53735,10777
48,"Texas","TX","1","48347",0.165754823258094,230,64897,10757
48,"Texas","TX","1","48001",0.184784929993839,240,57825,10685
48,"Texas","TX","1","48217",0.278954062164763,243,36664,10228
48,"Texas","TX","1","48485",0.0762590613322574,250,129842,9902
48,"Texas","TX","1","48427",0.15028738408574,219,65809,9890
48,"Texas","TX","1","48373",0.189631448962281,227,51780,9819
48,"Texas","TX","1","48147",0.268297070083625,234,36525,9800
48,"Texas","TX","1","48005",0.112120692574108,239,86791,9731
48,"Texas","TX","1","48015",0.297804103744552,218,30712,9146
