fips,0-4,5-17,18-49,50-64,65+
48001,3007,8210,27285,10625,8698
48003,1503,4194,8058,2973,1790
48005,5666,16496,34208,16075,14346
48007,1079,3170,7855,5501,6844
48009,421,1591,3030,1858,1834
48011,118,291,665,320,489
48013,3380,10024,20433,8703,7518
48015,1738,5504,11115,5951,6404
48017,506,1467,3129,716,1226
48019,867,2729,6236,5410,6347
48021,6682,19892,39887,20292,15617
48023,134,672,1039,703,916
48025,1572,4786,15892,4844,3906
48027,29926,75080,174066,56744,43995
48029,133231,374794,937949,333588,257782
48031,512,1634,3818,2971,3073
48033,62,178,239,146,98
48035,946,2926,6017,3973,4684
48037,5579,16471,37560,16713,15998
48039,24367,74375,167229,67861,47818
48041,13309,34932,136485,29878,23376
48043,391,1232,3846,1603,2392
48045,48,170,376,287,342
48047,217,1078,3173,1245,1274
48049,1980,5992,14787,7664,7871
48051,973,3060,6208,3976,4110
48053,2509,7955,17812,10861,11927
48055,2939,8103,20103,8868,7171
48057,1162,3493,7467,4092,3707
48059,734,2271,5123,2978,2911
48061,30688,92603,175519,64951,59431
48063,799,2542,4621,2408,2282
48065,282,1021,2131,1095,1273
48067,1627,4834,9735,6044,6342
48069,564,1557,2759,1215,1233
48071,3277,10238,21545,7897,6221
48073,3487,9513,19754,9194,9195
48075,378,882,3577,814,1121
48077,471,1569,3525,2476,2361
48079,183,499,1012,403,423
48081,145,571,1053,633,913
48083,286,1311,2379,1751,2038
48085,65005,215043,504009,205530,127014
48087,189,600,939,418,587
48089,1281,3563,6719,4441,4732
48091,9283,29508,66962,36414,32385
48093,774,2386,4705,2658,3263
48095,90,331,1505,719,656
48097,2671,7276,15946,8683,7897
48099,5443,13613,44116,11379,9221
48101,64,223,429,247,339
48103,307,896,1828,898,694
48105,105,562,1050,542,622
48107,303,997,1902,901,969
48109,103,368,784,343,583
48111,692,1647,3020,1132,689
48113,180240,481587,1197936,445061,298992
48115,808,2134,5723,1983,1663
48117,1656,4104,7529,2737,2461
48119,422,847,1949,1030,1097
48121,55071,169826,439641,175055,106051
48123,1293,3194,7429,3984,3953
48125,98,257,557,328,401
48127,594,1819,3544,1141,1409
48129,126,460,1226,582,882
48131,620,1926,4006,1739,1533
48133,993,2831,6468,3644,3910
48135,14115,35390,73560,24103,16038
48137,21,203,596,257,315
48139,13217,40738,86113,37462,26397
48141,58783,170012,388116,138178,111186
48143,2575,6446,20945,6986,6292
48145,929,2675,6447,3697,3315
48147,1814,5982,14848,7379,6502
48149,1225,3748,7947,5344,6519
48151,233,529,1366,741,792
48153,321,1056,1824,1076,1017
48155,55,199,309,203,313
48157,53279,178424,368232,155142,104644
48159,568,1812,3588,2231,2323
48161,1032,3475,7552,3797,3957
48163,1169,3516,8635,2478,2221
48165,2185,5645,8786,3226,2062
48167,20668,63966,146247,69524,54316
48169,273,756,2732,869,805
48171,1245,4032,8192,5656,8077
48173,67,207,417,214,165
48175,340,1088,2484,1451,1733
48177,1307,3852,7064,3690,3851
48179,1268,4045,8627,3728,3463
48181,8719,25041,53865,27342,25021
48183,8349,23975,51041,21723,19772
48185,1594,5245,11882,6030,5634
48187,10321,33071,76336,32698,25942
48189,2108,6564,13713,5339,4523
48191,129,487,943,572,696
48193,410,1435,2790,1607,2078
48195,365,1131,1875,1093,718
48197,198,520,1262,781,768
48199,3301,10871,22155,10844,9955
48201,329995,913430,2173420,798271,543463
48203,4011,12911,27521,13207,11934
48205,311,887,2380,852,877
48207,223,717,2154,1056,1240
48209,14998,42972,128061,39887,30511
48211,156,620,1336,564,635
48213,4621,13315,29535,17460,18727
48215,70226,206413,379246,123540,101496
48217,2114,6454,13264,7390,7442
48219,1487,4208,8787,3710,3263
48221,3285,9996,21423,13192,16302
48223,2284,6830,13962,7417,6858
48225,1100,3315,8315,4487,4825
48227,1985,5476,15171,6166,4329
48229,100,498,1844,519,370
48231,6607,18928,43026,19974,16382
48233,1163,3977,7962,3762,3549
48235,54,289,358,420,311
48237,368,1550,3616,1585,1504
48239,970,2688,5590,2862,2971
48241,1867,5846,11629,6675,6790
48243,130,164,357,409,680
48245,16995,45569,106887,46066,38422
48247,986,678,2015,713,405
48249,2588,8040,15557,6531,6147
48251,11912,36987,78789,34633,26499
48253,795,2518,9901,3585,3169
48255,749,2234,7035,2595,2206
48257,11738,34248,70562,26670,17500
48259,2079,8596,17228,9720,9348
48261,0,3,18,5,26
48263,12,115,183,175,242
48265,2558,7229,17576,10576,15227
48267,210,504,1448,824,1369
48269,10,25,66,45,43
48271,99,175,1260,778,828
48273,2039,5325,15043,4178,4044
48275,175,685,1114,729,619
48277,3225,8960,18965,9523,9748
48279,873,2685,4835,2342,2184
48281,1078,3757,8018,4855,4559
48283,159,1459,2918,890,1520
48285,1210,3647,6772,4033,4817
48287,1167,2666,6825,3415,3685
48289,856,2799,5323,3277,3812
48291,7439,21312,41144,16397,11701
48293,1284,3707,8186,4420,4588
48295,202,688,1055,458,561
48297,713,1631,4739,2048,2313
48299,817,2615,5576,4871,8132
48301,0,0,2,12,40
48303,19661,54573,152136,47124,41139
48305,366,1199,2226,980,896
48307,409,1217,2487,1669,1783
48309,16986,46683,117253,42905,39781
48311,54,183,210,74,102
48313,848,2167,6445,2052,2062
48315,378,1356,3022,2300,2575
48317,338,1201,2028,1101,562
48319,309,605,1175,654,1208
48321,2622,6706,13598,6861,6487
48323,5042,12970,24348,8536,6874
48325,2929,8949,20976,10518,9047
48327,82,384,442,423,633
48329,14340,35374,78744,24799,18239
48331,1372,4426,9030,5035,5405
48333,100,709,1339,1053,1298
48335,441,1225,4515,1488,1320
48337,1083,3631,7092,4304,4489
48339,41979,128816,273966,121420,88541
48341,1910,4727,8914,3301,2382
48343,595,2163,4239,2405,2612
48345,92,129,388,265,393
48347,3980,11283,29249,10366,10019
48349,3630,10721,20672,9762,8950
48351,546,1892,4219,2741,2795
48353,913,2820,5318,2590,2924
48355,21877,62561,151250,62061,55080
48357,754,2278,3948,1752,1120
48359,125,626,777,313,256
48361,5537,16035,33979,15919,13523
48363,1722,4993,10461,5966,5778
48365,1287,3956,8553,4205,4623
48367,9441,29722,62045,31821,25050
48369,721,2036,3759,1773,1463
48371,826,2795,6656,2714,1992
48373,2639,7901,19151,12292,9797
48375,8042,23292,49593,19477,16230
48377,444,1236,1907,1147,1309
48379,534,1880,4296,2765,3030
48381,8607,25843,62506,24329,22506
48383,346,784,1468,358,303
48385,159,593,521,534,1014
48387,790,1560,3663,2638,2970
48389,878,2404,6530,1785,1622
48391,380,1114,2363,1331,1505
48393,20,200,268,165,132
48395,1072,2993,6126,3354,3428
48397,7041,24193,49172,21961,14564
48399,569,1758,3605,1881,2067
48401,2898,9034,21800,9874,9007
48403,548,1222,2813,2438,2977
48405,316,1269,2442,1726,2136
48407,1441,4608,9760,6260,5914
48409,4649,13429,28524,12232,10685
48411,269,844,2348,1038,1303
48413,191,389,878,450,518
48415,1049,3161,6856,3007,2560
48417,171,546,1164,647,641
48419,1690,4649,8958,4535,4276
48421,137,395,991,512,399
48423,15096,42813,97366,41920,40819
48425,438,1621,3379,2211,1861
48427,6055,15511,27607,9250,7386
48429,503,1478,3671,1795,1831
48431,126,374,539,166,184
48433,69,265,324,267,319
48435,257,644,1300,578,527
48437,436,1261,2899,1157,1228
48439,138478,409999,951470,379323,256473
48441,9902,25525,65391,22144,21297
48443,6,114,152,263,316
48445,855,2433,4677,1967,1767
48447,119,213,537,330,390
48449,2222,6713,12284,5466,4599
48451,7491,21089,51339,19739,19740
48453,73947,193720,682809,217246,139903
48455,651,2058,4242,3143,3756
48457,817,3090,7635,4094,4448
48459,2337,7719,15672,8491,7645
48461,72,655,1242,659,599
48463,1769,4723,10542,3704,4072
48465,3725,9653,20641,6983,6645
48467,3523,10591,22089,12740,12380
48469,5996,17030,37164,15861,15230
48471,3105,8388,42003,14034,10762
48473,3662,10464,29339,9198,6792
48475,852,2423,4579,1845,1556
48477,1886,5898,13030,7291,8051
48479,22121,62615,117277,38832,26886
48481,2824,7825,16075,7481,7446
48483,237,962,1693,1000,1010
48485,8056,21752,58313,22135,19586
48487,943,1916,4983,2466,2404
48489,1196,3639,9492,2935,2956
48491,39013,118586,296536,107491,82263
48493,2810,9308,20017,10778,8588
48495,528,1616,3108,1276,1012
48497,4260,13576,28318,15054,11151
48499,2026,6702,14906,9990,12470
48501,692,1767,2840,1421,869
48503,1006,3271,6661,3258,3767
48505,1094,3369,5635,1882,1875
48507,684,2126,4008,1245,1469
