fips,0-4,5-17,18-49,50-64,65+
49001,499,1647,2967,1003,1056
49003,4459,14009,24571,9015,7671
49005,10573,30067,67567,15274,13550
49007,1295,3965,7912,3431,3843
49009,33,136,286,157,135
49011,26804,86260,162156,52128,39394
49013,1597,4863,7905,3024,2543
49015,617,2216,3564,1780,1791
49017,284,837,1959,917,1173
49019,415,1371,4258,1693,1960
49021,4015,12635,27204,8288,8059
49023,921,3216,4970,1625,1541
49025,429,1382,2710,1554,1921
49027,958,3179,4854,1935,2253
49029,797,3488,4786,1994,1520
49031,56,263,618,284,484
49033,213,623,742,462,548
49035,78006,228338,558641,182567,137137
49037,872,3170,5620,2462,2342
49039,1744,5377,13400,4495,4193
49041,1427,4776,8471,3524,3656
49043,2206,7945,16743,9553,6262
49045,5716,18446,34536,11018,6932
49047,2777,8856,15194,5355,4276
49049,59337,160594,337022,73455,53214
49051,2247,8342,14366,6154,4699
49053,11381,35757,71730,29035,41924
49055,165,435,883,484,590
49057,18303,53793,120101,41625,32361
