"state_fips","state_name","state_abbr","quarter","geoid_o","prop_county_outflow","total_counties_connected","POP_ACS2023","total_pop_outflow"
50,"Vermont","VT","1","50007",0.0415618857995976,13,168831,7017
50,"Vermont","VT","1","50011",0.133529031296676,13,50379,6727
50,"Vermont","VT","1","50001",0.161151038416093,13,37497,6043
50,"Vermont","VT","1","50017",0.199470471737438,13,29594,5903
50,"Vermont","VT","1","50023",0.0923569340460366,13,59958,5538
50,"Vermont","VT","1","50027",0.0692444508732359,13,57968,4014
50,"Vermont","VT","1","50015",0.143760958905489,13,26036,3743
50,"Vermont","VT","1","50021",0.0516736511446703,13,60484,3125
50,"Vermont","VT","1","50005",0.101326564184793,13,30425,3083
50,"Vermont","VT","1","50013",0.3070248996384,13,7393,2270
50,"Vermont","VT","1","50025",0.0473580992269075,13,45913,2174
50,"Vermont","VT","1","50019",0.0786583968611697,13,27492,2162
50,"Vermont","VT","1","50003",0.0485142538215739,13,37312,1810
50,"Vermont","VT","1","50009",0.21614468482393,13,5972,1291
50,"Vermont","VT","2","50007",0.0479111106092787,13,168831,8089
50,"Vermont","VT","2","50011",0.153354929113913,13,50379,7726
50,"Vermont","VT","2","50017",0.232814490514099,13,29594,6890
50,"Vermont","VT","2","50001",0.178980056537346,13,37497,6711
50,"Vermont","VT","2","50023",0.107930044422896,13,59958,6471
50,"Vermont","VT","2","50027",0.0789691192038488,13,57968,4578
50,"Vermont","VT","2","50015",0.16382842971007,13,26036,4265
50,"Vermont","VT","2","50021",0.0614596859928918,13,60484,3717
50,"Vermont","VT","2","50005",0.115736747823805,13,30425,3521
50,"Vermont","VT","2","50025",0.0587456144146255,13,45913,2697
50,"Vermont","VT","2","50019",0.0967791588050611,13,27492,2661
50,"Vermont","VT","2","50013",0.32617597002939,13,7393,2411
50,"Vermont","VT","2","50003",0.0461310993073092,13,37312,1721
50,"Vermont","VT","2","50009",0.239919876306241,13,5972,1433
50,"Vermont","VT","3","50007",0.0512379138752413,13,168831,8651
50,"Vermont","VT","3","50011",0.151751016514644,13,50379,7645
50,"Vermont","VT","3","50017",0.240738891633591,13,29594,7124
50,"Vermont","VT","3","50001",0.177598586552208,13,37497,6659
50,"Vermont","VT","3","50023",0.107946606581604,13,59958,6472
50,"Vermont","VT","3","50027",0.0848710467757083,13,57968,4920
50,"Vermont","VT","3","50015",0.157802838039946,13,26036,4109
50,"Vermont","VT","3","50005",0.125713802038835,13,30425,3825
50,"Vermont","VT","3","50021",0.0628965546514146,13,60484,3804
50,"Vermont","VT","3","50019",0.0956117619162751,13,27492,2629
50,"Vermont","VT","3","50025",0.0564732737318393,13,45913,2593
50,"Vermont","VT","3","50013",0.303193402502402,13,7393,2242
50,"Vermont","VT","3","50003",0.045819954444466,13,37312,1710
50,"Vermont","VT","3","50009",0.252612128991812,13,5972,1509
50,"Vermont","VT","4","50007",0.0516772351487207,13,168831,8725
50,"Vermont","VT","4","50011",0.167344636601938,13,50379,8431
50,"Vermont","VT","4","50001",0.201417862792543,13,37497,7553
50,"Vermont","VT","4","50017",0.246342982663054,13,29594,7290
50,"Vermont","VT","4","50023",0.118224669686859,13,59958,7089
50,"Vermont","VT","4","50027",0.0847793412440895,13,57968,4914
50,"Vermont","VT","4","50015",0.184369617639124,13,26036,4800
50,"Vermont","VT","4","50021",0.0688426675078235,13,60484,4164
50,"Vermont","VT","4","50005",0.1207941772814,13,30425,3675
50,"Vermont","VT","4","50019",0.10610833383198,13,27492,2917
50,"Vermont","VT","4","50013",0.383437832865125,13,7393,2835
50,"Vermont","VT","4","50025",0.0613041596576605,13,45913,2815
50,"Vermont","VT","4","50003",0.0517800961160395,13,37312,1932
50,"Vermont","VT","4","50009",0.296174518572243,13,5972,1769
