fips,0-4,5-17,18-49,50-64,65+
51001,1697,5132,10756,7180,8570
51003,5659,16779,48405,20607,23469
51005,539,2204,4867,3344,3905
51007,700,2016,4927,2833,2986
51009,1413,4883,11556,6774,6859
51011,993,2668,6116,3324,3509
51013,11805,30796,127181,38349,28123
51015,3264,11076,29256,16811,17626
51017,215,495,1287,986,1117
51019,3539,12204,27695,18636,18820
51021,202,652,2394,1405,1546
51023,1423,4901,11437,7971,8272
51025,640,1783,6453,3426,3539
51027,823,2429,7004,4526,4633
51029,761,2256,6831,3592,3536
51031,2582,8136,21145,11678,11771
51033,1817,5458,13028,6441,5354
51035,1256,3870,9669,6736,7626
51036,236,705,2117,1787,1782
51037,639,1815,3796,2576,2596
51041,22164,67376,155258,72240,60831
51043,628,2354,4946,3785,3503
51045,318,804,1502,1317,915
51047,3402,10283,20867,10795,9050
51049,454,1465,3601,1986,2312
51051,610,2017,4911,2818,3377
51053,1254,4378,10748,6396,5415
51057,581,1319,3702,2445,2576
51059,66329,195981,491629,221963,171935
51061,4188,13170,28264,16152,12803
51063,656,2253,5293,3583,3808
51065,1455,4003,10738,5799,6097
51067,2605,7596,18422,12942,13565
51069,5256,16268,36453,19200,17831
51071,780,2494,5908,3793,3582
51073,1930,5946,14340,9043,8267
51075,1035,3237,8664,6839,6635
51077,527,1953,5456,3376,3975
51079,1314,3536,8003,4175,4127
51081,412,1308,5311,2406,1838
51083,1704,5146,11148,7015,8626
51085,5608,18753,42559,24287,21672
51087,19119,54435,141202,64070,56918
51089,2121,7502,16781,11143,12433
51091,68,266,616,548,798
51093,1907,6595,14410,9035,8027
51095,3917,11916,27076,16242,21862
51097,314,850,2251,1686,1594
51099,1427,5382,11515,5585,3987
51101,1218,3006,7367,3873,3129
51103,327,1261,2617,2367,4364
51105,939,3057,8251,4589,5064
51107,26798,88373,189177,81756,46894
51109,2111,5882,14450,9133,8404
51111,496,1854,4354,2519,2793
51113,718,2088,4839,3140,3259
51115,287,942,2514,1952,2845
51117,1504,4099,9995,6702,8216
51119,380,1360,2979,2424,3704
51121,3691,11424,55584,14444,13958
51125,809,1755,4601,3208,4359
51127,1254,3633,9939,5643,4636
51131,477,1733,3433,2874,3542
51133,491,1194,3045,2822,4636
51135,770,2233,6490,3173,2931
51137,2234,5957,13998,7932,7701
51139,1142,3519,8466,5314,5286
51141,731,2316,5275,4355,4835
51143,2449,8269,20760,13705,14673
51145,1434,4336,11980,7548,6257
51147,956,2393,11487,3395,3765
51149,1998,6421,22431,6599,5697
51153,32919,96223,213763,90697,55278
51155,1524,4478,12257,7719,7709
51157,222,1052,2395,1690,2068
51159,458,1155,3849,1738,1895
51161,4238,14790,36962,19565,21468
51163,739,3100,7461,5048,6183
51165,4850,14076,32855,16634,17185
51167,1231,3586,9023,5665,6033
51169,820,3014,7563,4651,5431
51171,2546,6948,16049,9301,10081
51173,1348,4317,10590,6403,6762
51175,777,2569,6253,4406,3959
51177,8448,27296,59676,28961,22222
51179,9946,32817,71298,30757,18648
51181,306,809,2123,1640,1671
51183,454,1240,4727,2279,2065
51185,1755,6160,14426,7872,9411
51187,2381,6589,16611,8789,7161
51191,2228,7183,19423,11749,13343
51193,914,2447,6432,4016,5017
51195,1656,5110,14546,7090,7046
51197,1390,4073,10068,6385,6272
51199,3594,12773,28552,13446,12640
51510,10259,18214,80469,27686,20348
51520,796,2509,6300,3258,3986
51530,322,1130,2798,1103,1240
51540,2316,5164,25256,6583,6118
51550,15300,45725,107684,47077,36797
51570,1079,3429,7021,3459,3364
51580,332,977,2030,1216,1125
51590,2499,7027,15764,8010,8914
51595,326,1207,2092,914,1008
51600,2187,4023,10558,4740,3518
51610,781,2743,5969,2952,2265
51620,631,1600,2975,1510,1534
51630,1649,4470,14694,4760,3300
51640,517,1152,2308,1331,1418
51650,8240,21371,60141,24843,22962
51660,2756,6133,31091,6001,5411
51670,1772,4058,9121,4544,3464
51678,241,307,4903,801,1273
51680,4778,10610,41783,10935,11391
51683,3364,8193,19167,7712,4540
51685,984,2896,8146,3028,1744
51690,926,2734,5153,2560,2285
51700,12622,30160,84748,30770,25916
51710,14974,32562,119023,36597,30440
51720,197,525,1467,627,761
51730,2676,5326,13518,6383,5634
51735,600,2306,4734,2525,2474
51740,6783,15609,42813,16948,15037
51750,612,1474,10977,2062,1601
51760,13398,26798,118768,38151,32244
51770,6357,15897,40566,18069,17466
51775,1266,3723,10748,4865,5016
51790,1490,3527,10758,4649,5524
51800,6218,17092,40706,19680,15100
51810,26453,73406,200042,83933,72515
51820,1478,3629,9513,4140,4081
51830,395,1269,9385,1985,2764
51840,1642,4644,11714,5242,4671
