fips,0-4,5-17,18-49,50-64,65+
54001,737,2335,6088,3008,3256
54003,7870,22040,54409,25424,19771
54005,1056,3261,7591,4462,4656
54007,484,1761,4339,2581,3043
54009,886,2855,7985,4586,5493
54011,4752,13533,39729,16175,18550
54013,255,892,1933,1371,1597
54015,382,1326,2672,1697,1758
54017,287,849,3159,1748,1668
54019,1894,6281,14304,8169,8871
54021,264,819,3475,1402,1328
54023,585,1571,3675,2380,2772
54025,1621,4624,11332,6883,7926
54027,1139,3089,7972,5554,5711
54029,1180,4041,9980,6229,7001
54031,774,2049,4881,3236,3303
54033,3428,10341,24626,13367,13222
54035,1527,4415,9946,5930,5887
54037,2941,9571,23341,13145,10262
54039,8527,26398,67099,35459,39054
54041,943,2693,6156,3420,3528
54043,1005,3483,7005,4229,4180
54045,1574,4954,11669,6175,7046
54047,719,2547,7135,3621,3921
54049,2696,8409,22994,10574,11236
54051,1282,4388,10655,6445,7095
54053,1294,3850,9101,5100,5698
54055,3027,9177,21760,11206,13393
54057,1288,4118,9747,5630,6071
54059,1275,3847,7864,4627,4929
54061,4856,12409,58990,16538,14370
54063,665,1963,4003,2645,3110
54065,689,2275,5930,4146,4386
54067,1133,3989,8211,5135,5809
54069,2059,6001,15991,8058,9473
54071,283,853,1813,1292,1802
54073,400,1069,2961,1662,1429
54075,369,1006,2575,1726,2108
54077,1536,4568,14044,7026,6986
54079,2714,9581,22007,11620,11255
54081,3731,11661,28123,13472,16208
54083,1350,3710,10526,5699,6291
54085,397,1249,2840,1895,1905
54087,595,2168,4687,3083,3253
54089,422,1416,3949,2760,3182
54091,803,2573,6167,3427,3517
54093,245,703,2226,1604,1876
54095,382,1179,2643,1905,1955
54097,1110,3687,9006,4737,5172
54099,1899,5884,13878,8018,8485
54101,373,1265,2653,1808,2045
54103,836,2152,4809,3062,3219
54105,246,824,1699,1117,1167
54107,4268,13112,30709,17292,18026
54109,1008,3124,7417,4243,4837
