fips,0-4,5-17,18-49,50-64,65+
55001,632,2268,6146,5279,6603
55003,814,2562,5822,3472,3380
55005,2440,7519,16073,9892,10817
55007,660,2059,4635,4078,4978
55009,15823,46929,111752,52129,42792
55011,643,2041,4532,3019,3106
55013,597,2104,4590,4216,5234
55015,2602,9367,20235,11755,8667
55017,3513,10913,25226,14165,12741
55019,2846,7502,11781,6697,5910
55021,2983,9148,22075,12970,11146
55023,786,2338,5394,3564,3982
55025,29193,83715,273582,95257,83030
55027,4052,13444,34766,20158,16398
55029,1190,3661,8939,6950,9539
55031,1992,6539,17277,9526,8863
55033,2152,6684,20941,8144,7428
55035,5440,15879,49246,18129,17634
55037,174,552,1264,1316,1311
55039,5335,16850,39988,21793,20087
55041,478,1291,2955,2221,2316
55043,2960,7999,22010,9429,9280
55045,1895,6204,13312,8277,7348
55047,1080,3078,6354,4257,4396
55049,1274,3938,8443,5439,4738
55051,221,727,1719,1522,1975
55053,1189,3335,7709,4564,4174
55055,4104,13190,34722,18415,15436
55057,1301,3925,9483,6283,5703
55059,9088,28108,69674,35803,25740
55061,1038,3305,7321,4516,4441
55063,5782,17810,54096,21605,20969
55065,1145,3024,5834,3463,3322
55067,1037,2718,6176,4656,4886
55069,1421,3699,9436,7307,6540
55071,4066,12626,28437,18514,17671
55073,7770,23535,52393,28632,25737
55075,1927,6041,13543,10078,10318
55077,698,2288,4786,3859,4075
55078,341,966,1413,874,662
55079,60703,160847,411525,161103,133478
55081,2896,8846,16902,9390,8135
55083,1918,5923,13113,9714,8661
55085,1558,4892,11476,9633,10448
55087,11221,33202,78057,38301,30756
55089,4672,14802,33462,19986,19423
55091,401,1223,2363,1625,1760
55093,2099,6579,18332,8516,6825
55095,2079,7064,15502,10747,9935
55097,3234,10169,31007,13409,12556
55099,570,1944,4039,3608,3916
55101,11282,33860,75379,41610,34757
55103,848,2822,5703,3657,4199
55105,9371,27801,64454,33922,28396
55107,707,2144,4420,3286,3589
55109,5425,17457,37207,20199,14531
55111,3690,11129,24567,13658,12715
55113,802,2517,5365,4493,5066
55115,2176,6529,13879,9404,8939
55117,6202,19429,44894,24748,22510
55119,1090,3555,6627,4571,4129
55121,2274,5931,10700,6254,5627
55123,2102,5970,10066,6388,6389
55125,933,2924,6146,6108,7299
55127,4787,16170,41952,22264,20274
55129,640,2436,4837,4218,4618
55131,6710,22543,49990,31734,26343
55133,20731,66023,151355,89658,81273
55135,2625,7848,18262,12162,10817
55137,1071,3394,7944,6040,6303
55139,8939,26043,73719,33423,29233
55141,4013,11962,26101,16115,15848
