fips,0-4,5-17,18-49,50-64,65+
56001,1448,4439,22396,4797,5169
56003,633,2269,4114,2241,2571
56005,3045,9561,19977,8503,6154
56007,785,2459,5855,2596,2768
56009,902,2396,5256,2673,2535
56011,475,1358,2307,1610,1705
56013,2288,7384,14647,7311,7903
56015,701,1772,4752,2362,3018
56017,234,808,1607,760,1211
56019,400,1276,3070,1548,2392
56021,5694,16950,42339,18552,17525
56023,1152,4008,7237,4170,3919
56025,4566,14313,32928,14572,13598
56027,62,186,780,559,781
56029,1531,4768,10534,5876,7740
56031,364,1378,2751,1786,2333
56033,1451,5388,11880,6156,7180
56035,383,1483,3180,1656,2136
56037,2294,8083,17633,7401,6131
56039,947,3049,10886,4321,4193
56041,1221,4408,8023,3472,3520
56043,365,1250,2707,1511,1870
56045,342,998,2437,1539,1510
